Compound Id	AutocorrelationCharge [ATSc4]
763	0.0
5882	0.009
7140	-0.008
238	-0.008
9994	0.0
61001	0.021
2003	-0.128
21168826	-0.004
20124	0.033
8816	0.0
8788	0.0
11672	0.001
29008	0.0
6550	-0.178
6688	-0.118
61538	-0.001
10246	-0.001
79969	-0.008
15093	0.002
7176	-0.021
6840	0.008
7616	-0.012
61111	0.056
4446445	0.013
4444608	0.013
394562	0.014
30595	-0.044
8899	0.0
13876539	-0.002
62310	-0.167
7234	0.003
16804	-0.002
21105998	-0.001
12244	-0.001
61411	-0.001
6333	-0.002
6706	-0.123
8060	-0.168
8341	-0.001
10441	0.006
11833	0.005
6406	-0.062
13835126	0.007
65701	0.001
6023	0.027
5678	0.0
10248	-0.002
69177	-0.002
10244	-0.002
9911	-0.001
1005	-0.005
8552	-0.004
7803	-0.004
171	0.0
122090	-0.008
8070	-0.008
13846749	-0.005
13859497	0.007
10652594	-0.669
11841	0.005
11749	0.003
8569	0.007
12220	0.007
7823	0.007
11849	0.009
3168	0.010
455420	0.005
10709	0.005
13837797	0.004
71876	-0.046
18688	-0.036
62249	-0.052
55084	-0.023
7694	-0.023
7482	-0.023
11716	-0.024
7515	-0.024
7076	-0.046
7757	-0.022
7511	-0.022
7509	-0.022
29005	-0.022
10420	-0.022
7475	-0.022
7463	-0.022
11910	-0.007
7872	-0.016
7875	-0.016
7913	-0.016
8568	-0.016
14846	-0.037
7800	-0.037
11843	-0.016
29012	-0.016
7538	-0.037
7536	-0.037
7706	-0.016
11680	-0.037
11706	-0.037
10653	-0.037
7012	-0.005
11065	-0.002
28981	-0.004
8525	-0.014
7081	-0.004
6313	-0.005
6335	-0.029
441	-0.002
7838	-0.002
5949	-0.002
29029	-0.002
7772	-0.002
256	-0.002
512	-0.003
172	0.0
15443	-0.004
66021	0.092
8674	-0.049
13863629	0.130
13835351	-0.055
6773	-0.058
16736486	-0.069
6621	-0.055
13860641	-0.001
21106525	0.0
13854136	-0.001
13835151	0.0
10991	0.0
13860692	0.0
1019	0.0
62517	-0.058
10903	-0.001
6177	-0.013
7064	-0.008
6341	-0.009
259	-0.004
13249	-0.004
7701	-0.004
7888	-0.004
12013	-0.004
2863	-0.004
7866	-0.004
10033	-0.004
370	-0.004
12071	-0.004
10035	-0.004
4963	-0.107
6907	-0.007
553171	-0.064
2041618	-0.081
9411	0.313
7559	-0.001
15965	-0.030
6897	-0.029
6883	-0.044
7211	0.0
21105897	-0.166
5439	-0.029
7190	-0.008
7469	-0.004
10001	-0.004
11625	-0.026
6586	-0.008
6675	-0.050
472932	0.096
7073	-0.032
8554	0.007
55130	-0.009
10433	-0.025
11992	-0.009
7671	-0.003
10446	0.009
7657	-0.021
22453	-0.029
7065	-0.029
11045	-0.024
7472	-0.003
11207996	-0.005
29016	-0.016
7747	-0.017
7627	-0.002
10571	-0.045
11647	-0.004
66809	-0.051
13865424	-0.004
7175	-0.044
7157	-0.044
21112023	0.011
11582	-0.006
7172	-0.026
16119	-0.002
864	0.0
79280	-0.060
28947	-0.040
7042	-0.089
13837760	0.034
76894	-0.143
205483	-0.020
7737	0.0
6322	-0.001
7132	-0.003
8763	0.0
13848808	-0.180
10837	-0.128
13869434	-0.001
21159695	0.0
6835	0.0
21108576	0.005
7533	-0.001
56559	-0.001
9053802	-0.001
29000	-0.001
7434	-0.001
6312	-0.001
8398	-0.001
11898	-0.001
72522	-0.001
7928	-0.001
14348	-0.001
2581	-0.001
11891	-0.001
7917	-0.001
7915	-0.001
7901	-0.001
7892	-0.001
7882	-0.001
8574	-0.001
932	-0.001
7812	-0.001
7837	-0.001
6040	-0.001
258	-0.001
1004	-0.001
682	0.0
13872989	0.0
8665	-0.009
6950	-0.006
552744	0.018
70806	-0.004
11671339	-0.090
10251740	0.182
69914	-0.090
13862665	-0.026
21168813	-0.003
175	0.0
6630	-0.001
13840647	-0.001
13860491	0.0
13839012	-0.001
20545	-0.004
8012	-0.008
9564	0.034
7044	0.001
11003	0.004
10452	-0.050
6314	-0.010
4510484	0.007
66896	-0.005
10437074	0.043
21105878	-0.008
13839308	-0.004
6753	-0.102
374462	0.011
13869462	-0.001
21106519	0.0
13860775	0.060
21106015	0.034
11809	-0.060
12823	0.009
6649	-0.008
6035	0.008
61739	0.009
392447	0.016
7142	0.008
66895	-0.005
66887	-0.005
9893	-0.005
63518	-0.005
59482	-0.005
10696	-0.334
67414	-0.083
7074	-0.047
7670	-0.003
10797	-0.008
6176	-0.005
7534	-0.004
10791	-0.006
28986	-0.004
10788	-0.003
7621	-0.002
10777	-0.004
12972	-0.004
9976	-0.004
7514	-0.004
215929	-0.004
11025	-0.004
7016	-0.004
7871	-0.002
21153	-0.002
7802	-0.002
12218	-0.002
12632	-0.002
7760	-0.002
11095	-0.002
7607	-0.002
6321	-0.002
558020	0.104
7790	-0.266
6881	-0.005
12061	-0.004
67460	-0.004
6790	0.0
8319	0.0
62964	-0.002
62467	0.003
11193	-0.012
11591	0.002
10411	-0.010
10181338	0.020
59573	-0.075
14998	0.016
13837190	-0.115
1020	0.003
8141	-0.005
8186	-0.003
11600	0.131
10169	0.0
10343	-0.064
447	0.095
12643	0.008
13846658	-0.001
11596	0.022
28973	-0.008
27296	-0.008
11651	-0.007
466305	0.025
9218	-0.041
8183	0.019
7189	0.010
4878	-0.061
13848793	-0.013
21108577	-0.018
123	0.014
26824	-0.078
7028	0.006
7478	-0.128
62489	-0.065
21429023	-0.069
2275	-0.043
13835344	0.015
11793	-0.001
13871721	0.012
6164	-0.002
65785	0.021
6674	-0.082
10616	-0.096
526	0.003
11228	0.011
7003	-0.057
21106520	0.002
13874733	0.003
6780	0.003
8098	0.002
70714	0.030
28969	-0.004
7241	0.063
6577	-0.014
9120	-0.084
13853758	0.0
11525	0.0
4481813	-0.003
13876103	0.098
8058	-0.156
6593	0.002
14672	0.015
13850082	-0.010
63903	0.003
17443	0.103
62808	0.077
6855	-0.003
13638	0.003
18717	-0.002
15954	-0.001
7622	0.0
7310	-0.077
63156	0.002
12626	-0.011
28994	-0.031
61765	0.049
10772140	0.061
13860335	-0.001
10939	-0.005
3463	-0.153
7679	-0.004
6296	0.015
5894	-0.031
11586	-0.030
1448	-0.064
217	0.0
7459	-0.001
11024	-0.001
7026	-0.001
11239	-0.001
11861	0.0
11036	-0.001
11029	-0.001
11794	0.0
10511	0.0
21011	0.0
11678	-0.001
3644	0.0
6320	-0.001
10947	-0.001
10787	-0.001
60524	-0.006
55091	0.105
2606	0.120
7208	0.003
1446	-0.164
8520	-0.094
7626	0.015
11526	-0.189
124968	-0.058
21105905	0.002
21106560	0.003
10437215	0.110
2039535	0.112
7161	-0.008
13885245	-0.021
62472	-0.026
7678	-0.001
11819	0.0
99440	0.0
123993	-0.002
12225	0.008
693	0.0
11080	-0.037
10197150	0.043
13255	0.010
83962	-0.007
13839199	0.004
13634	0.008
7221	-0.006
456015	-0.075
7030	-0.086
8860	0.003
642951	-0.047
11773	0.004
6898	-0.075
8262	-0.025
6089	0.0
13835977	0.0
7677	0.0
60121	0.094
21106518	0.0
9970	-0.001
8273	-0.026
73479	-0.003
7443	-0.003
86394	-0.457
9454	0.005
8282	-0.061
13856959	-0.031
6453	-0.092
78828	-0.022
62530	0.004
7242	0.004
65750	0.003
24041	-0.026
5708	-0.020
23730	-0.025
23621376	0.030
21111781	-0.089
7225	-0.013
21106470	0.062
247721	-0.037
7029	-0.052
21106581	0.0
11283	0.001
156255	0.011
13869480	-0.032
11488212	0.009
10992	-0.001
62597	0.004
4937830	-0.012
844	-0.256
21105870	0.011
2005981	0.0
199342	-0.005
6745	-0.008
6916	-0.007
11996	0.016
55188	0.014
11077	0.002
7240	0.003
66996	-0.047
25886	-0.034
12957	-0.026
19953955	0.029
21943	-0.026
19956441	0.030
19957731	0.030
7636	-0.074
6146	0.0
62230	-0.001
59674	0.012
11021	-0.001
21106535	0.016
10181339	-0.004
5596	0.020
13849989	0.023
132	0.018
70715	-0.043
15855	-0.008
84036	-0.021
13328	-0.087
10784857	-0.814
22191	-0.073
6123	0.0
8576	0.0
7851	0.0
15387	0.0
7811	0.0
7835	0.0
7769	0.0
7716	0.0
7564	0.0
6101	0.0
7466	-0.108
11732	-0.001
15803	-0.001
7236	-0.006
4437893	-0.003
4489	-0.010
12066	0.0
13835836	-0.060
6720	-0.005
11042	0.004
10940	0.004
10937	0.002
20570	-0.050
19477	-0.021
14169248	-0.011
13648	0.061
15409	-0.022
78	-0.049
17868	-0.023
4449	0.012
75951	-0.073
72551	-0.073
72793	-0.076
11543	-0.002
18	-0.077
21105848	0.004
556589	0.040
880	-0.007
7155	0.052
16359	-0.060
8329	0.048
13842613	0.005
21132380	0.004
29001	-0.071
11632	-0.021
30516	-0.021
26325090	-0.045
21106145	0.003
10488	-0.024
10292746	-0.078
68832	-0.073
23255	0.0
11699	-0.091
11695	-0.091
11739	0.0
11194	-0.001
6165	0.0
10008	-0.005
10790	-0.002
62466	-0.006
11595	0.006
6492	0.010
10451	-0.417
2975965	0.014
8900	0.0
11230	0.003
99681	-0.001
29015	0.182
8904	0.069
10018	-0.077
12954	-0.021
13867413	-0.162
13054	-0.026
24641	-0.076
11056	0.0
11216	-0.001
11210	-0.001
11795	-0.003
789	0.022
7131	-0.001
13854242	-0.015
1266019	-0.003
558878	0.027
25890	-0.021
68152	-0.016
65936	0.082
11180	-0.001
5830	-0.001
6610	-0.127
62485	-0.006
10756	-0.003
10181341	-0.004
58234	-0.002
5142	0.001
136966	-0.041
64155	-0.032
553578	0.027
18724	0.003
7688	0.065
220998	-0.021
654	0.0
4366810	-0.091
10422	-0.092
558917	0.023
57726	-0.001
6330	-0.003
61707	-0.006
10892	-0.133
89258	0.055
18019	-0.205
13860434	0.106
60886	0.006
13871718	-0.001
1114	0.0
68224	-0.410
68503	-0.306
24533	0.065
8903	-0.030
11265	-0.013
120489	-0.146
13869414	-0.001
6301	-0.010
19709	0.093
1664	-0.038
2241	-0.006
