Compound Id	BCUT [BCUTp-1l]
21106169	2.5949
12821	4.17
10400	6.5396
1095	7.0645
70682	6.3976
11862	6.4047
12044	6.5572
12045	6.1627
12047	5.9654
12699	6.5877
10864	3.9827
7568	3.6107
9326	3.9568
10980	4.1396
955	3.6083
10772050	4.5439
6079	4.1035
9461	2.8518
7817	4.7257
7732	4.6025
1039	6.2047
11871	5.7567
7786	6.3551
9581	3.9766
7710	6.4703
7809	6.4141
7765	6.4328
13872122	6.4821
2923	4.6296
9574	4.0365
10972	4.2369
11294	5.3720
6588	3.9214
6642	6.7850
13875196	3.9079
10908	6.4051
12682	6.1492
21106144	3.7508
13863774	3.6329
7138	3.5936
66655	4.9119
24326358	6.4229
7238	4.6606
12069	3.2533
191367	3.2337
11799	3.1944
21106014	4.0396
12478	4.1553
7315	4.2776
23150	4.8118
11729	5.6871
14866	5.5514
21105959	4.8089
13865438	4.6999
21106135	4.7392
7383	6.5622
62534	3.2924
62408	3.3514
7389	3.2728
13869451	5.6517
6974	5.3724
7961	4.7864
13835772	4.9036
971	4.5885
11588	4.2112
8800	7.2785
66656	3.9858
21106019	3.8562
7615	3.1158
13647	3.6297
7013	5.6586
6135	2.6442
13854248	5.8962
13869339	5.5294
13837686	5.0832
13839082	4.6728
553649	6.5979
10536	5.3275
7239	6.6978
7391	4.8821
21111817	4.1842
6102	3.0875
4444102	4.9245
69982	4.0514
9233	5.8381
387	3.2730
7299	6.5968
7224	4.0879
5739	7.1028
8804	7.1570
6338	2.9586
13863618	3.8539
278	2.4522
29153	7.4868
5979	8.0360
7827	5.5176
18607	5.4071
18219	8.0245
11783	6.2990
10586285	3.4312
21105871	4.7461
6739	5.2498
434	4.1646
10205670	2.7674
24043	3.2138
68676	4.5401
6852	4.8156
7546	4.4848
15495	4.6906
10328	5.9415
7145	3.6617
13846959	3.5042
937	1.4380
9363	3.6668
62632	3.82
78998	3.8199
11884	3.8197
16177	3.8194
15853	3.8188
67360	3.8175
11866	3.8003
15846	3.8151
29026	3.8102
11846	3.7807
7770	3.7414
7717	3.5924
19475	3.0566
7685	6.4657
87265	3.9639
21106148	3.6075
8817	7.1028
7566	3.4266
13853943	3.7298
15486	5.0336
18920	4.5621
9391	2.9092
28982	4.7121
13839110	4.9086
9824	5.2884
11434292	N/A
65763	3.7232
68328	5.0169
331	4.1012
21169510	4.9725
7689	5.7194
63906	3.8924
2246	7.2101
