Compound Id	ChiPathCluster [SPC-6]
12220	0.0
7823	0.0
11849	0.0
3168	0.0
455420	0.0
10709	0.0
13837797	0.0
71876	0.604
18688	1.443
62249	0.816
55084	0.451
7694	0.348
7482	0.391
11716	0.246
7515	0.289
7076	0.604
7757	0.348
7511	0.348
7509	0.348
29005	0.348
10420	0.391
7475	0.289
7463	0.204
11910	0.0
7872	0.144
7875	0.144
7913	0.144
8568	0.144
14846	0.246
7800	0.246
11843	0.144
29012	0.144
7538	0.246
7536	0.246
7706	0.204
11680	0.204
11706	0.289
10653	0.0
7012	0.0
11065	0.0
28981	0.306
8525	0.0
7081	0.0
6313	0.0
6335	0.0
441	0.0
7838	0.0
5949	0.0
29029	0.0
7772	0.0
256	0.0
512	0.0
172	0.0
15443	0.493
66021	0.408
8674	1.352
13863629	0.204
13835351	2.622
6773	3.058
16736486	27.466
6621	2.475
13860641	1.305
21106525	1.069
13854136	1.138
13835151	1.138
10991	1.240
13860692	1.020
1019	0.0
62517	1.302
10903	2.634
6177	0.0
7064	0.667
6341	0.0
259	0.0
13249	0.144
7701	0.204
7888	0.144
12013	0.144
2863	0.144
7866	0.144
10033	0.144
370	0.144
12071	0.144
10035	0.144
4963	2.134
6907	2.044
553171	0.638
2041618	N/A
9411	1.443
7559	0.0
15965	1.565
6897	1.540
6883	1.374
7211	1.943
21105897	2.669
5439	0.0
7190	1.498
7469	0.667
10001	0.236
11625	1.697
6586	4.209
6675	2.134
472932	0.805
7073	0.911
8554	0.0
55130	0.638
10433	0.638
11992	0.667
7671	0.911
10446	1.021
7657	0.638
22453	0.923
7065	0.667
11045	0.246
7472	0.667
11207996	0.667
29016	0.236
7747	0.667
7627	0.236
10571	0.236
11647	1.093
66809	0.493
13865424	1.069
7175	1.853
7157	2.199
21112023	1.498
11582	1.993
7172	2.566
16119	3.511
864	0.0
79280	1.320
28947	2.492
7042	3.673
13837760	1.138
76894	N/A
205483	1.853
7737	0.0
6322	0.0
7132	1.040
8763	14.903
13848808	2.614
10837	4.350
13869434	2.076
21159695	1.224
6835	2.383
21108576	1.498
7533	0.923
56559	0.144
9053802	0.144
29000	0.0
7434	0.306
6312	0.0
8398	0.0
11898	0.0
72522	0.0
7928	0.0
14348	0.0
2581	0.0
11891	0.0
7917	0.0
7915	0.0
7901	0.0
7892	0.0
7882	0.0
8574	0.0
932	0.0
7812	0.0
7837	0.0
6040	0.0
258	0.0
1004	0.0
682	0.0
13872989	0.0
8665	1.069
6950	1.414
552744	0.0
70806	6.437
11671339	9.954
10251740	0.805
69914	10.014
13862665	0.204
21168813	1.982
175	0.0
6630	2.190
13840647	2.190
13860491	2.076
13839012	3.059
20545	0.289
8012	0.236
9564	2.076
7044	3.673
11003	1.579
10452	8.057
6314	0.0
4510484	0.306
66896	1.530
10437074	0.408
21105878	1.040
13839308	0.637
6753	6.158
374462	0.0
13869462	2.076
21106519	1.267
13860775	1.305
21106015	0.0
11809	0.0
12823	1.069
6649	0.333
6035	1.853
61739	4.013
392447	0.953
7142	1.982
66895	1.530
66887	1.530
9893	1.540
63518	1.530
59482	1.565
10696	10.743
67414	10.426
7074	0.911
7670	0.911
10797	0.962
6176	0.0
7534	0.923
10791	0.236
28986	0.289
10788	0.236
7621	0.236
10777	0.0
12972	0.408
9976	0.493
7514	0.289
215929	0.246
11025	0.204
7016	0.0
7871	0.144
21153	0.144
7802	0.144
12218	0.144
12632	0.144
7760	0.144
11095	0.204
7607	0.0
6321	0.0
558020	0.408
7790	0.0
6881	1.374
12061	0.679
67460	0.650
6790	2.711
8319	3.033
62964	9.631
62467	1.982
11193	0.408
11591	1.488
10411	1.685
10181338	1.488
59573	0.0
14998	0.25
13837190	0.0
1020	0.0
8141	0.0
8186	1.498
11600	0.819
10169	5.046
10343	5.510
447	1.305
12643	0.408
13846658	2.383
11596	1.643
28973	1.237
27296	1.267
11651	1.224
466305	3.045
9218	1.697
8183	2.566
7189	1.498
4878	1.020
13848793	2.711
21108577	1.843
123	1.069
26824	8.167
7028	0.0
7478	0.289
62489	0.493
21429023	27.466
2275	0.0
13835344	1.488
11793	0.204
13871721	0.0
6164	0.0
65785	1.655
6674	2.134
10616	3.731
526	1.488
11228	0.0
7003	0.638
21106520	0.408
13874733	0.408
6780	1.886
8098	1.886
70714	0.408
28969	1.093
7241	0.493
6577	3.229
9120	3.514
13853758	1.498
11525	0.0
4481813	0.0
13876103	2.393
8058	3.573
6593	4.513
14672	0.0
13850082	2.405
63903	0.637
17443	0.493
62808	0.408
6855	3.269
13638	0.0
18717	0.816
15954	0.667
7622	0.236
7310	1.284
63156	0.0
12626	0.0
28994	0.0
61765	1.374
10772140	0.0
13860335	0.493
10939	1.138
3463	26.2
7679	0.408
6296	3.250
5894	0.0
11586	2.298
1448	3.673
217	0.0
7459	0.204
11024	0.204
7026	0.0
11239	0.0
11861	0.144
11036	0.289
11029	0.289
11794	0.204
10511	0.144
21011	0.0
11678	0.204
3644	0.0
6320	0.0
10947	0.0
10787	0.236
60524	0.0
55091	0.0
2606	0.0
7208	1.943
1446	2.771
8520	8.078
7626	0.236
11526	0.0
124968	0.408
21105905	0.493
21106560	0.493
10437215	0.679
2039535	0.637
7161	2.722
13885245	1.284
62472	2.824
7678	0.408
11819	0.667
99440	1.021
123993	0.923
12225	0.0
693	0.0
11080	1.020
10197150	0.667
13255	0.589
83962	9.999
13839199	0.408
13634	0.493
7221	0.493
456015	0.493
7030	0.0
8860	4.325
642951	3.954
11773	1.352
6898	2.003
8262	4.457
6089	0.0
13835977	0.0
7677	0.408
60121	1.589
21106518	1.982
9970	0.408
8273	4.302
73479	2.112
7443	1.069
86394	5.408
9454	1.685
8282	4.001
13856959	2.224
6453	9.692
78828	6.350
62530	0.637
7242	0.493
65750	0.650
24041	0.246
5708	0.0
23730	0.0
23621376	0.0
21111781	1.609
7225	0.493
21106470	1.886
247721	0.864
7029	0.0
21106581	1.943
11283	5.046
156255	0.471
13869480	1.240
11488212	2.771
10992	1.240
62597	0.0
4937830	0.0
844	0.236
21105870	0.679
2005981	0.0
199342	3.273
6745	2.311
6916	2.010
11996	0.25
55188	0.0
11077	1.020
7240	0.493
66996	0.408
25886	0.493
12957	0.204
19953955	0.0
21943	0.289
19956441	0.0
19957731	0.0
7636	0.589
6146	0.0
62230	0.729
59674	0.0
11021	1.069
21106535	0.0
10181339	0.953
5596	1.138
13849989	0.448
132	1.498
70715	0.408
15855	2.722
84036	0.289
13328	28.178
10784857	N/A
22191	0.638
6123	0.0
8576	0.0
7851	0.0
15387	0.0
7811	0.0
7835	0.0
7769	0.0
7716	0.0
7564	0.0
6101	0.0
7466	0.204
11732	0.25
15803	2.771
7236	0.493
4437893	1.886
4489	1.138
12066	0.0
13835836	0.289
6720	2.771
11042	1.138
10940	1.138
10937	1.138
20570	1.040
19477	0.306
14169248	0.493
13648	1.040
15409	1.087
78	0.493
17868	1.886
4449	1.138
75951	0.748
72551	0.706
72793	0.923
11543	0.667
18	3.494
21105848	2.665
556589	1.762
880	1.093
7155	4.558
16359	3.673
8329	4.131
13842613	1.020
21132380	1.020
29001	0.236
11632	0.493
30516	0.523
26325090	0.0
21106145	2.566
10488	0.408
10292746	29.226
68832	0.667
23255	0.0
11699	0.391
11695	0.289
11739	0.707
11194	0.408
6165	0.0
10008	0.408
10790	0.236
62466	1.982
11595	1.943
6492	4.326
10451	13.428
2975965	7.494
8900	0.0
11230	0.0
99681	4.218
29015	0.0
8904	0.0
10018	0.0
12954	0.553
13867413	0.204
13054	1.260
24641	0.923
11056	0.25
11216	0.530
11210	0.0
11795	0.204
789	1.361
7131	1.040
13854242	2.020
1266019	0.606
558878	0.448
25890	0.523
68152	0.816
65936	0.493
11180	0.0
5830	0.637
6610	3.573
62485	1.498
10756	3.019
10181341	1.093
58234	8.867
5142	2.490
136966	1.069
64155	2.298
553578	0.448
18724	2.151
7688	0.408
220998	0.493
654	0.0
4366810	0.448
10422	0.748
558917	0.448
57726	6.080
6330	0.0
61707	0.0
10892	2.588
89258	6.332
18019	10.864
13860434	2.296
60886	14.042
13871718	0.679
1114	0.0
68224	13.351
68503	0.0
24533	0.493
8903	0.0
11265	1.009
120489	0.493
13869414	1.069
6301	0.723
19709	2.238
1664	0.408
2241	1.040
11107	0.144
10986	1.943
2441	8.867
137720	5.135
5593	1.414
4599	8.616
13836589	0.0
21106173	1.747
707	7.020
10384035	0.637
8855	1.886
5026296	8.867
10464	0.0
59483	8.057
17131	2.957
12161	0.0
26325086	2.198
7856	0.0
8562	0.0
7730	0.0
173	0.0
191058	2.566
9219586	9.814
65234	9.087
56117	0.854
21106366	1.093
25889	0.333
192748	4.740
13850142	2.490
390927	2.490
69340	0.650
81815	0.805
1577	0.0
71	2.722
6514	9.042
4445317	4.703
14556	1.540
20132	2.427
21782117	29.226
6774	2.665
11752	0.0
8960	0.0
6334	0.0
11460	1.374
10438331	5.650
10628694	2.404
6604	3.748
10756390	12.930
13803	0.0
63631	0.0
11788	0.408
455090	1.040
7223	0.493
11629	2.151
13856352	0.637
55443	0.650
453675	0.650
11465	1.540
120621	0.236
20119	0.204
55205	0.144
13816	0.0
26765	0.204
21181	0.289
10254	2.134
4962	1.305
592	0.0
7146	3.069
8521	10.764
29117	5.201
78467	1.685
28682	1.040
222538	1.374
7630	0.236
15427	0.679
11286	6.743
67465	2.437
10243171	1.685
11332993	1.697
392	1.138
206493	4.8
1361549	1.479
109838	0.0
28992	1.138
20843	1.138
13229	1.505
17784	1.274
12816	0.493
13104	3.229
5993	0.0
62589	0.408
7686	0.408
7624	0.236
7406	1.657
192642	0.236
70988	1.812
7018	0.0
3350	3.358
21361761	3.101
13849981	0.723
71089	0.408
10437135	0.637
65523	1.374
21106900	2.816
58563	1.498
86435	1.512
15413	1.655
10449	16.114
6842	4.325
7506	0.448
2656	6.709
13836520	0.072
9943	0.493
5978	0.0
17347	2.151
12445	1.021
3008	3.237
3277	5.468
9965	1.540
6270	2.475
13848341	0.638
26325182	6.498
105291	1.540
7791	0.0
71193	2.541
2925	5.471
70652	1.313
2424	8.621
21105859	1.040
502245	2.459
123860	0.0
73390	1.540
9088156	6.505
13848467	0.679
72556	0.650
122446	0.816
773	0.0
13835235	0.0
21106140	2.579
7480	0.408
108106	13.902
21106008	2.482
14299946	10.743
502855	2.459
7340	0.739
8158	0.0
13835376	0.0
127750	0.0
13839109	0.144
25552	1.609
13865630	0.858
256210	2.711
15702	4.354
589165	1.093
64699	1.443
5915	1.093
764	1.138
953	1.498
2157	3.123
3544	3.276
2038738	0.493
10710415	0.923
1348	0.0
13867714	1.886
59577	0.923
29107	0.0
15517	5.826
4103087	5.510
10996	2.342
194092	2.181
7092	2.151
13835224	0.0
1078	0.667
499714	1.581
11557190	9.036
970	4.824
24972	2.076
24535	2.238
8902	0.0
10437836	2.011
10437239	1.590
14627	3.033
25472	3.237
8470	2.315
3210	0.818
76154	3.580
13836591	0.0
455353	0.0
6658	3.781
26325085	0.677
124	1.685
13662	1.498
62265	6.707
13836399	0.0
16778	0.0
7705	0.204
11694	0.289
123207	1.138
67594	5.201
992	3.731
11930	0.962
13644	1.040
60329	0.0
7727	0.0
7728	0.0
7021	0.0
10948	0.0
1143	0.0
376	0.289
10801109	4.445
8030	4.370
8093	4.131
13658	3.374
21106586	1.673
21105699	1.886
13865426	0.638
71628	0.306
13837329	4.181
13837319	4.374
8241	4.444
11422351	5.299
1609	0.0
83866	1.138
67270	3.298
20198	9.723
361	4.235
7199	1.488
14916	5.617
10733068	16.115
16736498	25.079
6528	4.374
2297441	2.934
6033	2.490
13839553	0.0
10025	0.289
6524	5.045
8243	4.374
13860	1.040
1015	1.414
204209	2.343
61266	16.382
13874867	0.667
71430	0.961
13837303	4.373
7397	1.093
26325087	0.888
1906	1.685
363458	0.408
7684	0.408
13856009	1.040
1278	4.824
76394	1.069
7279	1.723
71787	0.667
11244	0.0
63889	1.138
13835336	0.0
83850	1.138
13835209	0.0
5004	0.289
7150	4.364
15016	0.0
503239	1.040
13837537	0.0
20848	3.553
13835293	0.0
6371	5.966
9873	6.158
11610	1.260
13839441	0.0
72056	0.0
34095	0.0
18685	0.0
62628	0.0
11875	0.0
40130	4.557
191	0.289
8528	1.020
10101	0.0
2849146	1.374
185	2.605
4590	1.812
18177	2.104
13854944	0.0
13836021	0.0
13884973	1.021
68568	1.498
13842001	0.289
15753	3.583
8733	0.0
1266393	0.204
6600	3.875
3693	5.410
4333	6.139
13090	2.983
