Compound Id	FMF
7676	0.857
13875281	0.75
13875230	0.75
6128	0.0
391	0.0
71390	0.0
2916	0.0
558875	0.0
12446	0.0
7957	0.0
10113	0.0
6087	0.0
18971812	0.0
13299573	0.0
3631	0.0
15755	0.833
67470	0.833
15756	0.833
15524	0.833
14441700	0.0
2062437	0.0
11911	0.0
11154	0.0
30713	0.0
21106172	0.6
127983	0.0
11148	0.0
10512	0.0
10526	0.0
24590970	0.0
11865	0.0
6042	0.0
13875320	0.75
7673	0.857
13875258	0.75
13875392	0.75
21108548	0.75
14995	0.833
14994	0.833
15475	0.833
15478	0.833
518	0.0
967	0.5
12499	0.5
71433	0.0
9484	0.0
11099	0.0
11110	0.0
11086	0.857
14692	0.0
24263	0.7
11857	1.0
391428	0.583
6309	0.0
7557	0.0
558883	0.0
56020	0.0
553642	1.0
16791	0.0
454209	0.0
9633	0.0
9377	0.0
9243	0.0
923	0.0
7850	0.0
7714	0.0
10437	0.0
6097	0.0
6083	0.0
10487	0.857
9614	0.857
13861343	0.0
11756	0.0
15476	0.833
274	0.0
56144	0.0
11864	0.0
11845	0.0
6125	0.0
12456	0.0
17880	0.0
7558	0.0
29036	0.0
1087	0.0
7001	0.6
10606755	0.0
55075	0.5
13868640	0.75
11351244	1.0
7090	0.6
7553	0.0
61213	0.0
23886	0.857
33421	0.857
15477	0.833
26010	0.857
30600	0.857
33455	0.857
33934	0.857
33932	0.857
15473	0.857
17099	0.857
17098	0.857
33933	0.857
15474	0.857
63863	0.0
454638	0.733
6121	0.0
6315	0.0
7330	1.0
6307	0.0
12219	0.0
7848	0.0
11863	0.0
7810	0.0
7766	0.0
7711	0.0
7552	0.0
6092	0.0
6088	0.0
26516	0.667
11087	0.857
8543	0.0
12209	0.0
9286	0.0
11806	0.0
6342	0.0
120464	0.0
7733	0.0
7738	1.0
21111820	0.833
8329688	0.0
6735	0.909
92731	0.0
6326	0.0
19766	0.545
6665	0.429
512621	0.0
9642	0.0
10124	0.0
6118	0.0
12010	0.0
11830	0.0
10497	0.0
31029	0.0
10340	0.833
1108	0.857
236	1.0
13875283	0.75
13840690	0.75
6737	0.909
6789	0.909
15620	0.769
2927	0.722
3973	0.0
12442	0.0
6095	0.0
10675065	0.0
11961	0.6
21111772	0.6
12228	0.857
1406720	0.733
6364	0.7
7180	0.6
7182	0.6
10669	0.6
55090	0.0
61487	0.0
6100	0.0
10410	0.6
13492	0.462
15747	0.429
13487	0.5
7385	0.667
10404	0.545
7419	0.6
7219	0.75
7739	1.0
9903	1.0
8868	1.0
16159	0.0
13300034	0.75
2018460	0.0
61149	0.0
11954	0.6
13029	0.6
13875432	0.75
7151	0.5
63054	0.545
7098	0.545
9095782	0.0
6635	0.0
8356	0.6
7128	0.667
15461	0.545
