Compound Id	ChiCluster [SC-3]
12220	0.0
7823	0.0
11849	0.0
3168	0.0
455420	0.0
10709	0.0
13837797	0.0
71876	0.569
18688	1.570
62249	1.570
55084	0.289
7694	0.289
7482	0.289
11716	0.289
7515	0.289
7076	0.569
7757	0.289
7511	0.289
7509	0.289
29005	0.289
10420	0.289
7475	0.289
7463	0.289
11910	1.561
7872	0.408
7875	0.408
7913	0.408
8568	0.408
14846	0.289
7800	0.289
11843	0.408
29012	0.408
7538	0.289
7536	0.289
7706	0.408
11680	0.289
11706	0.289
10653	0.289
7012	0.289
11065	0.408
28981	0.204
8525	0.408
7081	0.204
6313	0.408
6335	0.408
441	0.0
7838	0.0
5949	0.0
29029	0.0
7772	0.0
256	0.0
512	0.0
172	0.0
15443	0.204
66021	0.289
8674	0.408
13863629	0.204
13835351	0.606
6773	0.526
16736486	2.803
6621	0.538
13860641	0.402
21106525	0.493
13854136	0.471
13835151	0.577
10991	0.493
13860692	0.577
1019	0.0
62517	0.493
10903	0.622
6177	1.655
7064	0.569
6341	0.667
259	0.408
13249	0.408
7701	0.408
7888	0.408
12013	0.408
2863	0.408
7866	0.408
10033	0.408
370	0.408
12071	0.408
10035	0.408
4963	0.705
6907	0.691
553171	0.577
2041618	N/A
9411	1.570
7559	0.0
15965	0.402
6897	0.402
6883	0.402
7211	1.0
21105897	0.607
5439	0.408
7190	0.789
7469	0.697
10001	0.816
11625	0.901
6586	0.772
6675	0.705
472932	0.612
7073	0.977
8554	0.0
55130	0.697
10433	0.697
11992	0.697
7671	1.105
10446	1.969
7657	0.697
22453	0.471
7065	0.569
11045	0.289
7472	0.697
11207996	0.697
29016	0.816
7747	0.816
7627	0.816
10571	0.569
11647	0.612
66809	0.204
13865424	0.493
7175	0.691
7157	0.691
21112023	0.789
11582	0.704
7172	1.0
16119	0.856
864	0.0
79280	0.493
28947	1.112
7042	1.205
13837760	0.471
76894	N/A
205483	0.691
7737	0.0
6322	0.408
7132	0.5
8763	1.383
13848808	0.607
10837	1.131
13869434	0.760
21159695	0.493
6835	0.622
21108576	0.789
7533	0.612
56559	0.408
9053802	0.408
29000	0.408
7434	0.204
6312	0.408
8398	0.289
11898	0.0
72522	0.0
7928	0.0
14348	0.0
2581	0.0
11891	0.0
7917	0.0
7915	0.0
7901	0.0
7892	0.0
7882	0.0
8574	0.0
932	0.0
7812	0.0
7837	0.0
6040	0.0
258	0.0
1004	0.0
682	0.0
13872989	0.0
8665	0.493
6950	0.333
552744	0.408
70806	0.742
11671339	2.841
10251740	0.5
69914	2.780
13862665	0.408
21168813	0.789
175	0.577
6630	0.664
13840647	0.664
13860491	0.760
13839012	0.538
20545	0.816
8012	0.569
9564	0.760
7044	1.205
11003	0.408
10452	3.621
6314	0.408
4510484	0.204
66896	0.402
10437074	0.289
21105878	0.408
13839308	0.204
6753	0.798
374462	0.471
13869462	0.760
21106519	0.493
13860775	0.402
21106015	0.0
11809	0.0
12823	0.493
6649	0.5
6035	0.691
61739	0.827
392447	0.612
7142	0.789
66895	0.402
66887	0.402
9893	0.402
63518	0.402
59482	0.402
10696	4.828
67414	2.121
7074	0.977
7670	1.105
10797	0.859
6176	1.655
7534	0.577
10791	0.569
28986	0.289
10788	0.569
7621	0.816
10777	0.667
12972	0.289
9976	0.289
7514	0.289
215929	0.289
11025	0.289
7016	0.289
7871	0.408
21153	0.408
7802	0.408
12218	0.408
12632	0.408
7760	0.408
11095	0.408
7607	0.408
6321	0.408
558020	0.289
7790	0.0
6881	0.402
12061	0.204
67460	0.204
6790	0.622
8319	0.538
62964	3.660
62467	0.789
11193	1.339
11591	0.704
10411	0.901
10181338	0.704
59573	1.207
14998	1.561
13837190	0.0
1020	0.0
8141	0.289
8186	0.789
11600	0.493
10169	0.611
10343	1.398
447	0.402
12643	0.289
13846658	0.622
11596	0.704
28973	0.493
27296	0.493
11651	0.493
466305	2.265
9218	0.901
8183	1.0
7189	0.789
4878	0.577
13848793	0.622
21108577	0.606
123	0.493
26824	5.609
7028	0.289
7478	0.289
62489	0.204
21429023	2.803
2275	0.289
13835344	0.704
11793	0.408
13871721	0.0
6164	1.561
65785	0.704
6674	0.705
10616	0.939
526	0.704
11228	0.408
7003	0.569
21106520	0.289
13874733	0.289
6780	0.333
8098	0.333
70714	0.289
28969	0.612
7241	0.204
6577	0.469
9120	1.205
13853758	0.789
11525	0.289
4481813	0.0
13876103	0.606
8058	0.812
6593	0.605
14672	1.561
13850082	1.743
63903	0.204
17443	0.204
62808	0.289
6855	0.833
13638	0.0
18717	1.570
15954	0.569
7622	0.816
7310	0.493
63156	0.0
12626	0.0
28994	0.0
61765	0.402
10772140	0.408
13860335	0.204
10939	0.471
3463	2.610
7679	0.289
6296	1.784
5894	0.408
11586	0.902
1448	1.205
217	0.0
7459	0.289
11024	0.289
7026	0.289
11239	0.667
11861	0.408
11036	0.289
11029	0.289
11794	0.408
10511	0.408
21011	0.408
11678	0.289
3644	0.577
6320	0.408
10947	0.289
10787	0.569
60524	0.408
55091	1.655
2606	1.655
7208	1.0
1446	0.994
8520	5.536
7626	0.816
11526	0.289
124968	0.289
21105905	0.204
21106560	0.204
10437215	0.204
2039535	0.204
7161	0.971
13885245	0.493
62472	0.902
7678	0.289
11819	0.816
99440	1.969
123993	0.402
12225	0.289
693	0.0
11080	0.577
10197150	0.816
13255	0.577
83962	2.152
13839199	0.289
13634	0.204
7221	0.204
456015	0.204
7030	0.289
8860	0.667
642951	1.107
11773	0.408
6898	0.811
8262	0.675
6089	0.0
13835977	0.0
7677	0.289
60121	0.402
21106518	0.789
9970	0.289
8273	0.662
73479	0.676
7443	0.493
86394	1.390
9454	0.901
8282	0.827
13856959	0.606
6453	1.140
78828	3.621
62530	0.204
7242	0.204
65750	0.204
24041	0.289
5708	0.204
23730	0.289
23621376	0.0
21111781	0.333
7225	0.204
21106470	0.333
247721	0.493
7029	0.289
21106581	1.0
11283	0.611
156255	0.471
13869480	0.493
11488212	0.994
10992	0.493
62597	0.0
4937830	0.0
844	0.816
21105870	0.204
2005981	0.577
199342	2.003
6745	0.636
6916	0.691
11996	1.561
55188	1.207
11077	0.577
7240	0.204
66996	0.289
25886	0.204
12957	0.289
19953955	0.0
21943	0.289
19956441	0.0
19957731	0.0
7636	0.577
6146	2.0
62230	0.927
59674	0.0
11021	0.493
21106535	0.289
10181339	0.612
5596	0.471
13849989	0.697
132	0.789
70715	0.289
15855	0.971
84036	0.204
13328	2.818
10784857	N/A
22191	0.697
6123	0.577
8576	0.0
7851	0.0
15387	0.0
7811	0.0
7835	0.0
7769	0.0
7716	0.0
7564	0.0
6101	0.0
7466	0.289
11732	1.561
15803	0.994
7236	0.204
4437893	0.697
4489	0.577
12066	0.0
13835836	0.289
6720	0.994
11042	0.577
10940	0.471
10937	0.471
20570	0.5
19477	0.204
14169248	0.204
13648	0.5
15409	0.493
78	0.204
17868	0.333
4449	0.471
75951	0.697
72551	0.697
72793	0.577
11543	0.569
18	0.898
21105848	0.526
556589	0.333
880	0.612
7155	1.5
16359	1.205
8329	0.718
13842613	0.577
21132380	0.577
29001	0.816
11632	0.204
30516	0.204
26325090	0.0
21106145	1.0
10488	0.289
10292746	2.897
68832	0.697
23255	0.408
11699	0.289
11695	0.289
11739	1.561
11194	1.339
6165	1.561
10008	0.289
10790	0.569
62466	0.789
11595	1.0
6492	0.744
10451	6.036
2975965	1.282
8900	0.0
11230	0.408
99681	1.892
29015	0.0
8904	0.0
10018	0.0
12954	0.204
13867413	0.289
13054	0.493
24641	0.577
11056	1.561
11216	1.207
11210	0.927
11795	0.408
789	0.977
7131	0.5
13854242	0.691
1266019	1.105
558878	0.697
25890	0.204
68152	1.570
65936	0.204
11180	1.655
5830	0.204
6610	0.812
62485	0.789
10756	1.380
10181341	0.612
58234	1.803
5142	1.799
136966	0.493
64155	0.902
553578	0.697
18724	1.510
7688	0.289
220998	0.204
654	0.0
4366810	0.697
10422	0.697
558917	0.697
57726	1.539
6330	0.408
61707	0.667
10892	0.636
89258	1.631
18019	6.950
13860434	0.606
60886	1.762
13871718	0.204
1114	0.577
68224	3.707
68503	0.707
24533	0.204
8903	0.0
11265	0.803
120489	0.204
13869414	0.493
6301	1.615
19709	0.811
1664	0.289
2241	0.5
11107	0.408
10986	1.0
2441	1.803
137720	1.230
5593	0.333
4599	1.291
13836589	0.0
21106173	0.866
707	1.155
10384035	0.204
8855	0.333
5026296	1.803
10464	0.408
59483	3.621
17131	0.754
12161	0.707
26325086	1.496
7856	0.0
8562	0.0
7730	0.0
173	0.577
191058	1.0
9219586	1.433
65234	1.774
56117	1.207
21106366	0.612
25889	0.5
192748	1.402
13850142	1.799
390927	1.799
69340	0.204
81815	0.5
1577	0.289
71	0.971
6514	1.133
4445317	1.812
14556	0.402
20132	0.612
21782117	2.897
6774	0.526
11752	0.408
8960	0.0
6334	0.408
11460	0.402
10438331	0.867
10628694	0.622
6604	0.827
10756390	3.828
13803	0.927
63631	0.667
11788	0.289
455090	0.5
7223	0.204
11629	0.606
13856352	0.204
55443	0.204
453675	0.204
11465	0.402
120621	0.816
20119	0.408
55205	0.408
13816	0.289
26765	0.289
21181	0.289
10254	0.705
4962	0.402
592	0.667
7146	1.077
8521	6.743
29117	1.199
78467	0.901
28682	0.5
222538	0.402
7630	0.816
15427	0.204
11286	1.188
67465	1.190
10243171	0.901
11332993	0.901
392	0.577
206493	1.020
1361549	0.408
109838	0.0
28992	0.577
20843	0.471
13229	1.021
17784	1.510
12816	0.204
13104	0.469
5993	0.408
62589	0.289
7686	0.289
7624	0.816
7406	0.816
192642	0.569
70988	0.816
7018	0.289
3350	0.994
21361761	0.811
13849981	1.615
71089	0.289
10437135	0.204
65523	0.402
21106900	0.902
58563	0.789
86435	0.816
15413	0.927
10449	7.243
6842	0.667
7506	0.697
2656	2.122
13836520	0.204
9943	0.204
5978	2.0
17347	1.510
12445	1.969
3008	1.245
3277	1.231
9965	0.901
6270	0.707
13848341	0.577
26325182	1.413
105291	0.789
7791	0.0
71193	1.195
2925	1.349
70652	0.816
2424	1.253
21105859	0.408
502245	1.015
123860	0.0
73390	0.402
9088156	4.048
13848467	0.204
72556	0.204
122446	1.570
773	0.0
13835235	0.0
21106140	0.537
7480	0.289
108106	2.828
21106008	0.537
14299946	4.828
502855	1.015
7340	0.204
8158	0.204
13835376	0.0
127750	0.0
13839109	0.408
25552	0.333
13865630	0.577
256210	0.622
15702	2.284
589165	0.612
64699	1.570
5915	0.612
764	0.577
953	0.789
2157	1.044
3544	1.305
2038738	0.204
10710415	0.577
1348	0.289
13867714	0.333
59577	0.402
29107	0.667
15517	0.850
4103087	1.398
10996	1.062
194092	0.692
7092	1.510
13835224	0.408
1078	0.816
499714	1.502
11557190	4.828
970	0.605
24972	0.760
24535	0.811
8902	0.0
10437836	1.112
10437239	0.704
14627	0.538
25472	1.245
8470	1.062
3210	0.986
76154	1.344
13836591	0.0
455353	0.0
6658	1.720
26325085	1.207
124	0.901
13662	0.789
62265	1.383
13836399	0.0
16778	0.0
7705	0.408
11694	0.289
123207	0.577
67594	1.199
992	0.939
11930	0.859
13644	0.5
60329	0.0
7727	0.0
7728	0.0
7021	0.289
10948	0.289
1143	0.577
376	0.816
10801109	0.754
8030	0.778
8093	0.718
13658	0.943
21106586	0.761
21105699	0.333
13865426	0.697
71628	0.204
13837329	0.744
13837319	0.744
8241	0.744
11422351	1.912
1609	0.0
83866	0.471
67270	1.799
20198	2.195
361	1.164
7199	0.704
14916	1.231
10733068	4.755
16736498	2.685
6528	0.744
2297441	1.021
6033	1.799
13839553	0.0
10025	0.816
6524	1.560
8243	0.744
13860	0.5
1015	0.333
204209	0.908
61266	2.147
13874867	0.697
71430	0.408
13837303	0.744
7397	0.612
26325087	0.471
1906	0.901
363458	0.289
7684	0.289
13856009	0.5
1278	0.605
76394	0.493
7279	0.773
71787	0.697
11244	0.667
63889	0.577
13835336	0.0
83850	0.471
13835209	0.0
5004	0.816
7150	1.066
15016	0.0
503239	0.5
13837537	0.0
20848	2.258
13835293	1.207
6371	1.777
9873	0.798
11610	0.493
13839441	0.0
72056	0.0
34095	0.0
18685	0.0
62628	0.0
11875	0.0
40130	1.034
191	0.816
8528	0.577
10101	0.927
2849146	0.402
185	0.538
4590	0.816
18177	1.112
13854944	0.408
13836021	0.0
13884973	1.969
68568	0.789
13842001	0.204
15753	1.016
8733	0.0
1266393	0.408
6600	0.878
3693	1.218
4333	2.351
13090	0.526
13839416	0.0
