Compound Id	V
7098	0.969
61191	0.969
73412	0.97
6176	0.97
10791	0.97
10788	0.97
7621	0.97
11025	0.97
11095	0.97
5949	0.97
63156	0.97
10101	0.971
68156	0.972
9377	0.972
5026296	0.972
13648	0.973
2241	0.973
13644	0.973
13856009	0.973
11087	0.975
8657	0.975
8665	0.975
9564	0.975
447	0.975
2039535	0.975
10384035	0.975
4962	0.975
10437135	0.975
7776	0.977
7180	0.979
7182	0.979
10669	0.979
8531	0.979
8335	0.979
10253	0.979
10979	0.979
7181	0.979
13875160	0.98
13875281	0.98
13875230	0.98
13840690	0.98
4449	0.982
744	0.982
68832	0.985
7674	0.986
8908	0.986
191367	0.987
11695	0.987
7766	0.988
61487	0.988
331	0.99
7142	0.99
132	0.99
7145	0.99
13846959	0.99
13853943	0.99
222538	0.99
65523	0.99
2849146	0.99
10437210	0.99
21108548	0.992
21106019	0.995
21106014	0.995
16159	0.996
7786	0.997
7219	0.998
7521	0.998
7641	0.998
6967	0.998
9874	0.998
13054	0.998
15443	1.002
10939	1.002
6179	1.002
21106470	1.003
8855	1.003
11861	1.005
11845	1.009
13839308	1.012
10536	1.012
7823	1.013
7812	1.013
11793	1.013
7622	1.013
7459	1.013
11024	1.013
11794	1.013
11678	1.013
10787	1.013
7626	1.013
11996	1.013
55188	1.013
11732	1.013
10790	1.013
11056	1.013
11180	1.013
13866593	1.013
7703	1.013
21106020	1.013
13853953	1.013
21106013	1.013
256210	1.013
7518	1.014
13876539	1.014
7132	1.014
21106524	1.014
21168826	1.014
13865424	1.014
71433	1.016
455090	1.016
503239	1.016
13860775	1.016
13869480	1.016
13869414	1.016
11849	1.017
11083	1.02
6988	1.02
8140	1.02
65	1.02
10857	1.02
6633	1.02
21111822	1.021
7239	1.021
6550	1.021
26325086	1.022
71430	1.022
21106173	1.022
7765	1.022
13859497	1.023
6775	1.026
11672	1.026
11773	1.026
12012	1.028
7761	1.028
8552	1.028
62249	1.028
7515	1.028
7475	1.028
29012	1.028
11706	1.028
7064	1.028
11992	1.028
10446	1.028
7065	1.028
11207996	1.028
7747	1.028
11193	1.028
19956441	1.028
11107	1.028
11694	1.028
11930	1.028
9903	1.03
4963	1.031
953	1.031
21106146	1.032
21106144	1.032
13863774	1.032
73479	1.032
58563	1.032
299166	1.032
13875320	1.032
13875258	1.032
13875392	1.032
21112023	1.032
13851576	1.032
11769	1.033
10432	1.033
10328	1.033
63310	1.033
59573	1.035
7161	1.038
6720	1.038
13850142	1.038
390927	1.038
206493	1.038
11667	1.038
21106018	1.038
12823	1.038
55205	1.04
69982	1.044
10710415	1.044
13865426	1.044
6780	1.044
8098	1.044
6658	1.044
9970	1.045
7528	1.045
7530	1.045
11489	1.046
526	1.047
6339	1.047
7984	1.048
21111817	1.048
63906	1.048
3350	1.049
1446	1.049
18	1.049
71	1.049
7146	1.049
11121	1.052
555074	1.052
7811	1.054
8562	1.054
7624	1.054
8158	1.054
6079	1.054
434	1.054
8071	1.054
21105959	1.057
13865438	1.057
21106135	1.057
7391	1.057
28982	1.057
13839110	1.057
13839151	1.057
13865680	1.057
11604	1.057
13839128	1.057
13839174	1.057
13839105	1.057
13839123	1.057
11021	1.057
20570	1.057
7131	1.057
5830	1.057
24972	1.057
10992	1.057
553171	1.06
13860817	1.061
11778	1.061
13860720	1.061
136966	1.061
13848793	1.062
30572	1.062
7866	1.064
19957731	1.064
10257	1.065
7211	1.065
7172	1.065
13875356	1.066
13875212	1.066
13868640	1.066
10864	1.066
21181	1.07
12445	1.07
122446	1.07
62534	1.071
62408	1.071
11830	1.071
13835836	1.071
13835376	1.071
127750	1.071
13836399	1.071
13884973	1.071
13839416	1.071
21109330	1.071
18707	1.072
6883	1.073
7189	1.073
28969	1.073
61765	1.073
21111781	1.073
5915	1.073
68568	1.073
64699	1.073
7140	1.073
8070	1.073
7190	1.073
10181341	1.073
221226	1.074
10526	1.076
120464	1.076
7150	1.077
12259	1.077
13860	1.08
11563	1.082
7003	1.083
7662	1.084
13862559	1.084
13864445	1.084
13865630	1.084
553642	1.084
8876	1.085
906	1.085
13638	1.086
6480	1.087
11866	1.087
13839109	1.087
11591	1.088
9454	1.09
21106148	1.09
6781	1.09
206561	1.09
13803	1.094
8560	1.095
11094	1.095
11023	1.095
11055	1.095
10786	1.095
7619	1.095
10755	1.095
11551	1.095
221082	1.096
7129	1.096
8950	1.096
15965	1.096
13868660	1.097
7092	1.097
924	1.098
13860641	1.098
21106525	1.098
10991	1.098
13869434	1.098
6630	1.098
13840647	1.098
13860491	1.098
13869462	1.098
63903	1.098
62530	1.098
13856352	1.098
551	1.102
14627	1.103
191	1.103
558917	1.103
6301	1.103
10616	1.106
5882	1.106
8183	1.106
6646	1.107
84971	1.107
388391	1.107
10980	1.107
10972	1.107
6674	1.107
361	1.108
13063	1.109
10797	1.111
28986	1.111
7760	1.111
7838	1.111
230	1.112
13842001	1.112
18801	1.112
21108576	1.114
21106518	1.114
62466	1.114
62485	1.114
11460	1.114
10254	1.114
21169510	1.114
880	1.114
7397	1.114
8674	1.115
62517	1.116
11651	1.116
10437215	1.116
60121	1.116
21105859	1.116
13848467	1.116
120548	1.116
2923	1.116
28947	1.116
21105878	1.116
11625	1.117
7815	1.118
7827	1.118
11761	1.118
14998	1.118
21168831	1.121
15482	1.123
10975	1.124
10870	1.124
10837	1.124
9120	1.124
1448	1.124
22191	1.126
15438	1.127
14751	1.127
8909	1.127
10265264	1.127
10179173	1.127
21800	1.127
15765	1.127
11699	1.128
7810	1.129
12069	1.129
13839575	1.13
1253	1.131
7176	1.131
10181338	1.131
21105848	1.131
10892	1.131
124	1.131
87265	1.131
13848808	1.131
13860434	1.131
11629	1.131
73390	1.131
10437335	1.131
38364	1.136
27488	1.136
14227	1.137
13835126	1.137
17347	1.138
7385	1.139
7128	1.139
11660	1.139
11409	1.139
7659	1.139
6977	1.139
10236	1.139
11366	1.142
21106172	1.142
7001	1.142
13029	1.142
13030	1.142
11422351	1.142
6665	1.143
8341	1.144
6739	1.144
7208	1.147
992	1.147
8182	1.147
11038	1.15
16791	1.15
11864	1.15
12161	1.153
12061	1.153
7837	1.154
18717	1.154
15954	1.154
11029	1.154
10511	1.154
11819	1.154
99440	1.154
11543	1.154
11739	1.154
11194	1.154
11216	1.154
11210	1.154
7202	1.154
21168813	1.155
6881	1.155
8186	1.155
21105870	1.155
21106366	1.155
15517	1.162
25890	1.162
13811	1.162
7809	1.163
7042	1.165
6706	1.165
68179	1.167
5979	1.168
55123	1.169
7803	1.169
18688	1.169
7482	1.169
10420	1.169
11843	1.169
7536	1.169
55130	1.169
10433	1.169
7657	1.169
22453	1.169
11045	1.169
29016	1.169
14169248	1.169
11632	1.169
11265	1.169
65763	1.17
392447	1.17
8097	1.171
11585	1.172
78467	1.172
1906	1.172
11488212	1.172
14556	1.172
7383	1.173
6642	1.175
589165	1.177
11961	1.183
21111772	1.183
11954	1.183
21106586	1.185
6790	1.185
8319	1.185
21106581	1.188
21106145	1.188
6023	1.189
11588	1.19
6675	1.19
8883	1.192
68503	1.192
10614293	1.193
7833	1.193
4516601	1.193
4516599	1.193
4512361	1.193
4512642	1.193
7835	1.195
15093	1.195
11286	1.195
5142	1.197
96749	1.197
61538	1.198
10246	1.198
12244	1.198
10248	1.198
9911	1.198
16119	1.198
13871718	1.198
25552	1.198
13658	1.198
12060	1.198
11647	1.202
61739	1.203
8282	1.203
6492	1.203
21106571	1.206
21106163	1.206
21106540	1.206
6737	1.208
6789	1.208
61001	1.208
4446445	1.208
71628	1.208
59577	1.21
11875	1.212
12010	1.212
455353	1.212
205483	1.213
7278	1.214
11576	1.214
6897	1.214
6035	1.214
13835344	1.214
10181339	1.214
11589	1.214
30595	1.214
7175	1.214
7157	1.214
8807	1.216
11865	1.217
20124	1.219
17619	1.222
2068	1.222
5236	1.222
4103087	1.223
6736	1.226
6788	1.226
83962	1.227
7044	1.228
16359	1.228
10986	1.229
191058	1.229
13835630	1.23
2937774	1.231
11708	1.233
86394	1.233
10411	1.236
349	1.236
11035	1.236
11104	1.236
10795	1.236
305	1.236
10445	1.236
71193	1.238
67270	1.238
6033	1.238
21159695	1.239
13853758	1.239
18724	1.239
15427	1.239
10996	1.24
6296	1.241
11776	1.241
17868	1.242
13867714	1.242
21105699	1.242
376	1.244
11586	1.247
62472	1.247
11584	1.248
29026	1.25
57726	1.25
7802	1.252
441	1.252
9633	1.254
11465	1.255
10243171	1.255
11332993	1.255
11610	1.255
11422	1.255
194092	1.255
7199	1.255
26516	1.256
27296	1.256
72556	1.256
19709	1.257
391428	1.257
14198	1.257
6402	1.257
14680	1.258
6478	1.259
8262	1.26
8273	1.26
7888	1.26
6735	1.26
6588	1.26
7420	1.262
10343	1.264
19766	1.265
13047	1.265
11294	1.266
75951	1.267
72793	1.267
7076	1.268
10422	1.269
11863	1.27
13846749	1.272
21108577	1.272
7406	1.272
21106008	1.272
65701	1.272
21105897	1.272
11596	1.272
21106900	1.272
9965	1.272
10410	1.28
7419	1.28
8356	1.28
6999	1.28
7088	1.28
7448	1.28
7183	1.28
7155	1.28
11871	1.281
13835351	1.284
6773	1.284
6852	1.285
2157	1.288
6604	1.289
17880	1.291
99681	1.292
67460	1.294
18920	1.294
11841	1.294
8569	1.294
455420	1.294
7533	1.294
7434	1.294
932	1.294
123993	1.294
62230	1.294
9893	1.296
10586285	1.297
6688	1.298
109705	1.298
7151	1.299
9724	1.3
10265270	1.3
10179239	1.3
6586	1.301
13872122	1.303
11862	1.304
440	1.306
7694	1.31
11716	1.31
29005	1.31
8568	1.31
7538	1.31
370	1.31
7073	1.31
26325090	1.31
6898	1.311
556589	1.311
13854242	1.313
7310	1.313
11595	1.313
6593	1.315
2441	1.316
56117	1.317
68676	1.317
6635	1.321
62265	1.321
20939	1.323
6828	1.324
6577	1.324
13104	1.324
21106570	1.328
18177	1.329
15755	1.33
67470	1.33
15756	1.33
15524	1.33
14995	1.33
14994	1.33
15475	1.33
15478	1.33
15476	1.33
15477	1.33
62484	1.331
29025	1.334
7851	1.336
7856	1.336
454638	1.337
1406720	1.337
21105998	1.339
61411	1.339
69177	1.339
10244	1.339
15855	1.339
24535	1.339
14678	1.339
13846663	1.339
69340	1.339
63863	1.34
63968	1.342
70660	1.343
62628	1.353
123860	1.353
4611	1.354
13885245	1.354
6745	1.354
13876103	1.354
7279	1.354
6592	1.357
3756	1.358
13850082	1.358
1266019	1.358
7850	1.358
541032	1.359
58234	1.359
218253	1.36
8912	1.362
2424	1.363
66656	1.363
71437	1.367
10831	1.367
10829	1.367
10851	1.367
10813	1.367
13677	1.367
10849	1.367
10850	1.367
10909	1.367
10918	1.367
10841	1.367
10908	1.367
642951	1.369
917	1.371
9824	1.372
1278	1.372
10437836	1.374
2206	1.374
7849	1.377
17558	1.377
13439	1.377
13402	1.377
76154	1.379
2915	1.379
6794	1.38
21106519	1.38
65750	1.38
12637	1.381
20198	1.382
7302	1.383
10903	1.383
13839012	1.383
6855	1.383
7315	1.383
13846658	1.383
26325182	1.384
10025	1.385
967	1.387
28993	1.389
15846	1.39
29029	1.392
7670	1.392
9976	1.392
12632	1.392
6287	1.393
23886	1.395
33421	1.395
67465	1.396
15753	1.396
79280	1.397
28973	1.397
7852	1.399
72551	1.408
24641	1.408
18410	1.409
8910	1.409
4366810	1.41
7848	1.411
14256731	1.412
6907	1.413
8860	1.413
62310	1.413
70988	1.413
86435	1.413
6840	1.415
10801842	1.415
11974	1.416
15461	1.421
10404	1.421
89258	1.421
192748	1.421
6835	1.424
11003	1.424
10756	1.425
2656	1.425
13837329	1.429
502855	1.429
34863	1.43
6753	1.431
14692	1.432
12456	1.432
10438331	1.435
8574	1.435
18336	1.436
59482	1.437
8935	1.438
60886	1.442
66675	1.445
15488	1.446
15489	1.447
558878	1.447
553578	1.447
55084	1.451
7509	1.451
7800	1.451
12954	1.451
13229	1.451
158870	1.453
157093	1.453
83374	1.453
457144	1.453
135925	1.453
457145	1.453
84188	1.453
136000	1.453
135983	1.453
136001	1.453
136002	1.453
136003	1.453
84235	1.453
457140	1.453
12674	1.453
64155	1.454
970	1.454
4590	1.454
8111	1.454
12013	1.456
12044	1.465
12045	1.465
12047	1.465
7299	1.465
21106140	1.465
25677	1.466
67991	1.467
15803	1.468
502245	1.47
10227261	1.471
44152	1.472
12809	1.475
15387	1.476
8470	1.477
5027	1.479
21106365	1.479
21106091	1.479
16804	1.48
55443	1.48
67653	1.481
2185	1.481
2991	1.481
137720	1.481
11919	1.482
26010	1.482
30600	1.482
33455	1.482
33934	1.482
33932	1.482
6600	1.483
2121	1.485
13849989	1.49
13849981	1.49
7506	1.49
18685	1.494
3741	1.495
8374	1.495
247721	1.495
15409	1.495
79969	1.495
13871489	1.502
23150	1.504
6807	1.505
15620	1.508
15621	1.508
26260	1.508
68437	1.508
15619	1.508
15861	1.508
12682	1.508
42330	1.515
15413	1.517
34866	1.517
34665	1.517
34664	1.517
37904	1.517
34864	1.517
34188	1.517
34865	1.517
14840	1.518
13448	1.518
14866	1.519
20132	1.52
10400	1.522
13835294	1.529
67360	1.531
12218	1.533
55075	1.534
9873	1.536
14349	1.54
6842	1.543
6066	1.543
512621	1.545
13090	1.546
15702	1.548
11369	1.55
12219	1.552
56793	1.553
454495	1.553
40191	1.553
56791	1.553
35581	1.553
15495	1.554
466305	1.554
65785	1.554
6916	1.554
70652	1.554
12133	1.556
17131	1.561
13487	1.562
7170	1.562
553649	1.563
8816	1.565
15473	1.569
17099	1.569
17098	1.569
33933	1.569
15474	1.569
82755	1.575
82712	1.575
157094	1.575
103011	1.575
102798	1.575
82762	1.575
27793	1.575
82754	1.575
457138	1.575
102897	1.575
457139	1.575
102947	1.575
97173	1.575
102720	1.575
102801	1.575
102833	1.575
102721	1.575
102856	1.575
102933	1.575
103066	1.575
97172	1.575
106355	1.575
15486	1.576
12220	1.576
7882	1.576
63518	1.578
707	1.58
8067	1.58
6827	1.582
5807	1.582
8800	1.585
29153	1.585
70682	1.586
11439687	1.588
56774	1.588
82765	1.588
7511	1.592
7872	1.592
14846	1.592
2863	1.592
7600	1.592
12699	1.595
8058	1.598
3918	1.599
24326358	1.599
3008	1.599
13835706	1.6
66655	1.602
34868	1.604
37905	1.604
34869	1.604
37918	1.604
37915	1.604
34867	1.604
25605	1.604
26011	1.604
34870	1.604
34666	1.604
21924	1.604
29117	1.605
8241	1.605
69371	1.609
70806	1.611
1710	1.611
12635	1.616
8576	1.617
25472	1.618
2169	1.62
453675	1.62
40130	1.621
2297441	1.633
34095	1.635
8329	1.637
60858	1.639
6610	1.639
34874	1.64
36972	1.64
56788	1.64
533188	1.64
35579	1.64
16182	1.64
46262	1.64
35580	1.64
82818	1.64
56790	1.64
56795	1.64
33458	1.64
82777	1.64
35584	1.64
56785	1.64
56792	1.64
34189	1.64
2283071	1.649
4932499	1.649
6453	1.651
13249	1.652
4450907	1.656
7964	1.657
13619	1.658
13303	1.661
13302	1.661
5004	1.666
15853	1.672
12972	1.674
7871	1.674
36973	1.675
37744	1.675
46894	1.675
45444	1.675
56769	1.675
56780	1.675
34847	1.675
39406	1.675
35081	1.675
56781	1.675
56771	1.675
56232	1.676
27749	1.676
8030	1.68
8093	1.68
13856959	1.68
8577	1.681
71876	1.69
34667	1.691
34871	1.691
34873	1.691
56784	1.691
34872	1.691
14620	1.697
102741	1.697
97055	1.697
97198	1.697
102834	1.697
102722	1.697
154865	1.697
96948	1.697
102743	1.697
102857	1.697
154866	1.697
106356	1.697
102787	1.697
97240	1.697
102742	1.697
68328	1.7
4268	1.7
4599	1.7
33416	1.702
13492	1.703
13837303	1.711
34859	1.711
84346	1.711
56760	1.711
56755	1.711
33666	1.711
6838	1.711
6270	1.716
7892	1.717
66887	1.718
89076	1.721
5026	1.722
36975	1.727
56778	1.727
56787	1.727
35583	1.727
82807	1.727
56794	1.727
33386	1.727
33457	1.727
47912	1.727
82817	1.727
46893	1.727
33280	1.727
35582	1.727
33304	1.727
46263	1.727
67594	1.728
3513	1.732
220998	1.733
17339596	1.738
8060	1.739
5233	1.748
14916	1.755
7891	1.757
10452	1.759
61266	1.759
20848	1.76
4768	1.76
43354	1.762
37779	1.762
45445	1.762
36974	1.762
35585	1.762
34848	1.762
84344	1.762
34850	1.762
82819	1.762
56772	1.762
82820	1.762
16415	1.762
56779	1.762
56768	1.762
56777	1.762
84345	1.762
34668	1.762
28552	1.774
3544	1.777
21361761	1.78
1262	1.782
4333	1.792
4575	1.797
2079	1.797
6193	1.798
82783	1.798
34852	1.798
37000	1.798
37019	1.798
56765	1.798
39198	1.798
82740	1.798
56761	1.798
56756	1.798
56766	1.798
83413	1.798
34851	1.798
36976	1.798
56767	1.798
56763	1.798
7890	1.799
12705	1.802
26325183	1.807
16387	1.807
6514	1.811
2457	1.811
15789876	1.811
3841535	1.813
16177	1.813
33281	1.814
56786	1.814
56789	1.814
33456	1.814
46264	1.814
13300034	1.814
21153	1.815
10106	1.816
1361549	1.816
32555	1.819
97257	1.82
97224	1.82
102923	1.82
96868	1.82
96864	1.82
97234	1.82
97233	1.82
154062	1.82
97142	1.82
5739	1.823
8817	1.823
56782	1.833
36977	1.833
83414	1.833
84348	1.833
82823	1.833
33617	1.838
4759	1.838
30881	1.838
3277	1.839
11632871	1.843
15747	1.844
4444100	1.846
10033	1.847
33282	1.849
46285	1.849
46284	1.849
82806	1.849
56776	1.849
47913	1.849
32952	1.849
45446	1.849
43353	1.849
56773	1.849
7901	1.858
66895	1.859
199342	1.859
6371	1.864
86007	1.871
12549	1.873
7757	1.874
7875	1.874
59483	1.882
34853	1.885
37745	1.885
36978	1.885
34190	1.885
34191	1.885
36771	1.885
36710	1.885
56757	1.885
549017	1.885
84347	1.885
56764	1.885
56758	1.885
47914	1.885
56762	1.885
33984	1.885
33983	1.885
91432	1.889
2700	1.892
16180	1.897
12933	1.898
7340	1.899
4445317	1.902
204209	1.903
4444102	1.905
72056	1.917
4437893	1.919
34860	1.92
82738	1.92
36982	1.92
36979	1.92
47915	1.92
56783	1.92
36981	1.92
37004	1.92
36980	1.92
5139	1.922
56775	1.936
