Compound Id	Experimental logarithmic BCF
587	3.181
588	0.157
589	3.502
590	2.783
591	2.34
592	2.091
593	3.189
594	-0.23
595	2.812
596	1.912
597	-0.312
598	0.199
599	3.176
600	-0.016
601	-0.188
602	0.749
603	2.91
604	0.135
605	2.321
606	0.094
607	2.54
608	2.348
609	1.654
610	1.413
611	1.4
612	0.717
614	1.404
615	-0.052
616	1.327
617	1.102
618	3.51
619	1.343
620	0.874
621	0.307
622	1.382
623	2.36
624	0.548
625	0.604
626	0.91
628	3.22
629	2.151
630	3.35
631	3.494
632	1.65
633	0.549
634	1.199
635	0.651
637	3.634
638	2.905
639	3.73
640	-0.03
641	4.111
642	3.58
643	2.705
644	2.314
645	0.27
646	2.73
647	4.39
648	4.049
649	1.26
650	0.298
651	0.875
652	0.476
653	1.477
654	3.591
655	3.29
656	1.535
657	3.66
658	2.546
659	2.859
660	0.433
661	1.632
662	3.18
663	3.158
664	3.252
665	1.277
666	1.356
667	0.84
668	0.96
669	2.051
670	4.05
671	0.541
672	2.718
673	1.821
674	3.5
675	1.916
676	1.954
677	4.14
678	3.5
679	4.56
680	4.067
681	2.39
682	3.86
683	5.694
684	4.02
685	3.98
686	4.26
687	4.85
688	3.379
689	3.65
690	3.968
691	3.645
692	4.338
693	0.245
694	4.08
696	0.729
697	3.11
698	1.578
699	3.41
700	2.055
701	3.29
703	3.11
704	1.199
705	3.266
706	1.204
707	0.778
708	1.322
709	2.301
710	2.655
711	-0.301
712	1.946
713	2.766
714	1.845
715	-0.398
716	-0.298
717	2.117
718	2.456
719	0.686
720	2.592
721	0.875
722	0.114
723	2.246
724	2.456
727	2.196
728	1.94
729	-1.523
730	-0.215
731	1.792
732	2.634
733	1.875
734	1.38
735	0.176
736	1.681
737	1.991
738	1.868
739	2.849
740	2.723
741	2.863
742	1.85
743	2.021
744	1.875
745	1.606
746	1.857
747	6.431
748	-0.125
749	3.477
750	1.875
751	4.708
752	2.477
753	2.863
754	2.223
755	2.736
756	1.851
757	2.362
758	3.778
759	1.431
760	3.29
761	2.505
762	1.806
763	1.681
764	1.146
765	3.708
766	2.699
767	3.176
768	1.875
769	1.838
770	2.816
771	-0.046
772	2.477
773	2.845
774	0.491
775	2.064
776	0.653
777	2.428
778	3.278
779	2.701
780	0.799
781	1.079
782	2.053
783	2.465
784	1.643
785	2.241
786	0.505
787	2.66
788	2.354
789	2.238
790	1.61
791	3.079
792	-0.229
793	2.831
794	2.58
795	3.29
796	2.704
797	1.793
798	4.07
799	0.479
800	1.869
801	2.394
802	0
803	2.401
804	3.484
805	3
806	2.332
807	-0.098
809	2.477
810	-0.409
811	1.602
812	1.848
813	1.954
814	3.231
815	1.86
816	3.295
818	3.431
819	1.447
820	0.505
821	1.875
822	1.03
823	-0.59
825	2.505
826	3.599
827	2.263
828	0.301
829	-0.199
830	0.877
831	2.623
832	1.182
833	1.014
834	1.133
835	2.479
836	1.389
837	0.78
838	0.107
839	2.449
840	0.486
841	3.11
842	2.066
843	1.062
844	1.205
845	1.287
846	-0.289
847	0.356
848	0.773
849	1.387
850	1.618
851	2.394
852	1.242
853	2.778
854	1.073
855	1.965
856	2.471
857	1.601
858	0.82
859	1.15
860	0.31
861	2.388
862	0.521
863	2.523
864	1.37
865	0.889
866	2.71
867	0.182
868	3.933
869	-0.199
870	2.41
871	0.559
872	0.163
873	3.657
874	2.87
875	4.392
876	-0.046
877	1.216
878	3.305
879	2.63
880	1.019
881	2.93
882	2.404
883	2.084
884	0.28
885	3.319
886	3.086
887	3.967
888	1.07
889	3.5
890	3.43
891	0.58
892	2.303
893	4.38
894	4.53
895	2.82
896	2.526
897	4.58
898	4.11
899	4.24
900	3.34
901	3.302
903	2.128
904	3.159
905	2.476
906	0.18
907	2.322
908	-0.523
909	2.279
910	1.898
911	1.799
912	2.111
913	2.041
914	1.38
915	3.409
916	2.684
917	0.792
918	1.322
919	2.996
920	0.633
921	3.255
922	2.826
923	4.286
924	1.011
925	2
926	2.243
927	1.085
928	1.681
929	1
930	2.4
931	0.583
932	2.8
933	1.901
934	1.623
935	0.533
936	3.312
937	2.806
938	1.262
939	1.344
940	0.999
941	-0.199
942	0.401
943	1.514
944	3.742
945	1.125
946	2.009
947	0.95
948	1.917
949	2.995
950	3.286
951	-0.651
952	0.76
953	-0.064
954	0.962
955	1.663
956	0.83
957	1.022
958	1.474
959	0.292
960	0.3
961	2.41
962	2.24
963	0.341
964	0.599
965	2.369
966	0.461
967	1.017
968	1.369
969	3.41
970	0.398
971	2
972	2.078
973	2.33
974	3.18
975	0.764
976	1.969
977	3.34
978	0.568
979	1.034
980	3.01
981	3.95
982	2.708
983	2.775
984	3.681
985	0.471
986	2.44
987	3.72
988	4.85
989	1.271
990	2.627
991	4.28
992	4.39
993	4.63
994	3.767
995	2.964
996	3.091
997	4.81
998	4.81
999	4.68
1000	3.35
1001	1.255
1002	1.531
1003	1.041
1004	2.507
1005	0.778
1006	1.748
1007	1.041
1008	1.462
1009	-0.398
1010	1.176
1011	2.613
1012	1.505
1013	1.812
1014	2.083
1015	0.792
1016	1.875
1017	2.004
1018	1.82
1019	0.415
1020	1.845
1021	2.267
1022	0.848
1023	2.446
1024	1.964
1025	0
1026	2.206
1027	2.707
1028	1.929
1029	3.94
1030	0.572
1031	0.204
1032	0.204
1033	1.505
1034	1.732
1035	2.477
1036	1.18
