Compound Id	Experimental BCF class
228	nB
229	nB
230	nB
231	nB
232	B
233	nB
234	B
235	nB
236	nB
237	nB
239	nB
240	B
241	nB
242	nB
243	B
244	B
245	B
246	B
247	B
248	nB
249	B
250	B
251	nB
252	nB
253	nB
254	B
255	nB
256	B
257	nB
258	nB
259	B
260	B
261	nB
264	nB
265	nB
266	B
267	nB
268	nB
269	nB
270	B
271	nB
272	B
273	nB
274	B
275	nB
276	nB
277	nB
278	nB
279	B
280	B
281	nB
282	nB
283	nB
284	nB
285	nB
286	nB
287	nB
288	nB
289	B
290	nB
291	nB
292	B
293	nB
294	B
295	nB
296	nB
297	nB
298	nB
299	nB
300	B
301	nB
302	nB
303	nB
304	nB
305	nB
306	nB
307	B
308	B
309	nB
310	nB
312	nB
313	B
314	nB
315	nB
316	nB
317	nB
318	B
319	nB
320	nB
321	nB
322	nB
323	B
324	nB
325	nB
326	nB
327	nB
328	B
329	nB
330	nB
331	nB
332	nB
333	nB
334	nB
335	nB
336	nB
337	nB
339	nB
340	nB
342	B
343	nB
344	B
345	nB
346	nB
347	nB
348	nB
349	nB
350	nB
351	nB
352	nB
353	nB
354	nB
355	nB
356	nB
357	nB
358	nB
359	nB
360	B
361	nB
362	nB
363	nB
364	nB
365	nB
366	nB
367	nB
368	nB
369	nB
370	nB
371	nB
372	nB
373	nB
374	nB
375	nB
376	nB
377	nB
378	nB
379	nB
380	nB
381	nB
382	nB
383	nB
384	nB
385	B
386	B
387	B
388	nB
389	B
390	nB
391	B
392	nB
393	nB
394	B
395	nB
396	nB
398	B
399	nB
400	nB
401	nB
402	B
403	nB
405	nB
406	B
407	nB
408	B
409	nB
410	nB
411	B
412	nB
413	B
414	nB
415	B
416	nB
417	B
418	nB
419	nB
420	nB
421	B
422	nB
423	nB
424	nB
425	nB
426	nB
427	nB
428	nB
429	B
430	B
431	nB
432	nB
433	nB
434	B
435	B
436	nB
437	nB
438	nB
439	nB
440	nB
441	B
442	nB
443	B
444	nB
445	B
446	nB
447	nB
448	nB
449	nB
450	nB
451	nB
452	nB
453	nB
454	B
455	nB
456	B
457	nB
458	B
459	nB
460	nB
461	nB
462	B
463	nB
464	nB
465	B
466	nB
467	nB
468	nB
469	nB
471	B
472	nB
473	nB
474	nB
475	nB
476	nB
477	nB
478	nB
479	nB
480	B
481	nB
482	B
483	nB
484	nB
485	nB
486	nB
487	nB
488	nB
489	nB
490	nB
491	nB
492	nB
494	nB
495	nB
496	nB
497	nB
498	nB
499	nB
500	nB
502	nB
504	nB
505	nB
506	nB
507	nB
508	nB
509	nB
510	nB
511	nB
512	nB
513	nB
514	nB
515	nB
516	nB
518	nB
519	nB
520	B
522	nB
523	nB
524	nB
525	nB
526	nB
527	nB
528	nB
529	nB
530	B
531	nB
532	nB
533	nB
534	B
535	nB
536	nB
537	nB
538	B
539	nB
540	nB
541	nB
542	nB
543	nB
544	nB
545	nB
546	nB
547	nB
548	nB
549	nB
550	nB
551	nB
552	nB
553	nB
554	nB
555	nB
556	nB
557	nB
558	nB
559	nB
560	nB
561	nB
562	nB
563	nB
564	nB
565	nB
566	nB
567	nB
568	nB
569	nB
570	nB
571	nB
572	nB
573	nB
574	nB
575	nB
576	nB
577	nB
578	nB
579	B
580	B
581	nB
582	nB
583	nB
584	nB
585	nB
586	nB
587	B
588	nB
589	B
590	nB
591	nB
592	nB
593	B
594	nB
595	nB
596	nB
597	nB
598	nB
599	B
600	nB
601	nB
602	nB
603	nB
604	nB
605	nB
606	nB
607	nB
608	nB
609	nB
610	nB
611	nB
612	nB
614	nB
615	nB
616	nB
617	nB
618	B
619	nB
620	nB
621	nB
622	nB
623	nB
624	nB
625	nB
626	nB
628	B
629	nB
630	B
631	B
632	nB
633	nB
634	nB
635	nB
637	B
638	nB
639	B
640	nB
641	B
642	B
643	nB
644	nB
645	nB
646	nB
647	B
648	B
649	nB
650	nB
651	nB
652	nB
653	nB
654	B
655	B
656	nB
657	B
658	nB
659	nB
660	nB
661	nB
662	B
663	B
664	B
665	nB
666	nB
667	nB
668	nB
669	nB
670	B
671	nB
672	nB
673	nB
674	B
675	nB
676	nB
677	B
678	B
679	B
680	B
681	nB
682	B
683	B
684	B
685	B
686	B
687	B
688	B
689	B
690	B
691	B
692	B
693	nB
694	B
696	nB
697	B
698	nB
699	B
700	nB
701	B
703	B
704	nB
705	B
706	nB
707	nB
708	nB
709	nB
710	nB
711	nB
712	nB
713	nB
714	nB
715	nB
716	nB
717	nB
718	nB
719	nB
720	nB
721	nB
722	nB
723	nB
724	nB
727	nB
728	nB
729	nB
730	nB
731	nB
732	nB
733	nB
734	nB
735	nB
736	nB
737	nB
738	nB
739	nB
740	nB
741	nB
742	nB
743	nB
744	nB
745	nB
746	nB
747	B
748	nB
749	B
750	nB
751	B
752	nB
753	nB
754	nB
755	nB
756	nB
757	nB
758	B
759	nB
760	B
761	nB
762	nB
763	nB
764	nB
765	B
766	nB
767	B
768	nB
769	nB
770	nB
771	nB
772	nB
773	nB
774	nB
775	nB
776	nB
777	nB
778	B
779	nB
780	nB
781	nB
782	nB
783	nB
784	nB
785	nB
786	nB
787	nB
788	nB
789	nB
790	nB
791	B
792	nB
793	nB
794	nB
795	B
796	nB
797	nB
798	B
799	nB
800	nB
801	nB
802	nB
803	nB
804	B
805	B
806	nB
807	nB
809	nB
810	nB
811	nB
812	nB
813	nB
814	B
815	nB
816	B
818	B
819	nB
820	nB
821	nB
822	nB
823	nB
825	nB
826	B
827	nB
828	nB
829	nB
830	nB
831	nB
832	nB
833	nB
834	nB
835	nB
836	nB
837	nB
838	nB
839	nB
840	nB
841	B
842	nB
843	nB
844	nB
845	nB
846	nB
847	nB
848	nB
849	nB
850	nB
851	nB
852	nB
853	nB
854	nB
855	nB
856	nB
857	nB
858	nB
859	nB
860	nB
861	nB
862	nB
863	nB
864	nB
865	nB
866	nB
867	nB
868	B
869	nB
870	nB
871	nB
872	nB
873	B
874	nB
875	B
876	nB
877	nB
878	B
879	nB
880	nB
881	nB
882	nB
883	nB
884	nB
885	B
886	B
887	B
888	nB
889	B
890	B
891	nB
892	nB
893	B
894	B
895	nB
896	nB
897	B
898	B
899	B
900	B
901	B
903	nB
904	B
905	nB
906	nB
907	nB
908	nB
909	nB
910	nB
911	nB
912	nB
913	nB
914	nB
915	B
916	nB
917	nB
918	nB
919	B
920	nB
921	B
922	nB
923	B
924	nB
925	nB
926	nB
927	nB
928	nB
929	nB
930	nB
931	nB
932	nB
933	nB
934	nB
935	nB
936	B
937	nB
938	nB
939	nB
940	nB
941	nB
942	nB
943	nB
944	B
945	nB
946	nB
947	nB
948	nB
949	B
950	B
951	nB
952	nB
953	nB
954	nB
955	nB
956	nB
957	nB
958	nB
959	nB
960	nB
961	nB
962	nB
963	nB
964	nB
965	nB
966	nB
967	nB
968	nB
969	B
970	nB
971	nB
972	nB
973	nB
974	B
975	nB
976	nB
977	B
978	nB
979	nB
980	B
981	B
982	nB
983	nB
984	B
985	nB
986	nB
987	B
988	B
989	nB
990	nB
991	B
992	B
993	B
994	B
995	nB
996	B
997	B
998	B
999	B
1000	B
1001	nB
1002	nB
1003	nB
1004	nB
1005	nB
1006	nB
1007	nB
1008	nB
1009	nB
1010	nB
1011	nB
1012	nB
1013	nB
1014	nB
1015	nB
1016	nB
1017	nB
1018	nB
1019	nB
1020	nB
1021	nB
1022	nB
1023	nB
1024	nB
1025	nB
1026	nB
1027	nB
1028	nB
1029	B
1030	nB
1031	nB
1032	nB
1033	nB
1034	nB
1035	nB
1036	nB
