Compound Id	BCUT [BCUTw-1h]
60121	15.996
69340	15.995
10992	15.995
6633	34.970
16804	15.995
21159695	14.003
455090	14.010
57726	15.998
7234	14.003
6630	14.003
71437	78.919
13063	12.150
558878	15.995
2005981	31.972
25886	15.995
71430	15.997
7736	14.003
447	15.998
21106525	14.003
18707	78.918
559096	14.008
13868660	126.904
707	34.974
7140	15.996
8070	15.996
387	16.001
10018	15.998
61001	19.0
13854136	14.009
1664	14.014
20570	14.009
13854248	34.969
7001	34.971
11366	34.971
21106540	34.972
21106570	34.973
15855	15.995
7790	15.998
13835209	15.998
8903	14.004
62489	15.998
8899	31.972
13634	14.003
13630	78.918
13869434	14.003
553578	15.995
66565	19.001
10437135	15.995
66021	34.969
7221	14.003
10857	34.970
7383	78.918
13030	34.971
6339	78.921
6736	12.110
10851	12.110
10850	12.110
23977588	34.974
434	34.969
24043	15.995
12069	15.996
191367	15.996
11799	15.996
7615	15.996
6338	16.001
11265	15.995
6135	16.001
72056	15.998
34095	15.998
18685	15.998
62628	15.998
67653	34.970
11875	15.998
21106032	34.970
7021	15.995
1348	14.014
66896	15.995
62534	15.995
62408	15.995
7389	15.995
13848467	15.998
72556	15.998
13835151	14.003
10991	14.003
13860692	14.003
13869462	14.003
38364	78.918
12045	12.150
2003	34.974
17784	15.995
12637	16.006
13839416	15.998
11694	15.995
29008	14.003
2606	34.971
21106524	15.995
12823	34.969
5889	14.009
81815	15.996
13840647	14.003
13875212	78.919
9579	18.998
21105859	15.996
19475	15.995
9874	15.996
13647	15.996
9350	18.998
21168826	15.995
10801842	31.972
65785	15.999
13860491	14.003
6780	14.003
10841	12.110
5593	14.014
25889	15.995
25890	15.995
10227261	16.006
220998	15.995
12954	15.995
9454	18.998
9360	18.998
13851576	78.919
21105848	16.006
12047	12.150
16736498	34.974
913	15.996
6478	12.1
6745	15.996
8912	15.999
12229	16.001
6898	15.996
10849	12.110
11038	126.904
89076	15.995
21105870	15.998
199342	15.995
19477	15.995
6287	30.974
13811	15.995
14169248	16.017
1019	14.103
10437074	34.969
21105878	15.996
21168813	15.995
235	16.006
8186	15.995
11596	15.997
13860775	15.998
6674	78.919
11083	34.970
2206	15.997
13872122	78.918
8098	14.003
10328	126.904
6737	34.969
6789	34.969
15861	12.110
7600	15.996
4445317	15.995
11632	15.995
7961	34.971
13885245	15.996
