Compound Id	ChiCluster [SC-3]
707	1.155
7140	0.789
8070	0.705
387	0.667
10018	0.0
61001	2.010
13854136	0.471
1664	0.289
20570	0.5
13854248	0.471
7001	0.943
11366	0.953
21106540	0.856
21106570	1.049
15855	0.971
7790	0.0
13835209	0.0
8903	0.0
62489	0.204
8899	0.0
13634	0.204
13630	0.289
13869434	0.760
553578	0.697
66565	0.577
10437135	0.204
66021	0.289
7221	0.204
10857	0.664
7383	0.204
13030	0.953
6339	0.667
6736	0.538
10851	0.827
10850	0.827
23977588	2.685
434	0.789
24043	0.204
12069	0.408
191367	0.408
11799	0.408
7615	0.408
6338	0.408
11265	0.803
6135	0.577
72056	0.0
34095	0.0
18685	0.0
62628	0.0
67653	0.0
11875	0.0
21106032	0.0
7021	0.289
1348	0.289
66896	0.402
62534	0.493
62408	0.402
7389	0.204
13848467	0.204
72556	0.204
13835151	0.577
10991	0.493
13860692	0.577
13869462	0.760
38364	0.664
12045	0.622
2003	2.686
17784	1.510
12637	0.0
13839416	0.0
11694	0.289
29008	0.0
2606	1.655
21106524	0.402
12823	0.493
5889	0.289
81815	0.5
13840647	0.664
13875212	0.471
9579	0.789
21105859	0.408
19475	0.289
9874	0.692
13647	0.5
9350	0.577
21168826	0.493
10801842	0.402
65785	0.704
13860491	0.760
6780	0.333
10841	0.731
5593	0.333
25889	0.5
25890	0.204
10227261	1.394
220998	0.204
12954	0.204
9454	0.901
9360	0.577
13851576	0.204
21105848	0.526
12047	0.622
16736498	2.685
913	0.5
6478	0.611
6745	0.636
8912	0.0
12229	0.289
6898	0.811
10849	0.827
11038	0.577
89076	0.612
21105870	0.204
199342	2.003
19477	0.204
6287	0.927
13811	0.526
14169248	0.204
1019	0.0
10437074	0.289
21105878	0.408
21168813	0.789
235	0.204
8186	0.789
11596	0.704
13860775	0.402
6674	0.705
11083	0.866
2206	1.221
13872122	0.204
8098	0.333
10328	0.471
6737	0.538
6789	0.622
15861	1.010
7600	1.849
4445317	1.812
11632	0.204
7961	1.561
13885245	0.493
8674	0.408
7132	0.5
13856352	0.204
8071	0.705
11783	0.289
10980	0.789
21106172	0.953
27488	0.664
10813	0.749
7202	0.704
30516	0.204
26325090	0.0
21112023	0.789
13876539	0.204
21106018	0.760
68676	0.874
551	0.605
11776	0.866
66895	0.402
66887	0.402
9893	0.402
63518	0.402
59482	0.402
6881	0.402
13839308	0.204
10586285	1.972
218253	0.538
8341	0.622
20198	2.195
7689	0.289
63310	0.856
7299	0.408
10829	0.744
191	0.816
12957	0.289
84036	0.204
68152	1.570
24041	0.289
19953955	0.0
13835630	0.204
14556	0.402
21106140	0.537
13863618	0.402
13837787	0.705
1361549	0.408
10831	0.744
23886	0.744
33421	0.749
992	0.939
70714	0.289
13875432	0.577
12640	0.289
6480	0.538
15755	0.827
14995	0.744
14994	0.744
67470	0.827
15476	0.827
15756	0.911
1906	0.901
6592	0.605
21943	0.289
10106	0.927
19956441	0.0
11930	0.859
10384035	0.204
65936	0.204
14227	0.789
11584	0.691
13867714	0.333
6706	0.994
6916	0.691
19957731	0.0
10205670	0.408
120489	0.204
13875219	0.577
7302	0.408
70660	2.258
16387	0.911
502245	1.015
5708	0.204
16159	0.569
13648	0.5
9349	0.577
63889	0.577
13835126	0.789
10437210	0.676
768	0.538
34863	0.954
23730	0.289
23621376	0.0
11332993	0.901
21106146	0.789
12231	0.471
13837760	0.471
10008	0.289
10972	0.789
2079	1.630
13869451	0.577
4759	1.429
33617	2.173
11961	0.953
15619	1.116
6739	0.538
953	0.789
331	0.705
15789876	1.683
7224	0.204
11600	0.493
21106144	0.705
13863774	0.789
10243171	0.901
7138	0.5
4878	0.577
6604	0.827
25677	1.165
6840	0.667
4590	0.816
12816	0.204
21111781	0.333
123207	0.577
776	0.333
15475	0.731
15477	0.749
15478	0.805
15524	0.911
2297441	1.021
158870	1.032
157093	1.116
83374	1.116
457144	1.038
135925	0.954
457145	1.032
8807	0.611
8182	1.0
19476	0.289
13871489	0.856
28969	0.612
13863629	0.204
7278	0.493
13644	0.5
21106014	0.402
13869480	0.493
42330	1.221
13869339	0.577
13875441	0.577
30881	0.901
14620	1.021
6852	0.537
6735	0.538
30572	0.977
392447	0.612
67465	1.190
4962	0.402
21106013	0.789
577	0.577
26260	1.038
4932499	1.128
4575338	1.928
12586	0.927
7964	2.664
6193	2.481
86394	1.390
13860817	0.760
21111772	0.943
15620	0.954
11708	0.577
6079	0.789
13859497	0.537
9943	0.204
28973	0.493
62517	0.493
456015	0.204
63906	0.493
1446	0.994
12133	0.612
15621	1.032
11632871	0.0
13856009	0.5
79280	0.493
27296	0.493
11651	0.493
8657	0.493
8665	0.493
4575	1.351
13842573	0.577
8876	0.333
63908	0.493
10181339	0.612
86435	0.816
21106020	0.789
15488	0.622
84188	0.936
136000	0.936
135983	1.020
136001	1.020
136002	0.942
136003	1.010
84235	1.093
10438331	0.867
82755	1.321
82712	1.243
157094	1.299
103011	1.327
102798	1.165
82762	1.215
13849665	1.070
24326358	0.896
5894	0.408
15702	2.284
221226	0.493
5976	0.866
68437	0.936
26010	0.731
30600	0.827
33455	0.827
33934	0.827
33932	0.827
5807	1.348
34866	0.936
34665	1.032
34664	1.032
37904	0.942
34864	1.038
34188	1.038
34865	1.038
11974	0.943
10771217	0.667
33416	0.0
15409	0.493
21106036	0.994
120548	0.789
11591	0.704
11778	0.866
44152	1.221
11954	0.856
8855	0.333
11769	0.577
18941	1.429
29282	1.181
6586	0.772
2915	0.605
13328	2.818
8960	0.0
10772050	1.655
7225	0.204
70652	0.816
7685	0.289
7208	1.0
21111817	0.402
20124	0.622
7406	0.816
10498	0.0
70988	0.816
9564	0.760
2923	0.607
21106470	0.333
10432	0.577
56793	1.147
454495	1.147
40191	1.243
56791	1.243
35581	1.243
56774	1.357
82765	1.454
7042	1.205
2185	0.408
4760	1.429
12874	2.173
13853953	0.705
6988	0.760
13869414	0.493
13860720	0.760
11294	0.744
457140	0.923
27793	1.042
82754	1.128
457138	1.212
102897	1.212
457139	1.134
102947	1.147
97173	1.225
102720	1.225
102801	1.147
102833	1.128
102721	1.225
102856	1.147
102933	1.202
103066	1.230
97172	1.276
64016	1.169
4450907	1.928
120621	0.816
12445	1.969
20119	0.408
7030	0.289
13835932	0.471
13257	0.577
2937774	0.691
62484	0.691
1015	0.333
87265	0.493
12699	0.811
21429023	2.803
10892	0.636
376	0.816
13837303	0.744
78	0.204
13837329	0.744
11595	1.0
4745	0.895
4768	1.513
20848	2.258
65701	0.789
8273	0.662
12705	1.021
8183	1.0
11563	0.789
59577	0.402
61707	0.667
11610	0.493
7397	0.612
6675	0.705
11588	0.789
2283071	1.215
8319	0.538
11003	0.408
13104	0.469
6334	0.408
206561	0.691
64699	1.570
21106008	0.537
