Compound Id	APol
6321	13.176
175	10.083
13874867	16.540
6314	11.843
4510484	24.217
68832	18.832
62530	22.515
13842613	19.421
7391	21.550
7984	20.010
11809	12.930
7242	19.421
58234	30.404
26325086	20.968
13862665	15.738
15443	21.124
124968	11.797
9581	18.347
66809	17.130
221082	22.508
13875320	20.038
6642	33.122
62826	12.558
13835376	21.499
127750	21.499
12442	9.794
13857694	17.587
7673	16.944
7443	16.598
7662	19.1
1609	16.277
363458	18.037
7684	18.037
61111	13.124
13875196	18.347
11042	19.421
24972	21.188
28992	18.094
13875160	19.168
13875258	20.038
73479	19.692
8935	29.504
15093	22.532
9994	10.083
29015	13.978
278	4.698
4446445	24.217
4444608	18.030
394562	11.843
13839199	16.328
18724	25.608
7238	18.456
21105959	21.550
13866817	17.587
13875392	20.038
13839575	22.301
6322	11.843
558020	11.797
733	13.020
6342	13.574
21132380	19.421
7551	12.287
12244	24.644
1266393	17.474
13677	29.122
124	21.820
132	18.727
21106015	9.836
65750	28.702
63903	22.515
10940	19.421
13865438	21.550
7223	19.421
13868640	19.327
29001	15.738
59674	14.936
21106135	21.550
10248	24.644
13837988	17.587
8528	16.768
8900	8.154
10400	31.315
8067	23.64
13839109	20.968
13837537	14.943
21105905	19.421
11077	19.421
13839123	21.550
9911	24.644
13839174	21.550
906	22.934
7630	13.447
13865426	19.634
13884973	21.499
10710415	19.634
8543	13.641
13835604	17.079
6093	8.324
59447	19.002
21106560	19.421
20843	18.094
15965	27.206
70682	30.849
13658	24.282
11862	24.662
7710	15.381
7809	21.568
7765	18.474
69177	27.737
21111822	20.554
6794	28.702
7681	17.461
26516	25.431
17131	32.961
10772140	9.304
7190	21.018
63054	14.924
18801	22.464
68156	19.370
21106520	16.328
16119	24.644
10244	27.737
924	22.515
13862559	19.1
6788	26.028
7131	21.550
7466	15.745
13861343	11.004
73412	17.604
8904	11.907
13874733	16.328
24535	27.375
25552	24.282
10437215	21.990
12225	12.574
13839151	21.550
13848808	21.820
8140	18.389
11087	19.244
10909	29.122
10918	29.122
15489	29.301
2441	29.071
12499	14.814
7480	19.797
10939	21.124
7018	13.732
11784	14.747
13839128	21.550
8868	18.883
7518	18.457
21106019	18.636
7528	22.095
24533	18.094
1020	13.234
2039535	18.896
13839110	21.550
21105998	27.737
13865680	21.550
11604	21.550
8374	30.299
21106586	22.728
11756	10.360
8733	13.183
13835459	15.908
71089	15.001
7688	15.001
8902	11.907
10937	19.421
6897	24.112
773	10.147
17443	15.803
6883	21.018
11785	14.747
15495	31.101
1141	13.511
7240	18.088
503239	19.861
13860641	22.515
6974	17.746
21106571	20.614
10908	29.122
3463	36.194
16388	40.326
6828	27.788
7161	27.737
592	11.687
8141	14.936
7679	18.030
4444456	12.307
83866	20.166
66996	13.420
21105897	24.914
15427	25.608
5830	21.550
13840690	19.168
13839105	21.550
11667	19.970
13835772	18.456
61538	24.644
238	17.925
13864445	19.1
21108548	19.134
13047	21.416
21106163	20.614
967	22.929
13876103	27.206
2018165	8.814
14256731	33.768
6311	12.808
11699	21.932
12643	18.030
83850	20.166
30595	24.112
13839082	18.456
13865424	20.216
13853758	25.608
13860335	18.456
4366810	28.119
10422	25.026
11695	18.839
13229	29.084
24099	16.277
11576	24.112
7175	24.112
7157	24.112
12060	24.644
14678	27.737
11021	21.550
21105871	18.456
466305	31.101
13837686	16.876
61411	27.737
917	29.135
21106519	28.702
65	18.389
13029	19.902
13875356	19.327
19766	21.416
12044	30.882
12682	32.215
10181341	21.018
748	3.527
71628	23.855
7568	8.134
13839553	12.218
9363	13.124
6296	25.977
9574	17.815
971	15.363
13846663	27.737
21106091	30.831
10246	24.644
70715	14.290
13871718	24.644
2654	37.102
9547	17.815
92731	14.072
62632	49.931
78998	46.837
11884	40.650
16177	37.556
15853	34.463
67360	31.369
11866	22.088
15846	28.275
7566	9.714
29026	25.182
11846	18.995
7770	15.901
7717	12.808
6102	6.620
21109330	21.499
10948	15.312
13835293	18.406
13835224	12.218
13839441	18.406
13835235	9.125
62808	11.797
7236	19.797
11589	24.112
79969	30.299
21106366	23.310
62310	28.008
7420	25.355
28982	21.550
19709	25.446
21168831	22.261
55443	30.831
453675	33.924
60121	22.352
69340	27.737
10992	21.550
6633	18.389
16804	30.831
21159695	25.608
455090	19.861
57726	29.071
7234	19.421
6630	22.515
71437	30.652
13063	29.122
558878	29.071
2005981	9.527
25886	20.230
71430	20.968
7736	11.474
447	19.258
21106525	22.515
18707	19.259
559096	45.937
13868660	20.757
707	27.641
7140	21.018
8070	21.018
387	12.652
10018	13.978
61001	22.981
13854136	19.421
1664	15.001
20570	21.188
13854248	17.841
7001	19.902
11366	19.902
21106540	20.614
21106570	22.127
15855	27.737
7790	11.687
13835209	15.312
8903	11.907
62489	17.130
8899	11.280
13634	18.088
13630	15.617
13869434	22.515
553578	29.071
66565	13.014
10437135	18.896
66021	13.420
7221	18.088
10857	18.389
7383	23.131
13030	19.902
6339	17.054
6736	26.028
10851	29.122
10850	29.122
23977588	38.227
434	19.438
24043	15.376
12069	21.932
191367	18.839
11799	15.745
7615	12.652
6338	9.558
11265	22.897
6135	6.464
72056	40.061
34095	33.873
18685	30.780
62628	27.686
67653	29.109
11875	24.593
21106032	16.734
7021	13.616
1348	13.241
66896	51.152
62534	20.650
62408	20.650
7389	17.556
13848467	22.352
72556	25.446
13835151	19.421
10991	22.515
13860692	19.421
13869462	22.515
38364	19.970
12045	30.882
2003	39.534
17784	22.897
12637	25.886
13839416	21.499
11694	19.804
29008	14.141
2606	13.664
21106524	20.216
12823	19.970
5889	16.328
81815	10.191
13840647	22.515
13875212	19.327
9579	17.815
21105859	22.352
19475	12.283
9874	24.112
13647	20.599
9350	15.253
21168826	20.216
10801842	28.089
65785	31.101
