Compound Id	EccentricConnectivityIndex
36974	201
35585	220
34848	241
84344	218
34850	222
82819	201
56772	201
82820	241
16415	216
56779	224
56768	241
56777	220
84345	220
34668	220
16736486	192
8470	157
8111	180
10616	98
21106900	112
1577	29
642951	152
12730	301
6835	168
13300034	230
96965	197
33198	187
82783	231
34852	233
37000	212
37019	212
56765	254
39198	254
82740	229
56761	231
56756	231
56766	235
83413	233
34851	233
36976	212
56767	254
56763	256
1143	9
11460	90
11465	116
1448	123
5775	669
10254	76
10411	115
2241	69
62466	80
62485	88
7189	88
21106145	112
6658	85
11422351	96
25472	170
7150	135
32555	297
13854242	140
10181338	113
1078	56
56787	207
35583	209
82807	190
56794	190
33386	228
33457	205
47912	211
82817	207
46893	209
33280	209
35582	190
33304	228
46263	207
553171	96
10488	45
11488212	95
34667	196
34871	179
34873	215
56784	194
34872	198
970	170
556589	131
29153	200
11917	348
62467	80
3008	170
204209	305
10996	144
880	92
21106581	126
15827	208
70806	201
11369	76
4437893	355
5882	126
9824	153
12821	71
71193	99
67270	89
6033	99
7092	78
63968	168
2908	279
33407	282
36985	257
35205	259
15637	236
82821	282
8329	234
15753	110
17339596	237
6371	262
10664	80
2625	332
4333	304
6593	144
86007	280
13835344	113
76154	110
3534	393
7044	123
73390	116
7279	131
10343	134
185	79
7155	147
16359	123
84971	79
388391	79
11773	90
11582	101
7172	112
96749	114
2068	122
5236	123
21782117	228
2991	183
34853	256
37745	233
36978	235
34190	214
34191	256
36771	233
36710	235
56757	256
549017	231
84347	233
56764	237
56758	235
47914	214
56762	256
33984	256
33983	256
34860	246
82738	246
36982	248
36979	225
47915	269
56783	269
36981	269
37004	244
36980	248
222538	90
13848793	108
6492	108
7176	113
12478	77
7211	126
65523	90
11080	54
13090	183
230	109
194092	101
11625	103
8282	117
76394	77
82751	297
36989	272
8800	187
62060	254
2975965	292
33282	243
46285	220
46284	224
82806	222
56776	203
47913	243
32952	243
45446	222
43353	243
56773	222
26325089	567
6588	130
2849146	90
10437335	116
8058	238
589165	92
361	110
33281	230
56786	209
56789	211
33456	192
46264	230
9187483	377
5978	12
10257	98
58563	88
2699	348
5739	284
13846658	168
6577	194
7145	80
6057	277
8816	246
659	9
955	88
6600	161
13835294	198
8817	280
526	113
7199	113
6514	263
62964	180
6610	238
5553	355
36990	284
35912	284
45448	259
36987	261
36988	284
2700	333
13860	69
33986	271
36983	269
36986	248
45447	244
35566	271
47916	271
46137	246
550258	250
33985	271
4963	76
7151	110
2928	290
8788	286
6646	79
5554	336
15484	312
20132	276
27749	201
7315	263
789	63
6453	211
6753	189
10197150	56
9797	314
192748	178
8799	303
7142	80
10437836	158
2121	161
4268	204
34854	258
46136	258
82736	235
56759	237
36984	258
6621	83
17347	78
4103087	134
2925	281
3693	304
15517	105
56775	245
56770	224
11283	261
21361761	282
36029	305
35206	299
64155	153
34192	286
82822	286
8763	326
14627	99
61739	117
8804	313
3322	341
13846959	88
5557	379
3438	721
75956	308
68568	88
4447447	328
6775	80
2246	318
5113	381
26325182	188
7745	56
11672	100
105291	68
35108	273
28947	141
28552	214
29117	192
60858	234
1262	260
137720	260
6066	195
33316	260
11286	138
10837	119
5678	424
156255	36
18336	142
6550	96
5660	336
10292746	228
4449	54
12549	270
374462	30
256210	108
13662	88
21106059	636
8093	234
65272	647
9219586	391
4744	286
10437239	89
3216	362
26286843	325
440	114
10975	123
8351654	68
1710	250
305	108
83191	466
541032	89
11489	87
5774	521
5026	268
10870	117
89258	158
5145918	382
58496	670
92468	642
14916	262
5198	292
3841535	333
11439687	194
4470736	676
4380	405
92494	578
4343	453
91432	303
8103122	354
3350	89
8124942	468
24722	592
133166	443
8101973	364
5162	418
3652	414
509179	438
40130	150
5376	367
106796	400
2457	223
49179	632
67594	192
5791	349
5768	367
15520	1024
3102535	45
5139	354
4228778	536
6688	158
55075	102
10162	577
4444479	696
4444107	418
4444100	338
5551	496
3741	207
5233	288
21108577	138
5542	639
5552	496
19232037	705
3513	194
65234	405
472932	73
4444553	417
19232038	852
6013	481
31006	537
18547147	933
62265	139
21587143	1111
21486195	801
4911	402
2760	639
4611	150
21105591	696
4471584	377
6002	435
4599	210
75995	904
5550	477
54833	793
9786472	775
197564	483
5633	496
5932	464
10481872	779
193441	496
5541	530
21105594	844
48085	609
21106077	944
4067	806
5142	99
196288	933
75662	894
2424	137
4444362	1237
21106058	783
139025	1111
29400	919
1043	490
6045	2583
1253	101
