Compound Id	KappaShapeIndices [Kier1]
5949	7.0
370	10.0
29029	10.0
7772	6.0
256	5.0
512	4.0
1005	5.0
2018460	8.0
21169510	9.0
48024	5.143
7013	6.0
7676	5.143
13875281	6.125
7220	6.125
7248	7.111
11661	7.111
12674	8.592
8097	6.694
12071	21.0
10035	22.0
12972	12.0
9976	10.0
7514	8.0
215929	9.0
11025	7.0
7734	5.0
7016	6.0
1087	3.0
60524	5.0
72551	11.0
763	2.0
1095	3.2
6179	7.0
2038738	6.125
11154	3.0
12259	9.091
3973	8.0
13836589	6.0
172	3.0
13836520	6.125
22191	9.0
75951	10.0
72793	10.0
13835336	4.0
13875230	6.125
18219	5.0
4514549	0.0
10801109	15.0
15016	19.0
29004	7.111
7871	12.0
21153	13.0
7802	9.0
12218	11.0
12632	10.0
7760	8.0
11095	7.0
21106173	7.111
7607	6.0
13866746	9.091
7577	4.0
7506	11.0
13835861	6.0
6326	5.0
9228	6.125
29036	4.0
13838404	4.0
7239	6.125
11647	8.1
7530	6.125
21106535	6.0
6119	4.0
10251740	6.125
9326	6.125
2916	3.0
558875	4.0
6106	3.0
3544	13.067
1266019	14.0
109838	7.0
6321	5.0
175	4.0
13874867	8.0
6314	5.0
4510484	9.0
68832	8.0
62530	7.111
13842613	6.125
7391	7.111
7984	9.0
11809	5.0
7242	6.125
58234	7.639
26325086	7.111
13862665	7.0
15443	6.125
124968	5.143
9581	7.111
66809	6.125
221082	7.111
13875320	6.125
6642	10.083
62826	8.0
13835376	8.0
127750	8.0
12442	4.0
13857694	6.125
7673	5.143
7443	7.111
7662	7.111
1609	6.0
363458	5.143
7684	5.143
61111	5.143
13875196	7.111
11042	6.125
24972	7.111
28992	6.125
13875160	6.125
13875258	6.125
73479	8.1
8935	10.083
15093	9.091
9994	2.25
29015	4.167
278	3.0
4446445	9.0
4444608	7.0
394562	5.0
13839199	5.143
18724	8.1
7238	6.125
21105959	7.111
13866817	6.125
13875392	6.125
13839575	9.0
6322	5.0
558020	5.143
733	6.0
6342	6.0
21132380	6.125
7551	4.0
12244	8.1
1266393	7.0
13677	8.592
124	9.091
132	8.1
21106015	4.0
65750	9.091
63903	7.111
10940	6.125
13865438	7.111
7223	6.125
13868640	6.125
29001	7.0
59674	6.0
21106135	7.111
10248	8.1
13837988	6.125
8528	6.125
8900	3.2
10400	10.516
8067	10.083
13839109	9.0
13837537	4.167
21105905	6.125
11077	6.125
13839123	7.111
9911	8.1
13839174	7.111
906	6.694
7630	7.0
13865426	9.0
13884973	8.0
10710415	9.0
8543	5.0
13835604	7.0
6093	3.0
59447	5.143
21106560	6.125
20843	6.125
15965	10.083
70682	10.0
13658	8.1
11862	8.0
7710	5.0
7809	7.0
7765	6.0
69177	9.091
21111822	6.125
6794	9.091
7681	5.143
26516	7.111
17131	11.077
10772140	5.0
7190	8.1
63054	9.091
18801	8.0
68156	7.0
21106520	5.143
16119	8.1
10244	9.091
924	7.111
13862559	7.111
6788	7.639
7131	7.111
7466	7.0
13861343	7.0
73412	6.0
8904	4.167
13874733	5.143
24535	9.091
25552	8.1
10437215	8.1
12225	4.167
13839151	7.111
13848808	9.091
8140	7.111
11087	5.143
10909	8.592
10918	8.592
15489	9.551
2441	7.639
12499	10.083
7480	6.125
10939	6.125
7018	6.0
11784	5.143
13839128	7.111
8868	5.76
7518	6.125
21106019	7.111
7528	6.125
24533	6.125
1020	4.167
2039535	7.111
13839110	7.111
21105998	9.091
13865680	7.111
11604	7.111
8374	11.077
21106586	10.0
11756	6.0
8733	5.0
13835459	4.167
71089	5.143
7688	5.143
8902	4.167
10937	6.125
