Compound Id	BPol
6097	5.886
12219	22.061
7848	19.875
61487	13.315
11863	17.688
7810	15.502
7766	13.315
7711	11.129
7552	8.942
6092	6.756
7791	12.685
12010	17.802
11830	15.615
10497	13.429
31029	11.242
6100	9.056
12228	23.226
6042	4.540
553742	3.026
13836713	8.839
13803	33.346
11898	45.915
72522	43.728
7928	41.542
14348	39.355
2581	37.169
11891	34.983
7917	32.796
7915	30.610
7901	28.423
7892	26.237
7882	24.051
8574	21.864
932	19.678
7812	15.305
7837	17.491
6040	13.118
258	10.932
1004	8.746
682	6.559
7815	17.585
7560	11.026
6103	8.839
6635	2.520
14829	5.323
6087	3.7
11525	10.932
7721	13.212
6083	4.570
1039	8.839
6088	6.870
864	4.373
13837281	1.680
937	0.270
56232	27.422
71390	4.006
5979	2.520
13837190	12.578
7074	18.179
15077490	5.629
13872989	6.559
13638	17.058
7170	19.678
10534	8.746
6128	6.779
9391	9.075
6086	2.186
10410	15.305
68503	33.346
10675065	11.481
14694	5.432
7090	9.075
7028	12.848
63156	13.118
12626	10.932
62597	8.746
15803	21.864
10487	12.445
13492	21.864
15747	24.051
8356	15.305
13849981	19.678
12933	44.712
6105	4.592
18971812	10.588
14688	36.167
6125	5.213
13835977	6.992
5977	2.353
71876	24.738
7128	13.118
7183	15.305
7088	15.305
15461	17.491
13299573	9.491
107412	8.512
7073	20.365
455353	19.407
16778	15.034
7705	15.034
2340753	6.302
7728	10.662
8554	12.848
10340	8.475
21112738	3.7
4481813	5.466
13487	19.678
7385	13.118
8531	15.305
7448	15.305
4514586	0.0
764	6.559
10325184	6.302
6406	11.620
12066	10.391
7738	6.289
7098	9.075
10404	17.491
7419	15.305
7219	10.932
11660	13.118
6999	15.305
5026296	19.678
18688	18.179
7737	10.662
13871721	8.746
1108	8.746
236	6.559
7521	10.932
7641	10.932
7659	13.118
11871	17.585
55130	18.179
10433	18.179
11992	15.992
13836399	17.221
7703	16.625
10253	15.305
60886	9.624
83962	24.738
12161	35.262
7671	20.365
10446	15.992
62249	15.992
11526	11.349
13571291	2.846
71312	7.282
7026	10.932
7678	13.118
9970	15.305
7672	13.315
7786	13.212
8335	15.305
6301	19.678
10606755	9.404
7657	18.179
22453	18.179
7065	15.992
11193	14.076
13836591	12.848
13875283	8.855
7553	6.756
11409	13.118
13249	33.754
3631	10.537
13835836	19.137
55084	22.552
7694	20.365
7482	18.179
11716	20.365
11045	18.179
7515	15.992
13836549	7.218
7546	10.662
7677	13.552
13836674	5.886
2293678	7.282
6967	10.932
6977	13.118
21168808	8.839
960	35.941
6177	11.890
61213	8.292
20545	40.313
7472	15.992
11207996	13.941
29016	18.179
7747	15.992
7627	13.806
10571	13.806
7076	18.179
6649	14.076
8012	11.890
7003	13.806
13854944	14.005
6104	3.026
4937830	4.373
61191	9.075
9614	6.669
7739	6.653
8883	17.491
7757	29.111
7511	24.738
7509	22.552
29005	20.365
10420	18.179
7478	15.722
7475	15.992
7463	13.806
6333	5.331
21111806	6.779
10364	6.559
21111820	8.839
21171407	9.056
3210	28.423
10756	19.678
11910	11.890
7469	14.076
7064	14.076
60329	13.281
13842001	18.378
13850082	24.738
21106169	6.889
7872	24.738
7875	29.111
7913	33.484
7670	20.636
8568	20.365
14846	24.738
7800	22.552
11843	18.179
29012	15.992
10797	16.263
7538	20.365
7536	18.179
11755	11.620
7706	13.806
7761	15.992
10492	13.806
11680	13.806
11706	15.992
10653	11.620
68179	16.490
10001	11.890
6341	9.704
11727	5.558
7727	11.095
3951	7.517
21108550	6.779
13836021	10.499
9724	19.678
11731	8.839
8950	10.932
14866	17.491
6720	20.636
13850142	19.678
558917	19.678
11153	3.809
7559	5.331
558928	3.026
415	9.612
390927	19.678
10236	13.118
7012	11.890
11065	11.890
28981	18.449
99681	24.738
8525	11.620
6176	14.076
7081	14.076
6313	9.704
13837702	11.798
9903	10.932
13849989	19.678
55123	18.179
12012	15.992
7534	18.449
10791	14.076
11125	13.806
7782	11.620
8552	14.076
7701	11.890
6316	7.399
9325	6.779
13866593	13.985
11911	3.866
55091	3.744
552744	7.517
7888	25.009
