Compound Id	WienerNumbers [WPATH]
30713	29.0
10788	46.0
7621	48.0
8329688	28.0
10777	29.0
441	120.0
7838	84.0
5949	56.0
370	158.0
29029	165.0
7772	35.0
256	20.0
512	10.0
1005	18.0
2018460	63.0
21169510	92.0
48024	42.0
7013	31.0
7676	42.0
13875281	60.0
7220	64.0
7248	88.0
11661	90.0
12674	198.0
8097	109.0
12071	1522.0
10035	1752.0
12972	261.0
9976	149.0
7514	76.0
215929	110.0
11025	50.0
7734	20.0
7016	31.0
1087	4.0
60524	18.0
72551	192.0
763	1.0
1095	15.0
6179	42.0
2038738	64.0
11154	4.0
12259	140.0
3973	62.0
13836589	35.0
172	4.0
13836520	78.0
22191	102.0
75951	142.0
72793	138.0
13835336	10.0
13875230	61.0
18219	20.0
4514549	0.0
10801109	358.0
15016	1140.0
29004	84.0
7871	277.0
21153	354.0
7802	114.0
12218	212.0
12632	158.0
7760	79.0
11095	52.0
21106173	84.0
7607	32.0
13866746	140.0
7577	10.0
7506	194.0
13835861	28.0
6326	18.0
9228	62.0
29036	9.0
13838404	9.0
7239	64.0
11647	126.0
7530	62.0
21106535	31.0
6119	9.0
10251740	62.0
9326	60.0
2916	4.0
558875	10.0
6106	4.0
3544	404.0
1266019	397.0
109838	56.0
6321	18.0
175	9.0
13874867	71.0
6314	18.0
4510484	104.0
68832	71.0
62530	94.0
13842613	61.0
7391	94.0
7984	88.0
11809	20.0
7242	64.0
58234	123.0
26325086	82.0
13862665	52.0
15443	64.0
124968	42.0
9581	88.0
66809	64.0
221082	94.0
13875320	60.0
6642	174.0
62826	62.0
13835376	84.0
127750	84.0
12442	10.0
13857694	61.0
7673	42.0
7443	90.0
7662	84.0
1609	35.0
363458	42.0
7684	42.0
61111	42.0
13875196	90.0
11042	62.0
24972	84.0
28992	62.0
13875160	62.0
13875258	62.0
73479	117.0
8935	202.0
15093	166.0
9994	8.0
29015	27.0
278	4.0
4446445	120.0
4444608	56.0
394562	20.0
13839199	42.0
18724	114.0
7238	64.0
21105959	86.0
13866817	62.0
13875392	61.0
13839575	120.0
6322	18.0
558020	42.0
733	31.0
6342	29.0
21132380	61.0
7551	10.0
12244	110.0
1266393	52.0
13677	182.0
124	166.0
132	120.0
21106015	10.0
65750	182.0
63903	94.0
10940	60.0
13865438	90.0
7223	64.0
13868640	62.0
29001	48.0
59674	35.0
21106135	88.0
10248	110.0
13837988	60.0
8528	61.0
8900	15.0
10400	343.0
8067	174.0
13839109	114.0
13837537	27.0
21105905	64.0
11077	61.0
13839123	84.0
9911	111.0
13839174	82.0
906	109.0
7630	48.0
13865426	102.0
13884973	66.0
10710415	100.0
8543	20.0
13835604	56.0
6093	4.0
59447	42.0
21106560	64.0
20843	60.0
15965	218.0
70682	165.0
13658	111.0
11862	84.0
7710	20.0
7809	56.0
7765	35.0
69177	140.0
21111822	62.0
6794	158.0
7681	42.0
26516	94.0
17131	234.0
10772140	18.0
7190	120.0
63054	140.0
18801	84.0
68156	56.0
21106520	42.0
16119	109.0
10244	140.0
924	88.0
13862559	84.0
6788	144.0
7131	88.0
7466	50.0
13861343	42.0
73412	35.0
8904	27.0
13874733	42.0
24535	158.0
25552	117.0
10437215	133.0
12225	26.0
13839151	82.0
13848808	152.0
8140	84.0
11087	42.0
10909	186.0
10918	185.0
15489	252.0
2441	123.0
12499	174.0
7480	61.0
10939	60.0
7018	31.0
11784	42.0
13839128	84.0
8868	79.0
7518	62.0
21106019	90.0
7528	62.0
24533	64.0
1020	27.0
2039535	94.0
13839110	84.0
21105998	150.0
13865680	86.0
11604	88.0
8374	284.0
21106586	128.0
11756	32.0
8733	20.0
13835459	27.0
71089	42.0
7688	42.0
8902	27.0
10937	60.0
6897	164.0
773	15.0
17443	64.0
6883	121.0
11785	42.0
15495	336.0
1141	61.0
7240	64.0
503239	88.0
13860641	86.0
6974	60.0
21106571	110.0
10908	182.0
3463	388.0
16388	518.0
6828	198.0
7161	152.0
592	29.0
8141	26.0
7679	42.0
4444456	20.0
83866	60.0
66996	42.0
21105897	201.0
15427	133.0
5830	94.0
13840690	64.0
13839105	84.0
11667	90.0
13835772	60.0
61538	109.0
238	88.0
13864445	82.0
21108548	62.0
13047	140.0
21106163	111.0
967	174.0
13876103	204.0
2018165	18.0
14256731	379.0
6311	18.0
11699	108.0
12643	42.0
83850	60.0
30595	152.0
13839082	62.0
13865424	90.0
13853758	120.0
13860335	64.0
4366810	194.0
10422	143.0
11695	75.0
13229	172.0
24099	35.0
11576	152.0
7175	160.0
7157	156.0
12060	127.0
14678	174.0
11021	90.0
21105871	61.0
466305	327.0
13837686	60.0
61411	140.0
917	191.0
21106519	174.0
65	84.0
13029	109.0
13875356	61.0
19766	140.0
12044	240.0
12682	230.0
10181341	126.0
748	1.0
71628	104.0
7568	10.0
13839553	20.0
9363	42.0
6296	109.0
9574	117.0
971	42.0
13846663	152.0
21106091	195.0
10246	110.0
70715	42.0
13871718	133.0
2654	664.0
9547	114.0
92731	84.0
62632	816.0
78998	680.0
11884	455.0
16177	364.0
15853	286.0
67360	220.0
11866	84.0
15846	165.0
7566	10.0
29026	120.0
11846	56.0
7770	35.0
7717	20.0
6102	4.0
21109330	58.0
10948	31.0
13835293	44.0
13835224	18.0
13839441	56.0
13835235	10.0
62808	42.0
7236	64.0
11589	162.0
79969	280.0
21106366	126.0
62310	262.0
7420	133.0
28982	90.0
19709	158.0
21168831	94.0
55443	242.0
453675	314.0
60121	121.0
69340	182.0
10992	88.0
6633	82.0
16804	174.0
21159695	127.0
455090	88.0
57726	124.0
7234	64.0
6630	82.0
71437	124.0
13063	190.0
558878	194.0
2005981	9.0
25886	102.0
71430	91.0
7736	15.0
447	86.0
21106525	90.0
18707	84.0
559096	458.0
13868660	62.0
707	174.0
7140	117.0
8070	114.0
387	29.0
10018	27.0
61001	240.0
13854136	60.0
1664	42.0
20570	88.0
13854248	60.0
7001	111.0
11366	110.0
21106540	109.0
21106570	140.0
15855	152.0
7790	27.0
13835209	35.0
8903	27.0
62489	64.0
8899	15.0
13634	64.0
13630	42.0
13869434	84.0
553578	194.0
66565	61.0
10437135	94.0
66021	42.0
7221	64.0
10857	82.0
7383	94.0
13030	110.0
6339	29.0
6736	140.0
10851	181.0
10850	179.0
23977588	552.0
434	117.0
24043	48.0
