Compound Id	Energy of the lowest unoccupied molecular orbital
240	0.270
241	0.448
242	0.820
243	0.801
244	0.540
245	0.735
246	0.971
247	1.023
248	1.028
249	1.030
250	1.029
251	0.566
252	0.713
253	0.864
254	0.869
255	0.897
256	0.870
257	0.901
258	0.869
259	0.902
260	0.939
261	0.920
262	0.869
263	0.869
264	0.939
265	0.868
266	0.868
267	0.868
268	0.868
269	0.846
270	0.863
271	0.913
272	1.105
273	0.989
274	1.160
275	1.163
276	0.759
277	1.158
278	1.163
279	1.162
280	1.162
281	1.218
282	1.696
283	1.617
284	1.636
285	1.420
286	1.651
287	1.641
288	0.482
289	1.651
290	1.628
291	1.576
292	1.562
293	1.351
294	1.651
295	1.628
296	1.587
297	1.626
298	1.626
299	1.625
300	1.624
301	1.666
302	1.660
303	1.668
304	1.596
305	0.635
306	0.706
307	1.294
308	1.399
309	1.380
310	1.434
311	1.470
312	0.368
313	-0.276
314	0.917
315	1.474
316	1.489
317	0.794
318	0.809
319	-0.851
320	0.801
321	0.718
322	0.172
323	0.696
324	1.062
325	0.684
326	0.740
327	0.696
328	0.741
329	0.456
330	0.914
331	1.015
332	0.609
333	0.448
334	0.569
335	0.689
336	0.857
337	1.074
338	1.218
339	1.362
340	0.555
341	0.654
342	0.764
343	0.709
344	0.383
345	0.834
346	0.725
347	0.880
348	-0.202
349	0.042
350	-0.149
351	-0.200
352	-0.200
353	-0.199
355	0.984
356	1.024
357	0.928
354	1.452
358	1.027
359	1.263
360	1.394
361	0.327
362	0.399
363	0.364
364	0.730
365	0.360
366	0.363
367	0.357
368	3.345
369	3.200
370	3.062
371	3.228
372	2.959
373	3.208
374	3.242
375	2.938
376	3.193
377	3.206
378	3.257
379	3.310
380	3.312
381	3.284
382	3.264
383	3.321
384	2.846
385	3.146
386	2.971
387	2.992
388	3.006
389	2.995
390	2.492
391	2.936
392	2.747
393	3.588
394	3.529
395	3.315
396	3.492
397	3.281
398	3.466
399	3.447
400	3.433
401	3.423
402	3.415
403	3.409
404	3.620
405	3.564
406	3.091
407	3.523
408	3.480
409	3.583
410	3.583
411	3.488
412	2.991
413	3.531
414	3.552
415	3.617
416	1.712
417	1.727
418	1.771
419	1.909
420	3.078
421	2.894
422	2.804
423	3.051
424	3.310
425	1.023
426	1.028
427	1.030
428	1.030
429	1.029
430	1.029
431	1.029
432	1.028
433	1.028
434	1.082
435	1.049
436	1.118
437	1.052
438	1.039
439	1.120
440	1.122
441	1.109
442	0.836
443	0.816
444	0.566
445	0.713
446	0.846
447	0.892
448	0.940
449	0.789
450	0.957
451	0.986
452	1.001
453	-0.101
454	-0.081
455	-0.080
456	-0.080
457	-0.080
458	-0.033
459	0.055
460	0.055
461	-0.133
462	-0.123
463	-0.110
464	-0.122
465	-0.115
466	-0.158
467	-0.267
468	-0.378
469	0.254
470	0.254
471	0.254
472	0.253
473	-0.064
474	-0.063
475	-0.105
476	-0.101
477	-0.066
478	-0.338
479	-0.489
480	-0.018
481	-0.064
482	0.359
483	-0.170
484	0.127
485	-0.100
486	0.203
487	0.347
488	-0.269
489	-0.770
490	-0.055
491	-0.784
492	-0.164
493	0.355
494	0.337
495	-0.307
496	-0.199
497	0.209
498	-0.956
499	-0.200
500	-0.868
