Compound Id	AutocorrelationCharge [ATSc3]
220998	0.029
221117	0.0
15765	0.0
11647	0.036
7506	-0.021
7737	0.006
5439	0.133
7003	0.114
6322	-0.031
13867413	-0.004
553171	0.224
11525	-0.009
8554	0.0
13571291	-0.021
12066	0.094
7703	0.014
11265	0.020
12954	0.029
13229	0.030
59577	0.054
10053	-0.007
10018	0.173
7787	0.0
26765	0.036
192642	0.042
11788	0.010
63156	-0.006
122446	0.047
21181	0.036
26325090	-0.020
13836520	-0.064
6135	-0.042
6309	0.0
12626	-0.005
11632	0.029
9994	-0.002
7636	0.245
13854944	-0.050
7557	0.0
6125	0.005
120621	0.016
4449	-0.029
55205	0.023
12445	0.012
14169248	0.011
7964	-0.069
6193	-0.070
62597	-0.018
7559	-0.012
7677	-0.004
12197	-0.001
13836674	0.0
11761	-0.004
29015	-0.182
9642	0.0
156255	-0.029
20119	0.023
6118	-0.005
363458	-0.119
7684	-0.103
71390	0.040
8544	-0.001
12219	-0.002
6307	-0.002
7848	-0.002
13816	0.036
15077490	-0.140
19956441	-0.011
12637	0.194
13872989	-0.002
11752	0.022
8577	-0.001
278	0.035
61487	-0.006
11863	-0.002
5708	0.028
10536	0.0
14349	-0.001
7810	-0.002
391	0.0
13835977	0.0
6334	0.030
592	-0.124
13871721	-0.007
374462	-0.030
558883	0.0
56020	0.0
8908	0.0
376	0.004
10025	0.003
5004	0.003
2275	0.051
4446445	-0.016
10124	-0.002
7852	-0.001
3951	0.032
7530	-0.048
7766	-0.002
6333	0.010
14680	-0.001
7827	0.0
4514529	0.0
13835316	0.003
7711	-0.002
12499	-0.316
19953955	-0.011
21109330	-0.076
13638	0.0
72056	-0.015
10948	-0.088
7815	-0.001
71312	-0.180
2293678	-0.132
2018460	-0.055
29107	0.067
21169510	-0.152
7552	-0.002
5993	0.123
13835293	0.011
62589	0.001
7738	0.006
7686	-0.005
7480	0.029
7776	-0.001
127983	0.0
1087	0.037
6092	-0.003
6042	0.015
6316	-0.047
8878	0.0
34095	-0.015
7568	-0.086
10340	-0.009
4444608	-0.016
10939	-0.029
11107	0.084
13835224	-0.088
8141	-0.031
9233	0.0
23621376	-0.012
21111806	-0.016
69371	-0.009
66565	0.090
18685	-0.015
15443	-0.015
844	0.012
18607	0.002
11930	0.280
62628	-0.015
67653	-0.008
7030	0.252
11875	-0.015
7721	-0.001
2656	-0.045
21108550	-0.009
7560	-0.001
13839416	-0.015
13836021	-0.057
13835861	-0.047
7029	0.079
394562	-0.016
10498	-0.041
13839441	-0.013
21112738	0.005
6104	0.017
4481813	-0.012
60524	-0.012
11729	0.002
9325	-0.093
11694	0.150
11086	-0.002
13849981	-0.016
6103	-0.001
5894	0.039
13835209	-0.003
7788	-0.002
13839553	0.002
6083	0.0
6314	0.002
61707	-0.004
63054	-0.222
4510484	-0.004
15803	-0.012
26563	-0.545
70660	0.139
7679	-0.032
13835235	-0.095
1039	0.005
10772140	-0.104
28994	0.076
4937830	0.016
29008	0.003
11809	0.002
8543	0.002
6111	0.0
68832	-0.074
13842001	-0.067
22191	-0.074
75951	-0.074
72793	-0.072
72551	-0.074
24641	-0.072
11632871	-0.370
33416	-0.454
29001	-0.077
21106032	-0.001
8909	0.0
11857	-0.002
7330	0.0
69982	-0.015
21106015	-0.070
552744	0.006
10464	-0.009
61191	0.043
61001	0.023
8912	-0.363
7791	0.001
13866593	-0.004
7098	0.058
7026	-0.013
553742	-0.032
5977	0.037
13837702	-0.001
13837537	-0.113
9724	0.0
18801	-0.010
59674	-0.060
558928	-0.032
6330	-0.009
11244	0.145
7021	0.167
11795	-0.009
10488	0.065
13647	-0.023
6402	-0.002
68156	-0.009
71876	0.1
415	0.001
10487	-0.007
763	0.0
13835336	-0.058
24099	-0.003
173	-0.015
5730	0.053
7678	-0.013
553642	-0.002
13861343	-0.092
13835550	-0.034
8733	0.001
48024	-0.060
10265270	0.0
693	0.014
124968	0.152
62808	-0.037
8910	0.0
9614	-0.015
60886	-0.290
28993	-0.004
17131	0.403
13875283	-0.015
9363	0.040
13849989	-0.014
11351244	0.001
558020	-0.071
7553	0.0
20939	-0.004
518	0.0
6326	-0.069
20198	0.038
1143	0.024
61111	-0.058
4444456	0.011
2441	-0.026
6296	-0.029
391428	-0.002
733	-0.143
9970	-0.013
8960	0.0
11117	-0.002
191	0.006
13837280	-0.044
659	-0.044
1078	0.054
13835604	-0.125
10772050	-0.187
14198	0.0
71787	0.108
7528	-0.070
6827	0.0
499714	-0.004
7018	-0.126
11911	-0.075
6093	0.014
13836713	0.001
21106535	-0.108
7013	-0.075
59447	-0.070
10179239	0.0
86007	0.148
390927	-0.018
10756	-0.028
7961	-0.112
12643	-0.011
19231	0.013
13835630	-0.195
13835459	-0.069
9581	-0.011
13875196	0.001
73412	-0.001
13492	0.0
15747	0.0
7236	-0.011
10410	0.0
1348	0.061
558878	-0.022
5978	-0.057
13487	0.0
6119	0.032
10404	0.0
13839199	-0.005
9228	-0.007
71089	0.045
6342	-0.105
9574	0.017
83866	-0.082
83850	-0.082
9454	-0.012
7419	0.0
1108	0.0
7128	0.0
8356	0.0
62530	-0.004
7385	0.0
7170	0.0
8903	0.066
13842613	-0.009
16159	-0.074
7183	0.0
236	0.0
553578	-0.022
7736	0.003
7242	-0.004
7219	0.0
7521	0.0
7672	-0.004
12010	-0.001
24533	-0.070
789	0.060
7088	0.0
1019	-0.028
13835932	-0.190
65750	0.001
15461	0.0
11830	-0.001
6122	-0.002
1095	0.001
7641	0.0
63903	0.001
10497	-0.001
8904	-0.069
7688	-0.070
13874733	0.001
10437135	-0.039
11660	0.0
1020	0.001
21106520	0.001
18724	0.001
11042	-0.004
31029	-0.001
21106560	0.001
21132380	-0.005
8531	0.0
15855	-0.021
6100	-0.001
13837281	-0.067
21105905	0.001
66809	0.088
7448	0.0
6179	-0.122
7659	0.0
24535	-0.071
15702	0.268
25552	-0.070
11871	-0.013
15409	0.059
20843	-0.071
10940	-0.004
10251740	-0.129
11077	0.001
24972	-0.071
9326	-0.087
13885245	0.059
6524	0.176
28969	0.036
6967	0.0
8900	0.035
12229	-0.037
9360	-0.015
10253	0.0
8902	-0.030
9350	-0.008
7786	-0.013
6999	0.0
15965	0.068
6088	0.0
10937	0.001
21106036	-0.049
6977	0.0
10364	-0.003
62489	-0.002
10384035	0.220
11409	0.0
8243	0.174
7391	-0.016
21108577	0.095
13257	-0.037
70682	-0.005
4228778	-0.428
13658	-0.072
28992	-0.070
6528	0.174
7739	0.001
21168808	-0.001
8335	0.0
8374	0.068
21111820	0.001
6897	0.067
13863629	-0.113
12228	0.0
21112023	-0.040
6665	0.113
247721	0.078
