Compound Id	ChiPath [VP-6]
7811	0.102
7835	0.197
11216	0.0
13862665	0.0
932	0.269
22814	0.0
6341	0.0
11678	0.0
11543	0.0
62230	0.0
7533	0.0
13836399	0.104
10526	0.2
10422	0.088
12069	0.176
59483	15.188
13255	0.0
10179173	0.333
7701	0.0
6149	0.0
10790	0.0
71430	0.189
120464	0.0
172	0.0
11180	0.0
13865426	0.072
7434	0.209
259	0.0
7714	0.0
10512	0.0
7812	0.079
7769	0.0
7459	0.0
11024	0.0
7837	0.181
3644	0.0
16778	0.046
7705	0.0
191367	0.072
748	0.0
5091	1.147
10437	0.0
387	0.0
6312	0.0
6320	0.0
10947	0.0
6040	0.0
8398	0.0
960	0.970
6164	0.0
18410	0.637
7546	0.0
11756	0.0
7616	0.0
258	0.0
7716	0.0
7564	0.0
7024	0.0
7090	0.095
15438	0.348
11699	0.072
16791	0.125
6097	0.0
11799	0.0
6187	0.0
21800	0.333
18717	0.0
13837797	0.034
16641	0.0
10205670	0.0
12442	0.0
6186	0.0
60329	0.0
7790	0.0
1005	0.0
11210	0.0
6101	0.0
1004	0.0
2340753	0.0
10325184	0.0
24590970	0.0
11695	0.051
6102	0.0
13836591	0.0
7028	0.0
7615	0.0
13884973	0.0
7674	0.204
6406	0.0
682	0.0
13874867	0.0
10710415	0.020
6089	0.0
6087	0.0
6098	0.0
7733	0.0
9990	0.0
11727	0.0
7600	0.502
8896	0.0
7466	0.0
14751	0.348
1609	0.0
171	0.0
7727	0.0
71628	0.071
22408	0.0
7728	0.0
6338	0.0
13811	0.2
13871489	0.130
864	0.0
220998	0.467
221117	0.333
15765	0.333
11647	0.260
7506	0.346
7737	0.0
5439	0.0
7003	0.050
6322	0.0
13867413	0.0
553171	0.056
11525	0.0
8554	0.0
13571291	0.0
12066	0.0
7703	0.0
11265	0.0
12954	0.272
13229	0.298
59577	0.0
10053	0.0
10018	0.0
7787	0.0
26765	0.0
192642	0.0
11788	0.158
63156	0.046
122446	0.0
21181	0.088
26325090	0.213
13836520	0.093
6135	0.0
6309	0.0
12626	0.0
11632	0.112
9994	0.0
7636	0.0
13854944	0.0
7557	0.0
6125	0.0
120621	0.0
4449	0.192
55205	0.124
12445	0.0
14169248	0.026
7964	0.188
6193	0.188
62597	0.0
7559	0.0
7677	0.118
12197	0.0
13836674	0.0
11761	0.0
29015	0.0
9642	0.0
156255	0.039
20119	0.0
6118	0.0
363458	0.083
7684	0.091
71390	0.0
8544	0.0
12219	0.547
6307	0.0
7848	0.459
13816	0.0
15077490	0.0
19956441	0.079
12637	0.237
13872989	0.0
11752	0.0
8577	0.558
278	0.0
61487	0.0
11863	0.370
5708	0.0
10536	0.586
14349	0.469
7810	0.347
391	0.0
13835977	0.0
6334	0.0
592	0.0
13871721	0.0
374462	0.0
558883	0.0
56020	0.0
8908	0.619
376	0.195
10025	0.276
5004	0.453
2275	0.0
4446445	0.159
10124	0.0
7852	0.381
3951	0.0
7530	0.2
7766	0.0
6333	0.0
14680	0.293
7827	0.306
4514529	0.0
13835316	0.0
7711	0.0
12499	0.101
19953955	0.032
21109330	0.0
13638	0.526
72056	0.642
10948	0.0
7815	0.237
71312	0.0
2293678	0.0
2018460	0.0
29107	0.0
21169510	0.0
7552	0.0
5993	0.0
13835293	0.0
62589	0.144
7738	0.0
7686	0.144
7480	0.371
7776	0.0
127983	0.0
1087	0.0
6092	0.0
6042	0.0
6316	0.0
8878	0.354
34095	0.465
7568	0.0
10340	0.0
4444608	0.039
10939	0.203
11107	0.087
13835224	0.0
8141	0.0
9233	0.0
23621376	0.0
21111806	0.049
69371	0.0
66565	0.039
18685	0.377
15443	0.186
844	0.0
18607	0.0
11930	0.0
62628	0.289
67653	0.460
7030	0.0
11875	0.2
7721	0.0
2656	1.288
21108550	0.042
7560	0.0
13839416	0.112
13836021	0.0
13835861	0.0
7029	0.0
394562	0.0
10498	0.0
13839441	0.035
21112738	0.0
6104	0.0
4481813	0.0
60524	0.0
11729	0.0
9325	0.042
11694	0.063
11086	0.144
13849981	0.322
6103	0.0
5894	0.0
13835209	0.0
7788	0.0
13839553	0.0
6083	0.0
6314	0.0
61707	0.0
63054	0.093
4510484	0.136
15803	0.915
26563	0.456
70660	0.070
7679	0.072
13835235	0.0
1039	0.0
10772140	0.0
28994	0.0
4937830	0.0
29008	0.0
11809	0.0
8543	0.0
6111	0.0
68832	0.0
13842001	0.0
22191	0.124
75951	0.151
72793	0.161
72551	0.272
24641	0.241
11632871	0.434
33416	0.380
29001	0.0
21106032	0.0
8909	0.707
11857	0.412
7330	0.0
69982	0.0
21106015	0.0
552744	0.0
10464	0.0
61191	0.149
61001	0.248
8912	0.304
7791	0.0
13866593	0.059
7098	0.118
7026	0.0
553742	0.0
