Compound Id	ChiPathCluster [VPC-5]
11366	1.352
18	0.446
1446	0.417
71	0.358
7146	0.398
13860817	0.683
11625	0.7
12133	0.346
205483	0.386
1253	0.380
4745	0.776
392	0.156
11778	0.825
7172	0.402
13868640	0.596
18707	0.904
123	0.201
502245	0.506
13860720	0.679
21106571	1.680
21106163	1.284
44152	1.766
10257	0.502
13875356	1.239
19766	2.022
124	0.331
204209	0.694
7142	0.286
13853943	0.350
58563	0.278
10864	0.829
21106540	1.8
132	0.257
331	0.339
6550	0.695
78467	0.349
7315	0.318
11087	0.423
6339	0.0
13875212	1.210
21108576	0.367
26516	0.425
4768	0.719
20848	0.918
4963	0.370
13859497	0.487
12640	0.1
6106	0.0
776	0.452
7145	0.315
6480	0.749
1448	0.510
38364	1.732
10343	0.907
559096	3.781
3534	2.697
8098	0.462
21361761	0.587
1361549	0.440
11961	1.345
7302	0.293
967	2.875
556589	0.440
13846959	0.251
10837	0.6
7299	0.508
2169	0.574
526	0.296
21106518	0.402
27488	1.737
10437210	0.309
11954	1.467
21111772	1.035
27749	0.842
7199	0.522
15517	1.071
589165	0.309
17868	0.415
5027	0.429
8183	0.399
5882	0.352
192748	0.736
9120	0.485
67594	1.817
13856959	0.460
15489	0.665
6780	0.425
4744	0.819
62484	0.649
768	0.429
10437836	0.407
2991	0.574
13848793	0.451
7150	0.562
361	0.485
8182	0.404
992	0.532
21106470	0.358
2121	1.176
392447	0.203
577	0.147
6788	0.705
10437239	0.268
953	0.276
13868660	0.557
6675	1.120
11588	0.573
4437893	0.436
1906	0.309
1015	0.293
10870	0.585
10975	0.542
906	0.5
105291	0.234
7042	0.522
21106570	2.529
12044	0.891
2185	0.259
13063	0.766
6736	0.891
8528	0.179
68568	0.298
8876	0.5
5775	10.825
10909	0.911
10918	0.911
8855	0.392
256210	0.537
49179	4.462
5557	2.980
24326358	1.487
21486195	3.296
10328	0.619
12047	0.644
10849	1.075
8470	0.460
10851	1.098
11769	0.642
13677	0.984
13846658	0.560
12045	0.717
65763	0.653
10432	0.453
5142	0.684
13867714	0.358
21105699	0.475
10850	1.222
1151	0.454
6852	0.644
4514549	0.0
48085	3.920
14627	0.575
87265	0.518
65701	0.664
18941	0.907
10831	1.252
10813	1.435
10908	1.006
551	0.946
16359	0.766
7044	0.735
28552	0.843
29282	0.895
10829	1.239
8060	0.595
15619	1.406
6737	0.950
96749	0.545
29117	1.547
6688	0.856
4760	0.856
12874	1.056
10841	1.251
26325182	1.295
18177	0.430
8262	0.819
8273	0.797
17339596	2.261
3277	1.180
15621	1.424
26260	1.768
5162	2.248
12682	1.212
5593	0.377
8329	0.651
6789	0.736
11776	2.741
15488	0.748
707	6.421
83191	8.817
5774	8.822
92494	8.854
92468	8.842
11489	0.521
6586	0.846
15620	1.754
15861	1.378
12705	0.711
12730	0.701
472932	0.150
6950	0.307
3350	0.414
218253	0.950
4333	0.867
63968	0.512
6706	0.741
68437	1.706
11038	0.683
2068	1.165
5236	1.110
6855	0.781
13090	0.995
13303	0.566
13302	0.691
133166	8.755
8067	3.660
6840	0.944
8030	1.004
3008	0.864
6739	0.650
2283071	1.706
8807	1.195
5791	8.532
11286	1.053
21106059	2.446
13839012	0.650
7151	2.114
10903	0.587
6835	0.580
5145918	4.134
15475	1.393
15755	1.351
14995	1.350
14994	1.364
67470	1.187
15476	1.160
15477	1.603
15478	1.102
15524	0.972
15756	0.972
8058	0.529
15473	0.996
17099	1.061
17098	0.913
33933	1.179
15474	0.829
11003	0.359
8093	0.755
36029	1.518
58496	19.375
6735	1.312
4932499	1.975
8341	0.579
6592	1.336
6371	2.154
2297441	0.660
7155	0.659
3693	1.153
89258	1.140
26010	1.404
30600	1.199
33455	1.279
33934	1.114
33932	1.157
10628694	0.385
11294	1.066
4268	1.292
6604	1.053
23886	1.364
33421	1.603
6838	0.717
6002	10.197
6753	1.0
1262	1.212
6807	0.849
4470736	3.138
20124	0.810
4911	2.083
62265	0.889
64016	1.135
8319	0.707
6790	0.609
6588	0.853
3652	2.807
185	0.434
75995	0.738
2271976	3.022
457140	2.062
84188	1.935
136000	1.810
135983	1.630
136001	1.605
136002	2.001
158870	1.741
157093	1.589
83374	1.562
457144	2.007
135925	1.970
457145	1.562
136003	1.529
84235	1.338
139025	9.893
8282	0.748
34667	1.309
34871	1.427
34873	1.225
56784	1.772
34872	1.344
4343	2.716
1710	2.004
6600	0.969
230	0.649
5660	5.725
5932	9.436
196288	9.893
9797	1.204
9824	1.341
4103087	0.723
34868	1.653
37905	2.018
34869	1.569
37918	1.771
37915	1.528
34867	1.406
25605	1.610
26011	1.321
34870	1.511
34666	1.631
21924	1.443
3216	3.216
6057	2.275
5807	1.288
6610	0.596
21587143	10.387
61739	0.721
34866	1.820
34665	1.693
34664	1.572
37904	1.997
34864	1.853
34188	2.099
34865	1.767
9786472	9.906
6478	1.456
65272	19.582
744	0.490
6492	0.789
11708	0.770
10438331	1.511
2927	1.839
5554	6.107
2928	3.646
27793	2.931
82754	2.454
457138	2.3
102897	2.274
457139	2.673
102947	2.558
97173	2.147
102720	2.148
102801	2.510
102833	2.255
102721	2.188
102856	2.371
102933	1.973
103066	2.405
106355	2.401
82755	2.117
82712	2.349
157094	1.931
103011	2.411
102798	2.546
82762	1.906
97172	1.704
2925	1.576
18547147	10.387
4380	2.025
2424	1.462
34863	1.985
2760	9.843
11974	3.165
32555	1.452
19232038	10.387
13835294	1.389
6514	1.645
33281	1.621
56786	2.020
56789	1.740
33456	1.859
46264	1.937
4777	0.955
10481872	2.956
5550	9.7
553649	0.376
8124942	2.160
56787	2.267
35583	1.965
82807	2.020
56794	2.085
33386	2.183
33457	2.648
47912	1.935
82817	1.859
46893	1.960
33280	1.718
35582	1.838
33304	1.775
46263	2.224
19232037	10.370
10169	1.388
5542	10.336
5376	1.286
8101973	2.176
21106365	1.611
8351654	0.131
2975965	2.263
13300034	2.757
197564	10.067
34874	2.276
36972	2.435
56788	2.149
533188	2.188
35579	2.028
16182	2.022
46262	2.026
35580	1.901
82818	2.247
56790	2.755
56795	2.162
33458	2.528
82777	2.349
35584	2.165
56785	2.286
56792	2.263
34189	1.780
5233	1.695
2075	1.885
3438	2.348
102834	3.510
102722	3.144
154865	2.901
96948	2.832
102743	3.018
102857	2.642
154866	3.077
106356	3.073
102787	2.959
102741	2.938
97240	3.089
97055	2.492
97198	2.889
102742	2.913
2915	2.012
4447447	5.838
193441	9.810
2654	0.728
1278	0.927
56793	2.381
454495	2.442
40191	2.481
56791	2.314
35581	2.193
56775	2.333
56770	2.451
5553	6.262
25677	2.575
2699	2.112
60858	0.612
91432	2.061
6453	1.852
8103122	1.748
33282	2.580
46285	2.897
46284	2.332
82806	2.699
56776	2.452
47913	2.813
32952	2.172
45446	2.291
43353	2.553
56773	2.431
12549	2.439
5633	8.958
14916	0.936
541032	3.983
5541	11.290
