Compound Id	MannholdLogP
13835977	1.68
6334	1.57
592	1.46
13871721	1.790
374462	1.68
558883	2.01
56020	2.01
8908	2.23
376	1.79
10025	1.9
5004	2.12
2275	1.57
4446445	2.23
10124	2.12
7852	2.23
3951	1.68
7530	1.9
7766	1.9
6333	1.57
14680	2.12
7827	2.010
4514529	1.350
13835316	1.46
7711	1.790
12499	1.46
19953955	1.570
21109330	1.9
13638	2.12
72056	2.56
10948	1.68
7815	2.010
71312	1.13
2293678	1.13
2018460	1.24
29107	1.68
21169510	1.350
7552	1.68
5993	1.57
13835293	1.790
62589	2.010
7738	1.790
7686	2.010
7480	1.9
7776	1.9
127983	1.24
1087	1.13
6092	1.570
6042	1.350
6316	1.57
8878	2.23
34095	2.34
7568	1.46
10340	1.9
4444608	2.010
10939	2.12
11107	1.680
13835224	1.57
8141	1.9
9233	1.790
23621376	1.46
21111806	1.9
69371	1.79
66565	1.680
18685	2.23
15443	2.12
844	1.35
18607	1.790
11930	1.680
62628	2.120
67653	2.120
7030	1.46
11875	2.01
7721	1.790
2656	2.45
21108550	1.9
7560	1.68
13839416	1.9
13836021	1.57
13835861	1.68
7029	1.68
394562	1.790
10498	1.57
13839441	1.790
21112738	1.68
6104	1.35
4481813	1.46
60524	1.57
11729	1.68
9325	1.9
11694	1.680
11086	2.23
13849981	2.45
6103	1.570
5894	1.350
13835209	1.68
7788	2.12
13839553	1.57
6083	1.46
6314	1.790
61707	1.68
63054	1.57
4510484	2.23
15803	2.45
26563	2.12
70660	1.68
7679	2.010
13835235	1.46
1039	1.570
10772140	1.350
28994	1.46
4937830	1.68
29008	1.790
11809	1.57
8543	1.57
6111	1.79
68832	1.9
13842001	1.9
22191	2.01
75951	2.120
72793	2.120
72551	2.23
24641	2.23
11632871	2.12
33416	2.01
29001	1.790
21106032	1.68
8909	2.34
11857	2.23
7330	2.01
69982	1.46
21106015	1.46
552744	1.68
10464	1.68
61191	1.79
61001	2.010
8912	1.9
7791	1.9
13866593	1.790
7098	1.79
7026	1.9
553742	1.46
5977	1.24
13837702	1.68
13837537	1.68
9724	2.56
18801	1.9
59674	1.9
558928	1.46
6330	1.57
11244	1.46
7021	1.46
11795	1.790
10488	1.790
13647	1.79
6402	2.56
68156	1.790
71876	2.450
415	1.57
10487	2.010
763	1.24
13835336	1.46
24099	1.68
173	1.46
5730	1.130
7678	2.010
553642	2.34
13861343	0.91
13835550	1.46
8733	1.57
48024	1.790
10265270	2.56
693	1.35
124968	1.570
62808	1.570
8910	2.56
9614	2.010
60886	1.680
28993	2.56
17131	2.010
13875283	2.12
9363	1.790
13849989	2.45
11351244	2.23
558020	1.570
7553	1.68
20939	2.56
518	1.350
6326	1.350
20198	2.12
1143	1.24
61111	1.790
4444456	1.57
2441	2.45
6296	2.340
391428	2.56
733	1.46
9970	2.12
8960	1.24
11117	2.12
191	1.680
13837280	1.350
659	1.46
1078	1.46
13835604	1.570
10772050	1.13
14198	2.56
71787	1.46
7528	1.9
6827	2.780
499714	1.9
7018	1.46
11911	1.24
6093	1.35
13836713	1.68
21106535	1.46
7013	1.46
59447	1.790
10179239	2.56
86007	2.12
390927	2.45
10756	2.45
7961	1.24
12643	2.010
19231	1.680
13835630	1.680
