Compound Id	BCUT [BCUTw-1l]
6312	11.996
6320	11.89
10947	11.89
6040	11.89
8398	11.89
960	11.996
6164	11.890
18410	11.890
7546	11.997
11756	11.999
7616	11.790
258	11.996
7716	11.89
7564	11.994
7024	11.9
7090	11.997
15438	11.9
11699	11.890
16791	11.890
6097	11.890
11799	11.89
6187	11.998
21800	11.89
18717	11.890
13837797	11.790
16641	13.981
10205670	11.989
12442	11.998
6186	11.998
60329	11.994
7790	11.997
1005	11.997
11210	11.89
6101	11.890
1004	11.997
2340753	11.998
10325184	11.999
24590970	11.999
11695	11.890
6102	11.953
13836591	11.996
7028	11.997
7615	11.890
13884973	11.996
7674	11.9
6406	11.890
682	11.997
13874867	11.996
10710415	11.996
6089	11.994
6087	11.999
6098	11.790
7733	11.790
9990	11.890
11727	11.994
7600	11.890
8896	11.9
7466	11.994
14751	11.9
1609	11.996
171	11.997
7727	11.997
71628	11.890
22408	74.922
7728	11.997
6338	11.999
13811	11.890
13871489	11.890
864	11.997
220998	11.890
221117	11.89
15765	11.89
11647	11.9
7506	11.890
7737	11.9
5439	11.994
7003	11.89
6322	11.790
13867413	11.996
553171	11.996
11525	11.89
8554	11.997
13571291	11.953
12066	11.997
7703	11.994
11265	11.890
12954	11.89
13229	11.89
59577	11.890
10053	11.890
10018	11.997
7787	11.9
26765	11.890
192642	11.890
11788	11.995
63156	11.790
122446	11.89
21181	11.890
26325090	11.999
13836520	11.997
6135	12.0
6309	11.790
12626	11.790
11632	11.890
9994	11.997
7636	11.997
13854944	11.996
7557	11.790
6125	11.890
120621	11.890
4449	11.994
55205	11.890
12445	11.890
14169248	11.999
7964	11.890
6193	11.89
62597	11.790
7559	11.989
7677	11.9
12197	11.790
13836674	11.999
11761	11.890
29015	11.997
9642	11.790
156255	11.994
20119	11.890
6118	11.890
363458	11.997
7684	11.995
71390	11.998
8544	11.9
12219	11.890
6307	11.89
7848	11.890
13816	11.890
15077490	11.998
19956441	11.999
12637	11.989
13872989	11.997
11752	11.890
8577	11.89
278	11.997
61487	11.89
11863	11.89
5708	11.890
10536	11.890
14349	11.998
7810	11.890
391	31.972
13835977	11.994
6334	11.89
592	11.997
13871721	11.996
374462	11.994
558883	11.890
56020	11.890
8908	11.9
376	11.996
10025	11.996
5004	11.996
2275	11.9
4446445	11.890
10124	11.890
7852	11.998
3951	11.996
7530	11.995
7766	11.89
6333	11.997
14680	11.890
7827	11.890
4514529	34.969
13835316	11.999
7711	11.890
12499	11.998
19953955	11.999
21109330	11.996
13638	11.9
72056	11.996
10948	11.996
7815	11.890
71312	11.998
2293678	11.998
2018460	11.998
29107	11.890
21169510	11.890
7552	11.890
5993	11.989
13835293	11.996
62589	11.995
7738	11.850
7686	11.995
7480	11.9
7776	11.890
127983	13.981
1087	15.992
6092	11.890
6042	11.890
6316	11.890
8878	11.9
34095	11.996
7568	11.953
10340	11.994
4444608	11.989
10939	11.89
11107	11.890
13835224	11.997
8141	11.9
9233	11.890
23621376	11.999
21111806	11.850
69371	11.998
66565	11.998
18685	11.996
15443	11.9
844	11.997
18607	11.999
11930	11.994
62628	11.996
67653	11.999
7030	11.997
11875	11.996
7721	11.890
2656	11.890
21108550	11.85
7560	11.890
13839416	11.996
13836021	11.997
13835861	11.996
7029	11.9
394562	11.89
10498	11.953
13839441	11.996
21112738	11.999
6104	11.999
4481813	11.890
60524	11.890
11729	11.999
9325	11.998
11694	11.890
11086	11.9
13849981	11.890
6103	11.999
5894	11.994
13835209	11.996
7788	11.9
13839553	11.997
6083	12.0
6314	11.890
61707	11.89
63054	11.998
4510484	11.890
15803	11.9
26563	11.997
70660	11.996
7679	11.9
13835235	11.997
1039	11.999
10772140	11.989
28994	11.994
4937830	11.890
29008	11.9
11809	11.997
8543	11.999
6111	11.9
68832	11.890
13842001	11.996
22191	11.890
75951	11.890
72793	11.89
72551	11.890
24641	11.89
11632871	11.997
33416	11.997
29001	11.89
21106032	11.999
8909	11.9
11857	11.9
7330	11.9
69982	11.999
21106015	11.997
552744	11.89
10464	11.890
61191	11.850
61001	11.850
8912	11.997
7791	11.9
13866593	11.994
7098	11.850
7026	11.996
553742	11.999
5977	11.999
13837702	11.994
13837537	11.997
9724	11.89
18801	11.994
59674	11.890
558928	11.999
6330	11.890
11244	11.994
7021	11.994
11795	11.890
10488	11.9
13647	11.9
6402	11.890
68156	11.994
71876	11.890
415	11.994
10487	11.9
763	15.885
13835336	11.994
24099	11.994
173	11.890
5730	11.999
7678	11.996
553642	11.9
13861343	12.0
13835550	11.994
8733	11.994
48024	11.995
10265270	11.9
693	11.994
124968	11.998
62808	11.850
8910	11.9
9614	11.850
60886	11.997
28993	11.890
17131	11.850
13875283	11.850
9363	11.998
13849989	11.890
11351244	11.8
558020	11.998
7553	11.999
20939	11.890
518	N/A
6326	11.999
20198	11.89
1143	11.994
61111	11.998
4444456	11.999
2441	11.89
6296	11.89
391428	11.890
733	11.997
9970	11.9
8960	13.893
11117	11.9
191	11.996
13837280	11.999
659	11.999
1078	11.989
13835604	11.996
10772050	11.989
14198	11.890
71787	11.890
7528	11.890
6827	11.9
499714	11.89
7018	11.997
11911	11.999
6093	11.999
13836713	11.999
21106535	11.999
7013	11.999
59447	11.89
10179239	11.9
86007	11.89
390927	11.890
10756	11.996
7961	11.997
12643	11.9
19231	11.995
13835630	11.996
13835459	11.995
9581	11.850
13875196	11.850
73412	11.999
13492	11.890
15747	11.890
7236	11.9
10410	11.890
1348	11.989
558878	11.890
5978	11.999
13487	11.890
6119	11.999
10404	11.890
13839199	11.989
9228	11.850
71089	11.890
6342	11.999
9574	11.850
83866	11.996
83850	11.996
9454	11.996
7419	11.890
1108	11.850
7128	11.850
8356	11.89
62530	11.890
7385	11.890
