Compound Id	VABC
7913	265.644238163256
10325078	101.913350101759
92731	119.209334727626
14256731	217.273593584617
3168	86.530623904828
11153	47.131069947406
29005	161.868330408056
7472	127.276361156322
11207996	125.958131805922
7694	161.868330408056
11833	103.826608530695
16388	255.703365186273
455420	155.714562408295
62249	127.276361156322
10420	144.572345782189
9243	49.215986802840
55188	121.122593156561
7482	144.572345782189
11716	161.868330408056
29016	144.572345782189
7670	170.374088333361
7340	227.105034419367
7747	127.276361156322
7624	123.329126664167
7627	109.980376530456
8568	161.868330408056
14846	196.460299659789
11045	144.572345782189
11228	86.530623904828
10709	86.530623904828
109838	112.616835231256
7478	118.770603231017
10765	92.399923129334
13849665	312.828212189767
7800	179.164315033923
11148	31.920002176973
11843	144.572345782189
923	34.067288416095
7475	127.276361156322
12201	109.6959077552
7515	127.276361156322
29012	127.276361156322
10797	135.782119081628
11109	109.6959077552
7538	161.868330408056
7536	144.572345782189
12972	204.966057585095
61266	214.452193107864
24142	265.359769388001
14829	79.638122343706
23055	96.934106969573
13622	248.063784762134
7463	109.980376530456
10571	109.980376530456
16180	230.767800136267
13836549	117.571884754639
7891	213.4718155104
12446	109.6959077552
55123	144.572345782189
10614293	146.924335707734
29025	161.5838616328
11755	92.684391904589
12635	196.175830884534
7706	109.980376530456
7761	127.276361156322
11121	126.991892381067
7713	92.399923129334
12809	178.879846258667
11230	88.737157412433
7833	144.287877006934
10492	109.980376530456
13837190	78.024865979522
13839109	136.066587856883
7556	75.103938503467
12012	127.276361156322
8158	123.329126664167
66675	183.3500547072
7871	204.966057585095
3441	95.845791251453
7954	57.8079538776
9976	170.374088333361
21153	222.262042210962
14688	270.487230371662
9391	87.437315829880
8525	92.684391904589
7514	135.782119081628
11680	109.980376530456
6176	118.486134455761
6085	40.511969251733
63631	106.0331420383
13865630	176.812325108378
7856	157.9210959159
11706	127.276361156322
7802	153.078103707495
12218	187.670072959228
56232	201.303291868195
3973	111.791892520441
6130	62.342137717840
7534	153.078103707495
10788	118.486134455761
7621	118.486134455761
10101	115.432572788644
28986	135.782119081628
13839575	138.703046557683
12632	170.374088333361
13836589	95.320850605389
83734	100.916748964446
9253	100.916748964446
215929	153.078103707495
10791	118.486134455761
555074	126.991892381067
7957	75.103938503467
11125	109.980376530456
7760	135.782119081628
4516601	144.287877006934
8562	123.329126664167
2863	196.460299659789
56442	75.103938503467
4483639	92.399923129334
11919	182.433179833334
10653	92.684391904589
8329688	91.863149256580
7782	92.684391904589
4516599	144.287877006934
16387	231.323839261206
10777	101.190149829895
4512361	144.287877006934
11095	118.486134455761
11025	118.486134455761
26325086	126.346587856883
21106173	126.346587856883
13835706	209.052304434567
441	153.078103707495
2282428	95.845791251453
9251	95.845791251453
13850879	269.730485012728
217	19.553218908967
1114	71.441172786567
7838	135.782119081628
15486	190.306531660028
56559	328.674408666962
11898	363.266377918695
4483638	92.399923129334
6335	75.388407278722
4449912	75.103938503467
11526	84.178633979283
6311	83.464240010833
10054	92.9514649747
7081	118.486134455761
7607	101.190149829895
7074	159.231871707256
12456	176.243387557867
72522	345.970393292829
6313	83.894165204028
7817	118.486134455761
4512642	144.287877006934
