Compound Id	AutocorrelationPolarizability [ATSp4]
13303	1114.283
13302	1128.115
133166	4269.333
8067	1744.316
6840	1357.472
8030	1421.944
3008	1069.282
6739	833.539
2283071	1642.538
8807	1251.222
5791	3992.7
11286	1072.176
21106059	3169.051
13839012	1015.083
7151	1074.435
10903	961.767
6835	993.271
5145918	3804.986
15475	1267.310
15755	1225.963
14995	1288.703
14994	1280.003
67470	1200.3
15476	1205.866
15477	1298.665
15478	1189.937
15524	1121.464
15756	1124.181
8058	1072.471
15473	1291.896
17099	1338.826
17098	1263.428
33933	1329.115
15474	1235.849
11003	833.965
8093	1260.035
36029	1740.711
58496	9137.258
6735	1070.684
4932499	1687.015
8341	787.997
6592	1319.592
6371	1779.256
2297441	1118.346
7155	875.461
3693	1720.271
89258	1167.353
26010	1462.549
30600	1386.493
33455	1393.154
33934	1355.532
33932	1409.762
10628694	505.268
11294	1135.617
4268	1898.622
6604	1149.341
23886	1488.090
33421	1516.062
6838	1348.660
6002	4932.230
6753	1557.474
1262	1613.438
6807	1217.735
4470736	4545.346
20124	936.134
4911	2674.523
62265	1056.074
64016	1792.444
8319	893.241
6790	836.442
6588	1042.249
3652	3938.227
185	557.069
75995	2153.047
2271976	2197.168
457140	1629.763
84188	1651.884
136000	1614.281
135983	1522.679
136001	1531.960
136002	1641.096
158870	1577.177
157093	1483.281
83374	1486.228
457144	1590.736
135925	1664.803
457145	1559.496
136003	1530.868
84235	1437.190
139025	6005.672
8282	949.169
34667	1570.431
34871	1563.699
34873	1539.231
56784	1696.668
34872	1531.769
4343	3873.198
1710	2413.989
6600	1245.270
230	612.086
5660	3243.314
5932	4619.418
196288	5886.325
9797	1989.291
9824	1528.655
4103087	865.240
34868	1706.629
37905	1798.696
34869	1671.732
37918	1771.991
37915	1633.1
34867	1652.927
25605	1737.279
26011	1618.488
34870	1671.747
34666	1667.205
21924	1599.512
3216	4009.234
6057	2238.134
5807	1298.877
6610	1169.685
21587143	6079.917
61739	944.976
34866	1818.125
34665	1741.226
34664	1763.505
37904	1873.112
34864	1768.177
34188	1809.805
34865	1731.041
9786472	5758.820
6478	1230.163
65272	8924.160
744	636.841
6492	991.462
11708	762.096
10438331	1524.413
2927	2284.431
5554	3283.565
2928	2666.554
27793	2128.616
82754	2012.830
457138	1905.527
102897	1912.216
457139	2034.602
102947	2059.046
97173	1940.671
102720	1944.306
102801	2066.773
102833	1967.220
102721	1933.061
102856	2037.108
102933	1875.347
103066	1951.157
106355	2006.944
82755	1891.654
82712	1990.960
157094	1831.559
103011	1902.633
102798	2090.998
82762	1919.745
97172	1771.021
2925	1994.092
18547147	5960.556
4380	2957.358
2424	1381.010
34863	1886.237
2760	5588.458
11974	1325.288
32555	1624.331
19232038	5898.619
13835294	1944.432
6514	2334.318
33281	1854.075
56786	1939.449
56789	1849.913
33456	1846.320
46264	1904.448
4777	1534.8
10481872	3757.852
5550	4956.676
553649	920.731
8124942	2843.778
56787	2050.778
35583	2000.034
82807	2026.937
56794	1999.107
33386	2012.907
33457	2211.155
47912	1988.391
82817	1988.404
46893	1921.280
33280	1945.874
35582	1944.487
33304	1951.011
46263	2050.372
19232037	5760.878
10169	2202.914
5542	5662.465
5376	2020.472
8101973	2671.615
21106365	1774.618
8351654	177.916
2975965	2536.877
13300034	2059.403
197564	5052.780
34874	2160.882
36972	2169.516
56788	2079.203
533188	2147.790
35579	2105.339
16182	1999.259
46262	2106.180
35580	2024.121
82818	2137.034
56790	2269.946
56795	2095.778
33458	2289.985
82777	2069.660
35584	2068.040
56785	2069.045
56792	2029.681
34189	2049.796
5233	2070.410
2075	3122.227
3438	2560.042
102834	2577.675
102722	2440.526
154865	2388.780
96948	2350.342
102743	2467.617
