Compound Id	TPSA
72522	20.23
6313	17.07
7817	9.23
4512642	0.0
7928	20.23
7734	26.3
5949	17.07
62632	23.79
14348	20.23
7803	37.3
7076	26.3
78998	23.79
17880	0.0
370	37.3
29029	17.07
11884	23.79
2581	20.23
16177	23.79
7730	12.03
13866746	0.0
7016	17.07
15853	23.79
11864	0.0
9053802	20.23
21106586	43.370
67360	23.79
63863	49.69
11891	20.23
7732	9.23
18920	20.23
10113	0.0
11866	23.79
15846	23.79
11845	0.0
15954	20.23
11819	20.23
7566	23.79
29026	23.79
7772	17.07
11739	20.23
7917	20.23
6321	17.07
12209	0.0
11846	23.79
7622	20.23
11861	20.23
15016	26.02
11056	20.23
7915	20.23
23255	26.02
10787	20.23
123993	20.23
55090	0.0
11806	0.0
7630	43.370
8552	37.3
68179	29.43
7901	20.23
6121	0.0
7770	23.79
7558	0.0
11036	20.23
10001	37.3
7064	37.3
175	17.07
6146	20.23
6649	37.3
11029	20.23
6123	26.02
7892	20.23
8576	26.02
6095	0.0
9461	9.23
14692	0.0
11099	0.0
11193	37.3
256	17.07
11794	20.23
7851	26.02
15387	26.02
8012	37.3
7717	23.79
11732	20.23
10511	20.23
654	12.03
6315	0.0
6086	0.0
99440	20.23
11194	20.23
455353	29.46
11110	0.0
13848341	52.6
10265264	0.0
7850	0.0
7882	20.23
7577	26.3
29000	20.23
8574	20.23
11239	20.23
6165	20.23
11865	0.0
21011	20.23
4366810	38.33
512	17.07
11793	20.23
7811	26.02
7835	26.02
11216	20.23
13862665	26.3
932	20.23
22814	0.0
6341	37.3
11678	20.23
11543	20.23
62230	20.23
7533	20.23
13836399	29.46
10526	0.0
10422	38.33
12069	43.14
59483	36.090
13255	9.23
10179173	0.0
7701	37.3
6149	0.0
10790	20.23
71430	27.69
120464	0.0
172	17.07
11180	20.23
13865426	43.370
7434	20.23
259	37.3
7714	0.0
10512	0.0
7812	20.23
7769	26.02
7459	20.23
11024	20.23
7837	20.23
3644	20.23
16778	29.46
7705	29.46
191367	43.14
748	23.79
5091	37.3
10437	0.0
387	43.14
6312	20.23
6320	20.23
10947	20.23
6040	20.23
8398	20.23
960	37.3
6164	20.23
18410	0.0
7546	12.53
11756	52.370
7616	26.3
258	20.23
7716	26.02
7564	26.02
7024	0.0
7090	0.0
15438	0.0
11699	38.33
16791	0.0
6097	0.0
11799	43.14
6187	0.0
21800	0.0
