Compound Id	MDE [MDEC-33]
12072	0.0
11900	0.0
11901	0.0
11146	0.0
11902	0.0
10542	0.0
11906	0.0
7823	0.0
13835376	0.0
55130	0.5
6188	0.0
127750	0.0
14299946	0.0
30713	1.0
14694	0.0
99596	0.0
11849	0.0
7757	0.0
21106169	0.0
20545	0.067
10441	0.0
14672	0.0
7511	0.0
10446	0.0
7657	0.5
22453	1.0
6151	0.0
7509	0.0
7872	0.0
10433	0.333
55084	0.0
7875	0.0
2062437	0.0
7065	1.0
11992	0.5
7913	0.0
10325078	0.0
92731	0.5
14256731	0.794
3168	0.0
11153	0.0
29005	0.0
7472	0.5
11207996	0.5
7694	0.0
11833	0.0
16388	1.0
455420	0.0
62249	0.0
10420	0.0
9243	0.0
55188	0.0
7482	0.0
11716	0.0
29016	0.25
7670	1.191
7340	0.0
7747	0.333
7624	0.5
7627	0.5
8568	0.0
14846	0.0
11045	0.0
11228	0.0
10709	0.0
109838	0.0
7478	0.0
10765	0.0
13849665	1.608
7800	0.0
11148	0.0
11843	0.0
923	0.0
7475	0.0
12201	0.0
7515	0.0
29012	0.0
10797	2.381
11109	0.0
7538	0.0
7536	0.0
12972	0.0
61266	25.671
24142	0.0
14829	0.0
23055	0.0
13622	0.0
7463	0.0
10571	1.0
16180	0.0
13836549	9.125
7891	0.0
12446	0.0
55123	0.0
10614293	0.0
29025	0.0
11755	0.0
12635	0.0
7706	0.0
7761	0.0
11121	0.0
7713	0.0
12809	0.0
11230	0.0
7833	0.0
10492	0.0
13837190	0.0
13839109	0.0
7556	0.0
12012	0.0
8158	0.0
66675	0.0
7871	0.0
3441	0.0
7954	0.0
9976	0.0
21153	0.0
14688	0.0
9391	0.0
8525	0.0
7514	0.0
11680	0.0
6176	0.0
6085	0.0
63631	0.0
13865630	0.333
7856	0.0
11706	0.0
7802	0.0
12218	0.0
56232	0.0
3973	0.0
6130	0.0
7534	0.5
10788	1.0
7621	0.5
10101	0.0
28986	0.0
13839575	0.0
12632	0.0
13836589	0.0
83734	0.0
9253	0.0
215929	0.0
10791	1.0
555074	0.0
7957	0.0
11125	0.0
7760	0.0
4516601	0.0
8562	0.0
2863	0.0
56442	0.0
4483639	0.0
11919	0.0
10653	0.0
8329688	0.0
7782	0.0
4516599	0.0
16387	0.0
10777	1.0
4512361	0.0
11095	0.0
11025	0.0
26325086	0.0
21106173	1.5
13835706	1.608
441	0.0
2282428	0.0
9251	0.0
13850879	0.909
217	0.0
1114	0.0
7838	0.0
15486	0.0
56559	0.0
11898	0.0
4483638	0.0
6335	0.0
4449912	0.0
11526	0.0
6311	0.0
10054	0.0
7081	0.0
7607	0.0
7074	1.310
12456	0.0
72522	0.0
6313	0.0
7817	0.0
4512642	0.0
7928	0.0
7734	0.0
5949	0.0
62632	0.0
14348	0.0
7803	0.0
7076	1.0
78998	0.0
17880	0.0
370	0.0
29029	0.0
11884	0.0
2581	0.0
16177	0.0
7730	0.0
13866746	6.084
7016	0.0
15853	0.0
11864	0.0
9053802	0.0
21106586	2.381
67360	0.0
63863	0.0
11891	0.0
7732	0.0
18920	0.0
10113	0.0
11866	0.0
15846	0.0
11845	0.0
15954	1.0
11819	0.333
7566	0.0
29026	0.0
7772	0.0
11739	0.0
7917	0.0
6321	0.0
12209	0.0
11846	0.0
7622	0.5
11861	0.0
15016	0.0
11056	0.0
7915	0.0
23255	0.0
10787	1.0
123993	1.0
55090	0.0
11806	0.0
7630	0.5
8552	0.0
68179	0.0
7901	0.0
6121	0.0
7770	0.0
7558	0.0
11036	0.0
10001	0.5
7064	1.0
175	0.0
6146	0.0
6649	1.0
11029	0.0
6123	0.0
7892	0.0
8576	0.0
6095	0.0
9461	0.0
14692	0.0
11099	0.0
11193	0.0
256	0.0
11794	0.0
7851	0.0
15387	0.0
8012	1.0
7717	0.0
11732	0.0
10511	0.0
654	0.0
6315	0.0
6086	0.0
99440	0.0
11194	0.0
455353	0.0
11110	0.0
13848341	0.333
10265264	0.333
7850	0.0
7882	0.0
7577	0.0
29000	0.0
8574	0.0
11239	1.0
6165	0.0
11865	0.0
21011	0.0
4366810	0.25
512	0.0
11793	0.0
7811	0.0
7835	0.0
11216	0.0
13862665	0.0
932	0.0
22814	0.0
