Compound Id	FragmentComplexity
7391	9.01
21108577	12.03
13257	8.02
70682	9.02
4228778	22.06
13658	10.02
28992	8.02
6528	24.04
7739	5.01
21168808	6.01
8335	10.0
8374	13.02
21111820	6.01
6897	11.02
13863629	7.02
12228	7.01
21112023	10.02
6665	14.07
247721	13.02
10437215	10.03
11731	3.02
13865438	9.01
120489	8.03
2039535	9.03
13837319	20.04
7278	11.02
13875160	8.01
8899	5.02
7238	8.01
21106135	9.01
773	5.02
2916	2.02
12225	6.02
10197150	7.04
55091	6.05
26325085	14.03
26325087	14.03
26325088	14.03
11862	7.02
8241	18.04
3210	15.01
8950	9.0
7676	7.01
66996	7.03
10437074	7.03
66896	19.01
30595	11.02
7710	4.02
7809	6.02
63908	9.03
221226	10.03
21105959	9.01
66021	7.03
17443	8.03
84971	31.05
388391	31.05
10236	9.0
13837303	16.04
13648	9.02
2849146	10.04
222538	10.04
73390	11.04
10437335	11.04
11576	11.02
11589	11.02
7175	11.02
79969	13.02
11784	7.02
7765	5.02
6883	10.02
7241	8.02
13875230	8.01
7689	7.02
2038738	8.03
11785	7.02
9218	11.03
7224	8.01
11600	8.02
7551	3.02
558875	13.02
21106366	10.01
78	8.02
7225	8.02
10181339	11.02
13839308	9.01
65523	10.04
7157	11.02
2937774	12.04
502855	14.04
14556	11.03
30572	10.05
58234	34.01
67460	11.01
9349	8.02
8883	54.0
65936	8.03
13875281	8.01
4445317	14.01
10534	7.0
6898	12.02
13644	9.02
12061	10.01
29036	3.03
199342	15.01
66895	15.01
62534	10.02
62408	10.02
13837329	14.04
4489	8.02
15495	14.03
66887	14.01
7389	9.02
9893	11.01
63518	13.01
12060	10.01
62310	13.03
7420	10.01
13856009	9.02
59482	12.01
12816	8.02
14678	11.01
21171407	3.01
7984	8.04
28982	9.01
206561	11.04
19709	11.02
21168831	9.01
21105897	12.03
13860335	8.01
6881	10.01
55443	12.01
453675	13.01
971	7.01
9579	10.03
21105878	10.02
21168813	10.01
60121	10.02
15427	10.01
1141	8.04
63310	10.04
11021	9.01
305	12.07
13846663	11.01
79280	12.02
21106091	12.01
13876539	9.01
5830	9.01
69340	11.01
63889	8.03
2606	6.05
10992	9.01
8674	10.02
9943	8.02
7132	9.01
235	8.01
13839082	8.01
13839110	9.01
13840690	8.01
13871718	10.01
21105871	8.01
