Compound Id	ALOGP [AMR]
21108550	1.745
7560	22.214
13839416	26.2
13836021	20.986
13835861	25.267
7029	18.465
394562	22.270
10498	21.076
13839441	23.288
21112738	18.092
6104	16.438
4481813	15.253
60524	19.730
11729	23.481
9325	1.745
11694	29.924
11086	29.741
13849981	49.754
6103	18.682
5894	20.051
13835209	20.377
7788	25.045
13839553	17.465
6083	14.296
6314	20.723
61707	22.528
63054	6.055
4510484	39.005
15803	44.924
26563	66.261
70660	40.075
7679	23.179
13835235	14.554
1039	19.187
10772140	17.397
28994	14.491
4937830	16.304
29008	18.548
11809	20.516
8543	23.567
6111	8.735
68832	31.114
13842001	34.868
22191	34.025
75951	36.937
72793	39.049
72551	39.848
24641	41.960
11632871	58.129
33416	55.218
29001	26.09
21106032	26.479
8909	23.293
11857	27.957
7330	25.503
69982	35.316
21106015	17.605
552744	23.195
10464	20.801
61191	8.999
61001	17.205
8912	44.174
7791	21.459
13866593	26.603
7098	8.999
7026	17.609
553742	19.579
5977	21.364
13837702	23.692
13837537	23.768
9724	42.305
18801	27.858
59674	25.794
558928	19.579
6330	17.889
11244	21.336
7021	21.336
11795	23.713
10488	21.376
13647	21.753
6402	44.539
68156	24.946
71876	45.890
415	20.780
10487	23.572
763	5.129
13835336	16.211
24099	22.034
173	12.866
5730	26.849
7678	20.521
553642	30.869
13861343	24.603
13835550	17.869
8733	19.123
48024	30.744
10265270	35.059
693	8.794
124968	1.157
62808	0.873
8910	29.116
9614	0.873
60886	6.98
28993	48.494
17131	21.947
13875283	6.375
9363	1.184
13849989	51.297
11351244	32.529
558020	1.184
7553	23.459
20939	46.015
518	N/A
6326	25.710
20198	49.125
1143	9.943
61111	0.873
4444456	25.277
2441	43.763
6296	42.646
391428	44.991
733	20.516
9970	23.432
8960	10.568
11117	29.541
191	29.360
13837280	25.262
659	20.559
1078	23.537
13835604	27.278
10772050	28.158
14198	43.317
71787	25.332
7528	34.618
6827	40.882
499714	29.442
7018	23.567
11911	31.267
6093	19.255
13836713	23.551
21106535	26.618
7013	29.669
59447	30.033
10179239	35.059
86007	59.598
390927	47.919
10756	47.919
7961	28.216
12643	26.556
19231	29.262
13835630	38.865
13835459	25.449
9581	8.188
13875196	8.188
73412	29.462
13492	25.322
15747	28.234
7236	26.714
10410	19.022
1348	8.595
558878	50.239
5978	20.035
13487	22.411
6119	24.173
10404	19.499
13839199	5.733
9228	6.488
71089	5.899
6342	30.764
9574	8.092
83866	23.571
83850	23.571
9454	12.641
7419	16.587
1108	5.502
7128	14.268
8356	17.346
62530	13.262
7385	13.676
7170	28.536
8903	0.0
13842613	11.465
16159	34.205
7183	19.770
236	0.0
553578	50.239
7736	3.3
7242	8.810
7219	10.351
7521	11.004
7672	26.555
12010	36.204
24533	8.810
789	27.915
7088	19.127
1019	0.0
13835932	26.479
65750	19.499
15461	23.975
11830	33.292
6122	29.142
1095	23.041
7641	11.004
63903	13.676
10497	30.380
8904	0.0
7688	5.733
13874733	5.502
10437135	11.610
11660	15.853
1020	0.0
21106520	5.502
18724	19.127
11042	11.235
31029	27.469
21106560	10.351
21132380	11.235
8531	20.701
15855	46.593
6100	23.937
13837281	30.945
21105905	10.351
66809	7.316
7448	20.701
6179	36.321
7659	16.506
24535	24.866
15702	27.771
25552	17.621
11871	42.632
15409	25.697
20843	11.465
10940	11.235
10251740	8.838
11077	11.004
24972	17.197
9326	3.437
13885245	20.831
6524	50.543
28969	11.716
6967	11.004
8900	0.0
12229	1.945
9360	3.437
10253	19.770
8902	0.0
9350	3.437
7786	35.568
6999	22.008
15965	19.814
6088	19.643
10937	11.004
21106036	5.635
6977	16.506
10364	7.764
62489	7.316
10384035	11.610
11409	15.853
8243	51.275
7391	11.610
21108577	19.304
13257	7.447
70682	44.092
4228778	58.806
13658	22.93
28992	11.465
6528	57.098
7739	7.794
21168808	13.526
8335	20.701
8374	22.726
21111820	13.296
6897	16.282
13863629	7.913
12228	0.0
21112023	11.643
6665	12.889
247721	24.315
10437215	15.142
11731	26.980
13865438	12.818
120489	7.316
2039535	11.610
13837319	45.452
7278	16.538
13875160	11.118
8899	7.794
7238	7.316
21106135	12.818
773	3.3
2916	22.072
12225	5.899
10197150	24.607
55091	28.380
26325085	53.164
26325087	54.428
26325088	54.428
11862	38.269
8241	39.628
3210	75.215
8950	14.902
7676	5.616
66996	5.992
10437074	5.616
66896	41.998
30595	17.491
7710	29.534
7809	35.357
63908	9.261
221226	13.555
21105959	12.818
66021	6.102
17443	7.316
84971	32.441
388391	32.441
10236	16.506
13837303	32.564
13648	10.770
2849146	11.988
222538	11.988
73390	16.282
10437335	16.282
11576	18.224
11589	17.570
7175	17.491
79969	23.807
11784	5.616
7765	32.446
6883	11.988
7241	6.199
13875230	11.118
7689	6.102
2038738	6.199
11785	5.616
9218	13.738
7224	6.199
11600	13.646
7551	26.623
558875	25.215
21106366	15.320
78	6.199
7225	6.199
10181339	16.634
13839308	10.748
65523	11.988
7157	17.491
2937774	18.227
502855	23.704
14556	16.282
30572	29.444
58234	44.282
67460	18.525
9349	5.095
8883	40.404
65936	6.199
13875281	11.118
4445317	62.281
10534	35.821
6898	20.666
13644	10.770
12061	15.613
29036	26.981
199342	39.529
66895	30.352
62534	12.944
62408	12.944
13837329	23.977
4489	31.029
15495	25.290
66887	27.440
7389	7.442
9893	18.706
63518	24.529
12060	16.240
62310	22.379
7420	18.105
13856009	10.770
59482	21.617
12816	6.294
14678	19.152
21171407	28.806
7984	31.728
28982	12.915
206561	13.933
19709	19.379
21168831	14.780
21105897	18.847
13860335	7.277
6881	15.794
55443	20.877
453675	23.789
971	2.565
9579	8.092
21105878	14.632
21168813	16.273
60121	14.174
15427	16.711
1141	14.884
63310	35.763
11021	12.779
305	35.624
13846663	21.691
79280	20.618
21106091	26.540
13876539	10.843
5830	11.729
69340	17.965
63889	7.561
2606	29.246
10992	12.779
8674	14.632
9943	6.294
7132	10.770
235	6.294
13839082	8.067
13839110	13.569
13840690	10.328
13871718	15.054
21105871	8.067
21105998	22.335
7131	11.861
13856352	13.386
13866817	11.231
24722	47.412
7221	10.147
7223	8.934
9903	12.642
13839105	13.569
10246	19.071
18336	24.246
14866	29.274
466305	28.339
13865680	12.915
11604	12.915
13634	10.147
76394	8.144
440	38.404
28682	10.770
447	9.880
11667	12.931
13835772	8.067
