Compound Id	Octanol/water partition coefficient as logP
606	2.76
607	2.67
608	2.99
611	3.23
614	3.26
616	2.52
617	3.01
618	2.5
620	2.18
621	2.82
622	2.68
623	2.96
624	-0.09
626	0.74
628	2.6
629	2.02
631	2.27
635	3
636	2.45
641	2.89
642	0.99
643	2.75
644	1.39
645	1.52
648	2.47
650	1.58
651	2.3
652	2.34
653	2.51
654	1.91
655	2.72
656	2.64
659	2.83
660	3.2
661	2.23
662	2.54
663	-0.55
664	2.67
665	2.84
667	2.73
668	2.73
669	1.77
671	2.62
672	1.83
673	2.28
674	1.69
676	1.77
678	2.63
679	1.83
681	1.14
683	2.47
684	2.89
685	2.9
686	1.68
687	0.98
688	2.04
690	2.37
692	1.7
693	2.01
696	2.37
697	1.52
698	2.64
700	2.49
701	2.21
703	2.42
705	2.38
706	3.22
707	2.16
710	1.24
711	2.3
713	2.33
714	2.61
715	2.4
716	1.91
718	2.25
719	1.85
720	1.61
721	2.15
722	0.8
723	2.67
724	2.24
725	2.29
727	1.99
730	2.11
732	1.02
733	1.73
734	2.19
735	2.72
736	1.7
737	2.27
738	1.85
739	1.61
740	2.62
741	2.26
743	2.1
744	1.39
748	2.3
750	1.96
752	0.7
753	1.56
754	2.13
755	2.13
756	1.98
757	1.05
758	2
759	1.64
760	2.03
761	2.75
762	1.99
766	0.98
767	2
768	1.61
769	2.14
770	1.35
774	2.31
776	2.1
778	1.14
779	2.14
781	1.79
782	1.13
783	2.01
785	1.76
786	2.07
787	2.04
788	2.24
789	1.35
790	0.57
791	1.77
792	1.98
793	1.9
794	1.28
795	2.22
796	1.6
797	1.68
801	1.96
802	0.4
803	1.95
806	1.88
807	1.16
808	1.89
811	1.6
812	1.86
813	2.04
815	1.78
816	1.86
817	1.86
818	1.79
820	1.58
821	1.71
823	1.46
824	1.78
825	2.03
828	1.76
829	2.22
831	1.58
832	1.47
834	1.97
835	1.88
836	1.59
840	1.29
844	1.52
845	1.61
847	1.47
848	1.43
854	1.56
855	1.51
856	0.94
857	1.66
858	0.23
860	0.64
861	1.19
