Compound Id	D73
158	3.251629
159	2.725481
160	2.921928
161	2.947703
162	3.121928
163	3.093069
164	2.281036
165	2.664497
166	2.751629
167	2.594906
168	3.095795
169	1.985228
170	2.321928
171	3.095795
172	2
173	1.752715
174	1.842371
175	2.19716
176	1.921928
177	2.121928
178	2.459148
179	2.259237
180	2.19716
181	1.521928
182	2.418296
183	2.645593
184	2.521928
185	1.772077
186	2.25
187	2
188	1.921928
189	1.584963
190	1.921928
191	1.918296
192	1.5
193	2.932202
194	1.530493
195	2.921928
196	3.32734
197	3.454822
198	2.427694
199	2.551515
200	3.2433
201	3.235926
202	3.038562
203	2.663533
204	2.918296
205	3.026987
206	2.842371
207	2.072906
208	2.584963
209	2.985228
210	2.557718
211	2.777777
212	2.985228
213	2.557718
214	2.777777
215	3.427334
216	2.721928
217	2.321928
218	3.350209
219	2.81634
220	2.81634
221	2.709148
222	2.918296
223	3.484184
224	2.913977
225	2.359648
226	2.359648
227	2.760314
228	2.419382
229	0
230	1.459148
231	3.235926
232	2.459148
233	1.738149
234	1.768064
235	2.155639
236	2.155639
237	1.912351
238	1.965768
239	2.281036
240	2.446439
241	2.663533
242	2.19716
243	2.646439
244	2.349602
245	2.209691
246	2.565449
247	2.625815
248	2.419382
249	2.278352
250	1.813661
251	2.42258
252	1.861702
253	2.495603
254	2.974937
255	3.024397
256	2.022106
257	1.789929
258	2.663533
259	3.238901
260	2.646439
261	3.521641
262	2.646439
263	3.521641
264	2.646439
265	2.17095
266	3.182006
267	2.081496
268	2.321928
269	1.842371
270	2.144024
271	2.19716
272	2.725481
273	2.947703
274	1.921928
275	2.815073
276	2.646439
277	2.446439
278	2.725481
279	2.235926
280	2
281	2.419382
282	2.646439
283	2.17095
284	2.125
285	2.947703
286	2.25
287	2.646439
288	2.522055
289	1.969816
290	2.281036
291	1.5
292	2.284159
293	2.004886
294	2
295	2.25
296	1.5
297	2.405639
298	2.663533
299	2.646439
300	3.026987
301	3.121928
302	2.5
303	2.918296
304	2.596792
305	3
306	3.121928
307	2.905639
308	2.950212
309	2.807355
310	3.52164
311	2.845351
312	2.646439
313	3.022055
314	2.780639
315	1.842371
316	2.155639
317	2.19716
318	2.19716
319	2.550341
320	1.905639
321	2.5
322	1.921928
323	2.732159
324	2.281036
325	2.807355
326	2
327	2.25
328	1.5
329	1.842371
330	2.646439
331	2.419382
332	2.521641
333	1.75
334	1.921928
335	1.918296
336	2
337	2.25
338	2.865957
339	2.839354
340	2.460964
341	2.725481
342	1.950212
343	2.641604
344	2.778475
345	3.251629
346	2.43657
347	2.330275
348	3.392747
349	2.405639
350	2.64644
351	2.939016
352	2.88772
353	2.527348
354	2.838547
355	2.321447
356	1.995232
357	1.864478
