Compound Id	40-h Tetrahymena toxicity as log(1/IGC50)
470	-1.49
471	-0.81
472	-1.70
473	-1.24
474	-1.12
475	-1.18
476	-1.39
477	-1.25
478	-1.40
479	-1.35
480	-0.81
481	-1.47
482	-0.75
483	-1.66
484	-0.84
485	-1.29
486	-2.21
487	-0.78
488	-0.90
489	-1.58
490	-0.55
491	-0.48
492	-1.26
493	-0.87
494	-0.45
495	-0.93
496	-1.14
497	0.53
498	-0.27
499	0.12
500	-0.09
501	-0.01
502	0.06
503	-0.43
504	-0.62
505	-0.07
506	0.87
507	0.01
508	-0.41
509	-0.58
510	-0.69
