Compound Id	Vertex adjacency information (magnitude)
1461	5.247927513
1462	5.321928095
1463	5.392317423
1464	5.321928095
1465	5.392317423
1466	5.169925001
1467	4.700439718
1468	5.807354922
1469	4.459431619
1470	5
1471	4.584962501
1472	5.169925001
1473	5.169925001
1474	5.247927513
1475	5.087462841
1476	5.321928095
1477	5
1478	4.906890596
1479	5
1480	5.169925001
1481	4.459431619
1482	5.169925001
1483	5.087462841
1484	5.247927513
1485	5.321928095
1486	5.247927513
1487	5.087462841
1488	5.700439718
1489	4.700439718
1490	5.169925001
1491	5.523561956
1492	5.807354922
1493	5.321928095
1494	5
1495	5.087462841
1496	5.169925001
1497	6.169925001
1498	5.906890596
1499	6
1500	4.459431619
1501	4.807354922
1502	5.64385619
1503	5
1504	5
1505	5
1506	5.247927513
1507	5.247927513
1508	5.700439718
1509	5
1510	5
1511	5.087462841
1512	5.087462841
1513	5.169925001
1514	5.169925001
1515	5.321928095
1516	4.906890596
1517	5.247927513
1518	5.321928095
1519	5
1520	6.087462841
1521	5.807354922
1522	5.169925001
1523	5.247927513
1524	5.247927513
1525	5.754887502
1526	5.700439718
1527	4.321928095
1528	5.321928095
1529	5.392317423
1530	5.247927513
1531	5.169925001
1532	5.64385619
1533	5.64385619
1534	6.754887502
1535	6.727920455
1536	6.672425342
1537	6.64385619
1538	5
1539	4.700439718
1540	4.700439718
1541	4.584962501
1542	5
1543	5.584962501
1544	4.459431619
1545	4.584962501
1546	4.700439718
