Compound Id	The minimum E-State energy for hydrogen bond donors
1387	0
1388	0
1389	0
1390	0
1391	0
1392	0
1393	0
1394	0
1395	0
1396	0
1397	0
1398	0
1399	0
1400	0
1401	0
1402	0.15300576
1403	0
1404	0
1405	0
1406	0
1407	0
1408	0
1409	0
1410	0
1411	0
1412	0
1413	0
1414	0
1415	0
1416	0
1417	0
1418	0
1419	0
1420	0
1421	0
1422	0
1423	0
1424	0
1425	0
1426	0
1427	0.177942439
1428	0
1429	0
1430	0
1431	0
1432	0
1433	0
1434	0
1435	0
1436	0
1437	0
1438	0
1439	0
1440	0
1441	0
1442	0
1443	0
1444	0
1445	0
1446	0
1447	0
1448	0
1449	0
1450	0
1451	0.444190161
1452	0
1453	0
1454	0
1455	0
1456	0
1457	0
1458	0
1459	0
1460	0
1461	0
1462	0
1463	0
1464	0
1465	0
1466	0
1467	0
1468	0
1469	0
1470	0
1471	0.571644376
1472	0
1473	0
1474	0
1475	0
1476	0
1477	0
1478	0
1479	0
1480	0
1481	0.539984568
1482	0
1483	0
1484	0
1485	0.018968411
1486	0
1487	0
1488	0
1489	0
1490	0
1491	0.524591837
1492	0
1493	0
1494	0
1495	0
1496	0
1497	0
1498	0
1499	0
1500	0.640232269
1501	0.623189042
1502	0.365533322
1503	0
1504	0
1505	0
1506	0
1507	0
1508	0
1509	0
1510	0
1511	0
1512	0
1513	0
1514	0
1515	0
1516	0
1517	0
1518	0
1519	0.608883486
1520	0
1521	0
1522	0
1523	0
1524	0
1525	0.638005384
1526	0.614949828
1527	0
1528	0.295005966
1529	0.694244919
1530	0
1531	0
1532	0.568146982
1533	0.460826532
1534	0
1535	0
1536	0.273189962
1537	0.285535641
1538	0
1539	0
1540	0
1541	0
1542	0
1543	0
1544	0
1545	0
1546	0
1	0.677430556
4	0
5	0
6	0.285388052
7	0.314601828
8	0
12	0.17865583299999999
13	0.295504606
14	0.274592537
16	0
17	0.144921265
18	0.590224159
22	0
23	0
24	0
25	0.406115433
27	0.060990717
29	0.121893495
31	0.391481481
98	0
99	0.630972222
104	0.63625
105	0.665277778
107	0.661584467
108	0.547339144
109	0
113	0
115	0
117	0
123	0
124	0
125	0.369166667
126	0
128	0.231189759
129	0.254231859
131	0.314601828
132	0.295504606
133	0
134	0.314601828
136	0
137	0
139	0.546553249
140	0
141	0
142	0
143	0
144	0.610300659
145	0
146	0
147	0.668368319
148	0.468888495
11	0.252101828
15	0
28	0
33	0.100533212
54	0.498842593
55	0.415763889
58	0.611805556
62	0.664027778
63	0.4525
64	0
65	0.240949074
67	0.550723183
70	0.586228978
71	0
73	0.559419564
76	0
77	0.668685752
78	0.462295918
79	0
80	0.595777589
84	0
85	0.597850293
87	0.67844561
88	0
89	0.54667823
90	0.703921634
92	0.531635802
93	0.624444444
94	0.804027778
95	0.56243697
96	0.400086804
149	0
150	0.671805556
151	0
152	0.720873095
153	0.779484512
155	0.560656415
156	0.577896846
157	0
158	0.574492867
159	0.58185319
160	0.626946373
161	0.614426493
162	0.424722222
163	0
164	0.427949412
165	0
166	0
167	0.421935797
168	0.775652794
169	0.657916667
