Compound Id	Valence path, order 0
654	4.27964
655	5.01704
656	13.324
657	9.30336
658	14.1176
659	6.89981
660	4.68614
661	12.6526
662	9.85795
663	9.78482
664	6.87832
665	8.4353
666	12.5113
667	15.0135
668	7.64337
669	14.5269
670	8.61895
671	5.53415
672	14.2086
673	7.1188
674	7.73416
675	7.60402
676	6.63373
677	9.11668
678	9.11708
679	5.98867
680	12.4215
681	7.79807
682	6.1259
683	6.54145
684	7.24818
685	11.7292
686	9.88659
687	9.9282
688	7.51323
689	8.6044
690	7.4497
691	5.70325
692	9.98823
693	9.0272
694	6.41035
695	8.09
696	7.333
697	6.74722
698	7.83676
699	5.44329
700	4.89051
701	6.07719
702	5.94705
703	7.05338
704	5.52064
705	5.41132
706	5.00211
707	7.11519
708	6.81822
709	6.57812
710	6.61519
711	5.54011
712	7.44836
713	5.66486
714	5.11208
715	5.00211
716	4.20383
717	4.88675
718	10.0527
719	8.83714
720	7.24221
721	12.2203
722	8.48061
723	7.11746
724	6.91035
725	8.35337
726	17.6872
727	7.66793
728	5.11804
729	5.795
730	7.68161
731	6.50807
732	7.55914
733	8.26624
734	5.85071
735	5.72058
736	4.89051
737	4.88675
738	3.53371
739	5.34214
740	4.75661
741	4.89051
742	4.88675
743	4.20383
744	5.67926
745	5.68985
746	7.81117
747	9.22539
748	6.42889
749	13.169
750	13.9641
751	13.7355
752	12.7901
753	8.72828
754	18.1682
755	17.8419
756	8.35207
757	7.50077
758	10.8226
759	8.8409
760	6.94836
761	11.1385
762	6.833
763	7.7806
764	7.7735
765	3.9712
766	5.63917
767	5.53557
768	13.7447
769	7.84355
770	11.1138
771	10.6995
772	7.3553
773	10.1302
774	8.99825
775	9.73696
776	7.10407
777	6.84279
778	8.08327
779	6.75889
780	5.24221
781	5.16486
782	8.29876
783	5.16486
784	1.91421
785	3.42249
786	13.0829
787	11.9282
788	10.9282
789	11.9282
790	11.4282
791	10.9282
792	6.6188
793	12.0829
794	9.79807
795	9.48061
796	11.4282
797	7.64337
798	11.6608
799	12.3679
800	11.5772
801	8.70083
802	10.0121
803	9.30502
804	10.2675
805	10.2675
806	7.54283
807	7.54283
808	8.698
809	6.09561
810	7.35154
811	6.09561
812	6.51323
813	12.5132
814	12.8574
815	9.24682
816	6.81822
817	6.85154
818	6.71765
819	6.14492
820	4.12959
821	6.07719
822	4.87197
823	11.4766
824	3.17196
825	16.7508
826	5.94705
827	6.38872
828	8.29876
829	6.636
830	6.85154
831	5.94705
832	6.69571
833	5.38728
834	2.9856
835	6.07719
836	7.00359
837	5.92889
838	5.91035
839	6.74221
840	8.2735
841	5.795
842	8.48636
843	6.04011
844	5.795
845	5.91035
846	7.68161
847	6.01651
848	6.07719
849	5.74268
850	10.2465
851	7.13373
852	8.19027
853	5.91035
854	7.31831
855	5.67296
856	5.67296
857	8.6641
858	5.76968
859	6.60191
860	8.61519
861	9.05161
862	12.8878
863	16.4918
864	5.67296
865	8.69615
866	9.6044
867	14.397
868	7.49964
869	10.3508
870	10.1925
871	8.72828
872	11.2735
873	9.40788
874	9.46671
875	7.00359
876	7.24856
877	11.0003
878	12.2504
879	12.9828
880	10.7063
881	13.0718
882	6.295
883	13.7323
884	9.82285
885	7.20921
886	9.23064
887	6.44705
888	8.43
889	8.85047
890	5.80058
891	8.32457
892	9.53435
893	4.41421
894	8.61642
895	8.76955
896	8.47705
897	14.589
898	8.81526
899	8.707
900	7.8744
901	10.3328
902	11.3894
903	12.1686
904	12.2949
905	9.43
906	10.9143
907	10.0441
908	7.80193
909	9.16056
910	8.31633
911	9.82285
912	8.21484
913	6.20325
914	8.91449
915	7.25896
916	6.42889
917	12.0164
918	10.2781
919	10.8562
920	6.98544
921	10.1959
922	8.88659
923	7.83005
924	9.93352
925	12.9015
926	9.27216
927	10.2465
928	7.90809
929	8.57331
930	8.79876
931	8.52995
932	14.0711
933	10.7658
934	14.8586
935	15.0771
936	7.48544
937	18.6067
938	8.04855
939	7.22781
940	9.48422
941	9.13621
942	10.4282
943	8.33449
944	8.23898
945	8.9712
946	13.6316
947	12.825
948	7.66221
949	7.25896
950	9.53707
951	12.7395
952	16.8309
953	8.13173
954	19.4258
955	13.7907
956	8.19027
957	8.40809
958	7.85047
959	14.0024
960	9.41035
961	9.00872
962	7.25979
963	11.9282
964	5.66862
965	13.0895
966	6.69577
967	9.84221
968	10.0459
969	6.35154
970	7.61746
971	12.2174
972	9.3976
973	18.1682
974	8.78975
975	6.77336
976	9.94313
977	8.18244
978	9.54574
979	8.16486
980	8.57311
981	8.31633
982	11.2211
983	12.6621
984	8.698
985	4.12959
986	5.28975
987	13.5043
988	8.37697
989	8.88659
990	13.4537
991	6.92889
992	7.28656
993	8.70078
994	12.2077
995	10.4727
996	10.5936
997	12.0363
998	12.2518
999	12.9432
1000	12.2967
1001	9.22141
1002	10.9997
1003	11.9581
1004	6.98846
1005	8.31633
1006	9.33682
1007	13.4294
1008	13.4294
1009	12.6669
1010	14.619
1011	9.62965
1012	9.61901
1013	8.68244
1014	7.35154
1015	9.55198
1016	15.1561
1017	8.27419
