Compound Id	The maximum electrotopological state
976	2.386968187
1003	12.12548973
1010	12.17916528
1016	6.587376543
1027	12.2188208
1028	12.78100807
1036	11.87423271
1043	2.432853224
1049	2.533398071
1057	2.401344307
1059	2.510785322
1060	2.455465972
1061	2.424368579
1070	12.99428481
1075	2.533981062
1111	11.15592778
1112	8.56664495
1113	11.26218295
1114	13.12432903
1115	13.19142049
1116	13.19911789
1117	12.81678325
1118	12.82842075
1119	12.6814002
1120	9.032088267
1121	2.381694102
1122	10.68143227
1123	2.249228395
1124	13.63485702
1125	11.46998457
1126	13.55250606
1127	5.538350694
1128	3.555555556
1129	9.50462963
1130	4.18962963
1131	5.734732615
1132	2.365162037
1133	12.49444822
1134	12.34830247
1135	12.24212963
1136	13.51707302
1137	2.178240741
1138	1.908566529
1139	2.050180041
1140	2.430097737
1141	1.493204733
1142	10.97962963
1143	10.25348765
1144	10.14731481
1145	10.57199074
1146	10.42388546
1147	10.31771262
1148	10.54853902
1149	5.852575586
1150	8.448425926
1151	10.3062037
1152	11.77958192
1153	1.560185185
1154	3.493703704
1155	2.266528158
1156	10.35815571
1157	4.268909465
1158	8.977708333
1159	5.5275
1160	5.620648148
1161	5.687716049
1162	7.922731481
1163	9.836309996
1164	10.35991119
1165	11.78787037
1166	10.7587963
1167	11.98604595
1168	2.233796296
1169	3.82537037
1170	5.613703704
1171	10.1587037
1172	2.314814815
1173	10.13113505
1174	10.16529431
1175	2.236111111
1176	3.750462963
1177	5.856981188
1178	9.122756362
1179	5.147464097
1180	5.605740741
1181	3.2075
1182	9.148735811
1183	2.277638687
1184	10.13113505
1185	2.207175926
1186	3.660593348
1187	2.282728909
1188	2.193072702
1189	3.520061728
1190	3.840486111
1191	6.794360202
1192	2.374485597
1193	5.484783951
1194	3.672037037
1195	3.454646776
1196	2.237978395
1197	2.263711026
1198	3.718992735
1199	13.17819035
1200	12.00117798
1201	12.19796296
1202	3.350509259
1203	12.30243484
1204	12.00144511
1205	10.8179182
1206	10.09609725
1207	2.258425926
1208	5.606898148
1209	4.98957609
1210	2.373263889
1211	3.678478757
1212	12.29444035
1213	6.049058642
1214	10.38449074
1215	12.2716941
1216	3.396037415
1217	2.277777778
1218	5.314444444
1219	9.494212963
1220	5.467270408
1221	2.321203704
1222	2.212407407
1223	3.675620748
1224	2.337962963
1225	1.5
1226	6.12045439
1227	12.21993827
1228	12.13110768
1229	2.699667423
1230	2.361435185
1231	5.777037037
1232	2.178240741
1233	1.560185185
1234	1.560185185
1235	10.69551558
1236	9.330740741
1237	2.240740741
1238	6.70731352
1239	6.557182995
1240	1.558813443
1241	5.455277778
1242	10.21907785
1243	6.407052469
1244	2.224537037
1245	10.87009637
1246	8.850462963
1247	10.6837037
1248	2.178240741
1249	12.279726
1250	10.37953704
1251	10.37814122
1252	3.095231481
1253	10.3862037
1254	2.261574074
1255	2.421296296
1256	10.34727709
1257	8.368280423
1258	8.398148148
1259	2.432726337
1260	2.282488319
1261	2.285446899
1262	3.749566675
1263	5.698854595
1264	5.850706447
1265	2.565457819
1266	5.774780521
1267	3.067777778
1268	10.65022203
1269	3.698503086
1270	2.12037037
1271	11.6629321
1272	3.70791606
1273	2.215277778
1274	3.694651597
1275	2.34654321
1276	2.364718793
1277	2.261574074
1278	10.97511574
1279	2.340277778
1280	9.702098765
1281	2.334276406
1282	6.970195473
1283	13.30296225
1284	13.43297351
1285	2.384166667
1286	9.709768519
1287	12.95231597
1288	12.22294173
1289	2.341870748
1290	3.868391282
1291	2.384351852
1292	2.293678164
1293	5.544718793
1294	2.291838134
1295	2.381111111
1296	2.328703704
1297	2.277777778
1298	10.26842593
1299	2.347546296
1300	6.128256173
1301	5.675519652
1302	2.267826252
1303	5.227453704
1304	2.441699184
1305	5.769537037
1306	11.77311429
1307	2.249444444
1308	3.728382117
1309	9.33513546
1310	10.61890721
1311	11.54190415
1312	12.71528156
1313	2.319444444
1314	12.23023768
1315	11.02269652
1316	8.636550315
1317	10.73139802
1318	3.872923202
1319	2.347546296
1320	1.732991924
1321	1.732991924
1322	10.42388546
1323	1.752893519
1324	8.891342593
1325	1.560185185
1326	2.31712963
1327	11.6168736
1328	11.64387977
1329	5.836877572
1330	10.89235308
1331	10.95502217
1332	2.427518896
1333	1.612392868
1334	10.48001228
1335	2.338009259
1336	2.292270566
1337	3.744768519
1338	2.427986111
1339	10.6933031
1340	9.830022676
1341	2.291454082
1342	2.263333333
1343	2.195648148
1344	2.195648148
1345	12.64004554
1346	2.551018519
1347	2.401435185
1348	10.15889267
1349	10.19185185
1350	2.195648148
1351	2.292793103
1352	2.196759259
1353	2.398356088
1354	2.298611111
1355	2.427040466
1356	2.361111111
1357	2.311550532
1358	2.316550532
1359	2.261898148
1360	2.36837963
1361	2.195648148
1362	1.645018861
1363	2.398796296
1364	2.360933248
1365	13.38831735
1366	2.371527778
1367	2.280092593
1368	12.63242798
1369	13.1636214
1370	12.58349104
1371	9.134102436
1372	12.64042423
1373	2.309074074
1374	8.951604938
1375	2.290220142
1376	2.4478738
1377	2.372685185
1378	3.91343718
1379	2.268134431
1380	2.376950883
1381	11.82864827
1382	2.280694444
1383	13.24253328
1384	2.412685185
1385	2.313479545
1386	2.379451767
1387	10.54853902
1388	3.922826562
1389	6.129365226
1390	3.902360504
1391	10.62514739
1392	5.948391414
1393	6.356135117
1394	3.747220254
1395	2.323823731
1396	8.569972705
1397	2.375364701
1398	2.382546296
1399	2.251203704
1400	13.33041257
1401	2.262175926
1402	12.41789804
1403	6.068048697
1404	2.277777778
1405	2.286481481
1406	1.912888217
1407	2.233796296
1408	5.832589163
1409	13.21892623
1410	5.843171296
1411	2.487513035
1412	6.839437586
1413	2.423957056
1414	2.4084598
1415	2.455465972
1416	6.004274691
1417	2.464900286
1418	2.341187484
1419	5.768590535
1420	2.354338134
1421	2.346237997
1422	2.533398071
1423	2.548895328
1424	2.61191316
1425	2.403981481
1426	6.216972737
1427	11.15990483
1428	2.424063366
1429	2.501889155
1430	2.479859396
1431	2.448762003
1432	2.533398071
1433	2.424474889
1434	2.604797668
1435	2.292421125
1436	2.292314815
1437	2.281420801
1438	2.323823731
1439	2.293981481
1440	6.291459191
1441	2.564906987
1442	2.603123303
1443	2.658919333
1444	6.184453018
1445	2.325277778
1446	8.806037477
1447	2.432853224
1448	2.432853224
1449	2.339320988
1450	2.510785322
1451	6.02505765
1452	2.401944444
1453	4.126179375
1454	2.542294239
1455	2.3593529
1456	2.589300412
1457	2.580404244
1458	2.5550278
1459	2.566028124
1460	2.517900815
1461	2.589300412
1462	2.636306584
1463	2.594667036
1464	2.502883668
1465	2.620149789
1466	2.424474889
1467	2.428772754
1468	12.735757
1469	5.266030521
1470	6.166954733
1471	9.542141632
1472	6.184453018
1473	6.282959534
1474	6.291459191
1475	2.455465972
1476	6.291459191
1477	5.896366598
1478	2.490596708
1479	2.519580761
1480	2.590633097
1481	9.286265432
1482	6.17505487
1483	2.479859396
1484	2.595901501
1485	11.14691453
1486	6.356135117
1487	6.003372771
1488	12.50609871
1489	2.388711026
1490	2.301244331
1491	12.95503742
1492	12.72429316
1493	6.463141289
1494	2.432959534
1495	2.455572282
1496	2.549001638
1497	12.5599111
1498	12.4212989
1499	12.47461341
1500	8.511012403
1501	8.590889558
1502	12.7902245
1503	2.370353224
1504	2.44835048
1505	2.423957056
1506	6.282061043
1507	6.282061043
1508	12.28822376
1509	2.401927298
1510	2.437456466
1511	2.501889155
1512	2.511906459
1513	2.534519208
1514	2.532415052
1515	2.580987234
1516	5.931095679
1517	6.389965706
1518	6.389067215
1519	9.150195114
1520	12.52126791
1521	11.66671837
1522	6.239730796
1523	6.346736968
1524	6.346736968
1525	12.93688062
1526	12.91003195
1527	2.347222222
1528	12.44167981
1529	8.506129952
1530	6.35524177
1531	2.356522109
1532	13.72260623
1533	13.92966726
1534	14.76121001
1535	14.70037526
1536	14.70134807
1537	14.61642035
1538	2.344675926
1539	2.410535478
1540	2.303564815
1541	2.44337963
1542	2.472657785
1543	2.354976458
1544	2.203703704
1545	2.224537037
1546	2.261574074
