Compound Id	Number of hydrogen bond acceptors (using CDK HBondAcceptorCountDescriptor algorithm)
739	0
740	0
741	0
742	1
743	0
744	0
745	1
746	1
747	1
748	3
749	4
750	3
751	1
752	3
753	0
754	4
755	4
756	2
757	0
758	2
759	2
760	2
761	2
762	2
763	3
764	2
765	4
766	0
767	0
768	2
769	0
770	3
771	3
772	3
773	5
774	2
775	6
776	1
777	5
778	3
779	1
780	3
781	0
782	3
783	0
784	1
785	0
786	0
787	0
788	0
789	0
790	1
791	0
792	0
793	0
794	1
795	0
796	1
797	1
798	2
799	2
800	4
801	2
802	4
803	4
804	0
805	0
806	3
807	3
808	6
809	2
810	2
811	2
812	2
813	3
814	3
815	1
816	2
817	2
818	2
819	2
820	0
821	1
822	0
823	3
824	1
825	4
826	0
827	0
828	3
829	2
830	2
831	0
832	0
833	2
834	3
835	1
836	0
837	2
838	2
839	2
840	1
841	2
842	2
843	1
844	2
845	2
846	2
847	0
848	1
849	0
850	4
851	1
852	1
853	2
854	2
855	3
856	3
857	5
858	2
859	0
860	2
861	2
862	5
863	5
864	3
865	0
866	1
867	2
868	0
869	5
870	2
871	0
872	5
873	3
874	3
875	0
876	0
877	1
878	6
879	2
880	2
881	4
882	3
883	1
884	2
885	2
886	2
887	1
888	0
889	1
890	0
891	3
892	5
893	2
894	3
895	4
896	1
897	2
898	4
899	2
900	3
901	0
902	0
903	4
904	1
905	2
906	5
907	5
908	1
909	2
910	3
911	2
912	1
913	2
914	3
915	3
916	3
917	3
918	3
919	2
920	2
921	2
922	0
923	0
924	1
925	1
926	2
927	4
928	2
929	5
930	3
931	2
932	0
933	2
934	4
935	3
936	3
937	0
938	2
939	2
940	3
941	2
942	1
943	0
944	0
945	2
946	4
947	3
948	1
949	3
950	2
951	2
952	5
953	6
954	4
955	3
956	1
957	3
958	1
959	5
960	2
961	4
962	2
963	5
964	3
965	3
966	1
967	3
968	5
969	1
970	3
971	3
972	4
973	4
974	6
975	1
976	0
977	2
978	1
979	3
980	3
981	3
982	5
983	6
984	6
985	0
986	3
987	3
988	5
989	0
990	2
991	3
992	3
993	3
994	6
995	2
996	2
997	5
998	5
999	4
1000	2
1001	3
1002	0
1003	3
1004	2
1005	2
1006	4
1007	4
1008	4
1009	4
1010	4
1011	3
1012	3
1013	3
1014	3
1015	5
1016	1
1017	3
1018	3
1019	2
1020	4
1021	3
1022	8
1023	2
1024	4
1025	5
1026	3
1027	4
1028	3
1029	3
1030	5
1031	1
1032	1
1033	6
1034	4
1035	3
1036	2
1037	2
1038	0
1039	4
1040	4
1041	5
1042	3
1043	0
1044	1
1045	1
1046	5
1047	3
1048	3
1049	0
1050	4
1051	1
1052	3
1053	0
1054	0
1055	3
1056	6
1057	0
1058	0
1059	0
1060	0
1061	0
1062	4
1063	1
1064	2
1065	5
1066	2
1067	0
1068	6
1069	2
1070	3
1071	5
1072	3
1073	2
1074	0
1075	0
1076	1
1077	4
1078	3
1079	4
1080	5
1081	1
1082	4
1083	2
1084	2
1085	1
1086	3
1087	6
1088	3
1089	3
1090	3
1091	4
1092	3
1093	3
1094	3
1095	2
1096	2
1097	9
1098	4
1099	3
1100	3
1101	3
1102	3
1103	4
1104	3
1105	6
1106	2
1107	2
1108	2
1109	9
1110	3
220	0
221	1
222	1
223	1
224	1
225	3
226	2
227	0
228	3
229	1
230	0
231	0
232	1
233	0
234	3
235	0
236	2
237	0
238	0
239	2
240	1
241	0
242	0
243	1
244	0
245	1
246	3
247	1
248	1
249	2
250	1
251	1
252	1
253	1
254	2
255	3
256	1
257	1
258	2
259	1
260	0
261	0
262	0
263	0
264	2
265	2
266	3
267	0
268	1
269	0
270	2
271	0
272	1
273	0
274	1
275	0
276	0
277	2
278	1
279	0
280	1
281	2
282	1
283	2
284	0
285	2
286	0
287	2
289	2
290	0
291	1
292	0
293	1
294	0
295	0
296	2
297	1
298	1
299	1
300	0
301	1
302	2
303	1
304	1
305	1
306	2
307	0
308	1
309	2
310	0
311	1
312	0
313	1
314	0
315	0
316	2
317	1
318	0
319	0
320	1
321	1
322	2
323	2
324	2
325	2
326	1
327	2
329	0
330	3
331	0
332	0
333	0
334	1
335	0
336	0
337	2
338	0
339	0
341	0
342	0
343	2
344	1
345	0
346	0
10	3
20	4
21	4
26	4
154	4
185	0
190	0
191	0
194	0
196	0
197	0
198	0
201	0
202	0
204	0
212	0
393	0
395	1
418	0
424	1
441	0
457	1
464	0
469	0
499	0
513	0
514	0
518	0
529	0
541	0
567	0
595	1
596	0
599	0
604	0
616	0
618	0
619	0
621	0
623	0
625	0
1111	3
1112	9
1113	3
1114	0
1115	0
1116	0
1117	0
1118	0
1119	0
1120	3
1121	0
1122	2
1123	0
1124	1
1125	4
1126	4
1127	4
1128	0
1129	0
1130	0
1131	2
1132	0
1133	1
1134	2
1135	3
1136	1
1137	0
1138	0
1139	0
1140	0
1141	0
1142	3
1143	0
1144	1
1145	4
1146	0
1147	1
1148	0
1149	1
1150	2
1151	0
1152	6
1153	0
1154	1
1155	0
1156	2
1157	1
1158	0
1159	1
1160	1
1161	1
1162	0
1163	0
1164	1
1165	0
1166	3
1167	0
1168	0
1169	0
1170	1
1171	0
1172	0
1173	0
1174	0
1175	0
1176	0
1177	2
1178	0
1179	1
1180	1
1181	1
1182	0
1183	0
1184	1
1185	0
1186	0
1187	0
1188	0
1189	0
1190	0
1191	7
1192	0
1193	1
1194	0
1195	1
1196	0
1197	0
1198	0
1199	1
1200	4
1201	3
1202	1
1203	0
1204	6
1205	0
1206	1
1207	0
1208	1
1209	2
1210	0
1211	0
1212	4
1213	1
1214	0
1215	2
1216	1
1217	0
1218	1
1219	2
1220	1
1221	0
1222	0
1223	1
1224	0
1225	0
1226	2
1227	0
1228	0
1229	0
1230	0
1231	2
1232	0
1233	0
1234	0
1235	2
1236	0
1237	0
1238	6
1239	5
1240	0
1241	1
1242	0
1243	4
1244	0
1245	2
1246	0
1247	4
1248	0
1249	3
1250	0
1251	0
1252	1
1253	0
1254	0
1255	0
1256	0
1257	2
1258	2
1259	0
1260	0
1261	0
1262	0
1263	1
1264	1
1265	0
1266	1
1267	1
1268	0
1269	0
1270	0
1271	1
1272	0
1273	0
1274	0
1275	0
1276	0
1277	0
1278	1
1279	0
1280	0
1281	0
1282	0
1283	2
1284	1
1285	0
1286	1
1287	0
1288	7
1289	0
1290	0
1291	0
1292	0
1293	0
1294	0
1295	0
1296	0
1297	0
1298	0
1299	0
1300	2
1301	0
1302	0
1303	0
1304	0
1305	2
1306	3
1307	0
1308	0
1309	0
1310	2
1311	4
1312	2
1313	0
1314	4
1315	2
1316	3
1317	0
1318	0
1319	0
1320	0
1321	0
1322	0
1323	0
1324	2
1325	0
1326	0
1327	3
1328	4
1329	2
1330	3
1331	3
1332	0
1333	0
1334	0
1335	0
1336	0
1337	0
1338	0
1339	0
1340	0
1341	0
1342	0
1343	0
1344	0
1345	4
1346	0
1347	0
1348	0
1349	0
1350	0
1351	0
1352	0
1353	0
1354	0
1355	0
1356	0
1357	0
1358	0
1359	0
1360	0
1361	0
1362	0
1363	0
1364	0
1365	3
1366	0
1367	0
1368	4
1369	4
1370	2
1371	3
1372	1
1373	0
1374	1
1375	0
1376	0
1377	0
1378	0
1379	0
1380	0
1381	4
1382	0
1383	2
1384	0
1385	0
1386	0
1387	0
1388	0
1389	2
1390	0
1391	0
1392	2
1393	0
1394	0
1395	0
1396	2
1397	0
1398	0
1399	0
1400	1
1401	0
1402	4
1403	0
1404	0
1405	0
1406	0
1407	0
1408	0
1409	2
1410	1
1411	0
1412	0
1413	0
1414	0
1415	0
1416	1
1417	0
1418	0
1419	2
1420	0
1421	0
1422	0
1423	0
1424	0
1425	0
1426	0
1427	2
1428	0
1429	0
1430	0
1431	0
1432	0
1433	0
1434	0
1435	0
1436	0
1437	0
1438	0
1439	0
1440	0
1441	0
1442	0
1443	0
1444	0
1445	0
1446	1
1447	0
1448	0
1449	0
1450	0
1451	2
1452	0
1453	0
1454	0
1455	0
1456	0
1457	0
1458	0
1459	0
1460	0
1461	0
1462	0
1463	0
1464	0
1465	0
1466	0
1467	0
1468	3
1469	0
1470	2
1471	0
1472	0
1473	0
1474	0
1475	0
1476	0
1477	0
1478	0
1479	0
1480	0
1481	2
1482	0
1483	0
1484	0
1485	1
1486	0
1487	0
1488	2
1489	0
1490	0
1491	2
1492	3
1493	0
1494	0
1495	0
1496	0
1497	4
1498	4
1499	4
1500	1
1501	1
1502	3
1503	0
1504	0
1505	0
1506	0
1507	0
1508	4
1509	0
1510	0
1511	0
1512	0
1513	0
1514	0
1515	0
1516	0
1517	0
1518	0
1519	0
1520	4
1521	4
1522	0
1523	0
1524	0
1525	6
1526	5
1527	0
1528	3
1529	4
1530	0
1531	0
1532	3
1533	3
1534	11
1535	11
1536	10
1537	10
1538	0
1539	0
1540	0
1541	0
1542	0
1543	0
1544	0
1545	0
1546	0
2	3
6	4
7	4
8	5
12	4
14	4
16	4
17	4
22	4
23	4
24	5
25	7
27	4
28	6
29	4
31	7
100	7
101	3
102	3
103	4
104	6
105	5
106	3
107	3
108	3
109	6
110	6
111	3
112	3
113	3
114	3
115	3
116	3
117	5
118	3
119	4
120	4
121	9
122	3
124	4
125	6
126	5
127	5
128	4
130	6
131	4
132	4
133	4
134	4
135	6
136	7
137	7
138	4
11	4
15	3
18	7
33	4
55	3
58	3
62	3
63	3
64	3
65	3
71	3
73	8
76	3
77	8
78	3
79	4
80	10
84	4
85	13
87	6
88	4
89	3
90	4
92	4
93	4
94	3
95	11
96	12
144	4
146	5
148	9
150	6
152	3
155	9
156	5
157	4
158	8
159	9
160	7
161	10
162	3
163	6
164	3
165	1
166	3
167	7
168	3
169	4
